gene_name,BJ_sgNT_Ras,BJ_sg69_Ras,BJ_sg71_Ras,BJ_sg_FOXF1_Ras
TSPAN6,589,630,830,549
TNMD,0,0,0,0
DPM1,260,158,221,197
SCYL3,131,84,111,39
C1orf112,98,102,169,51
FGR,0,0,0,0
CFH,456,164,164,176
FUCA2,3003,1980,2161,2186
GCLC,186,105,171,141
NFYA,544,279,409,290
STPG1,425,433,460,353
NIPAL3,7343,4679,4272,2958
LAS1L,909,890,1003,838
ENPP4,9,3,7,5
SEMA3F,138,72,100,80
CFTR,0,0,1,0
ANKIB1,468,323,304,270
CYP51A1,921,759,853,585
KRIT1,139,113,66,40
RAD52,60,47,23,28
BAD,1217,1167,1467,1198
LAP3,1016,905,1099,767
CD99,8064,4300,4500,8168
HS3ST1,1,0,2,2
AOC1,0,0,0,0
WNT16,0,0,0,0
HECW1,230,232,238,352
MAD1L1,769,689,600,640
LASP1,22037,20609,21869,21057
SNX11,685,766,812,707
TMEM176A,0,0,0,0
M6PR,2632,2511,3377,2956
KLHL13,0,0,0,2
CYP26B1,12,6,12,9
ICA1,0,1,0,0
DBNDD1,289,103,107,98
ALS2,572,377,418,218
CASP10,30,45,124,36
CFLAR,1348,1124,1401,969
TFPI,288,191,225,156
NDUFAF7,167,111,150,109
RBM5,1282,716,854,725
MTMR7,0,0,0,0
SLC7A2,1,2,1,0
ARF5,1522,1494,1975,1871
SARM1,456,264,291,466
POLDIP2,3087,2946,3460,3281
PLXND1,3515,2130,2147,3239
AK2,2610,2806,3360,2606
CD38,4,20,2,2
FKBP4,3944,3936,4654,4055
KDM1A,1337,875,1235,1136
RBM6,445,232,289,207
CAMKK1,142,136,130,145
RECQL,455,259,237,286
VPS50,161,86,59,54
HSPB6,247,110,85,406
ARHGAP33,65,17,17,32
NDUFAB1,1530,1482,1656,1264
PDK4,0,0,0,0
SLC22A16,3,6,2,6
ZMYND10,9,10,20,8
ABCB5,1,0,0,3
ARX,0,0,0,0
SLC25A13,204,160,236,118
ST7,331,255,206,182
CDC27,1276,920,998,877
SLC4A1,2,1,1,0
CALCR,1,0,0,0
HCCS,680,524,716,521
DVL2,855,605,696,661
PRSS22,0,0,0,0
UPF1,3019,1738,1845,2103
SKAP2,282,106,211,174
SLC25A5,4026,3621,4372,3415
MCUB,35,43,58,62
HOXA11,1697,1289,1133,1044
POLR2J,836,972,1157,1042
DHX33,658,361,501,368
MEOX1,1,0,1,0
THSD7A,0,0,0,0
LIG3,542,324,463,565
RPAP3,248,152,155,148
ACSM3,6,4,19,11
REXO5,101,158,153,134
CIAPIN1,1434,1239,1091,1138
SPPL2B,271,152,116,189
FAM214B,2894,1980,2051,1862
COPZ2,1730,1983,1852,1894
PRKAR2B,200,147,165,192
MSL3,271,222,338,267
CREBBP,1157,283,228,370
TSPOAP1,0,0,0,1
MPO,0,0,0,0
PON1,0,0,0,0
GCFC2,110,96,94,85
WDR54,475,478,671,549
CROT,329,128,152,73
ABCB4,2,2,5,0
KMT2E,345,64,97,118
RHBDD2,1235,987,995,1183
SOX8,16,12,6,7
ZNF195,78,55,44,65
MYCBP2,1002,330,302,142
FBXL3,212,153,180,128
ITGAL,1,1,0,1
PDK2,903,819,782,745
ITGA3,29177,20202,21385,28786
ZFX,135,54,50,60
LAMP2,1862,930,1086,938
ITGA2B,7,2,1,2
ASB4,1,0,0,0
GDE1,2636,2089,2435,1813
REX1BD,428,396,494,397
CRLF1,4,1,2,2
OSBPL7,170,70,73,118
TMEM98,1822,1797,1974,2122
YBX2,0,0,0,0
KRT33A,0,0,0,0
MAP3K14,186,110,112,160
ABCC8,0,0,0,0
CACNG3,0,0,0,0
TMEM132A,2976,1093,1359,1809
AP2B1,4554,3799,5035,3796
TAC1,0,0,0,0
ZNF263,620,409,527,469
CX3CL1,0,0,0,1
SPATA20,3033,3028,3096,3422
CACNA1G,1,3,4,4
TNFRSF12A,4891,4204,4373,5462
DLX6,0,0,0,0
