gene_name,ESCs_wt_1,ESCs_wt_2,ESCs_Actb_K.O._1,ESCs_Actb_K.O._2,ESCs_Actb_full_locus_deletion_1,ESCs_Actb_full_locus_deletion_2,MEFs_wt_1,MEFs_wt_2,MEFs_Actg1_K.O._1,MEFs_Actg1_K.O._2,MEFs_Actg1_full_locus_deletion_1,MEFs_Actg1_full_locus_deletion_2,MKFs_Fermt2_floxed_1,MKFs_Fermt2_floxed_2,MKFs_Fermt2_K.O._1,MKFs_Fermt2_K.O._2
Gnai3,1365,2071,1542,2601,1718,1302,3357,2833,3326,3557,2811,3774,2826,3044,3818,3205
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,949,1543,765,1476,1128,1139,2592,2028,1039,1119,1905,2352,1298,1293,1376,1271
H19,165,187,2095,3264,14,19,15,4,53,72,6,6,2,0,12,12
Scml2,13,36,22,35,26,46,0,0,0,0,0,0,1,2,0,0
Apoh,0,0,0,0,0,0,3,3,20,16,1,4,0,2,1,2
Narf,119,205,137,268,207,198,270,227,325,308,214,291,353,369,334,312
Cav2,0,0,0,0,0,0,3822,3093,1467,1771,1841,2365,474,586,557,510
Klf6,534,933,373,724,480,461,2426,1949,2232,2655,1815,2465,2259,2255,4603,4102
Scmh1,241,385,213,365,282,267,760,562,618,744,340,400,371,346,400,403
Cox5a,574,516,386,704,715,506,485,442,396,483,569,707,221,242,239,178
Tbx2,4,7,2,10,7,11,5,6,3,3,0,0,0,0,5,2
Tbx4,8,11,8,6,13,15,269,224,179,218,0,4,0,0,0,1
Zfy2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ngfr,356,773,416,1178,620,906,3,0,4,6,4,4,181,162,302,272
Wnt3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,4
Wnt9a,7,10,7,9,5,9,15,9,15,16,7,10,48,51,131,113
Fer,906,1390,756,1402,1183,1044,2397,2243,1743,2071,1429,2111,1244,1351,1457,1310
Xpo6,1613,2922,1612,3465,2636,2145,2356,1571,2357,2924,2078,2591,653,815,361,461
Tfe3,445,495,485,995,1189,1066,1531,1110,1248,1426,1164,1582,409,492,434,383
Axin2,356,416,935,1298,740,873,35,32,29,20,10,18,38,13,9,25
Brat1,163,232,158,374,264,246,280,148,229,267,209,310,184,154,217,211
Gna12,271,423,280,577,503,374,1222,850,1147,1315,826,865,604,566,503,428
Slc22a18,1,0,1,3,0,0,0,1,0,0,0,0,0,0,1,5
Itgb2l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igsf5,0,1,0,1,2,3,0,0,0,0,0,0,375,385,785,717
Pih1d2,15,33,23,49,38,49,36,31,20,37,23,23,73,86,102,89
Dlat,1033,1219,806,1639,1337,933,2247,1601,1746,1921,1724,2332,896,990,707,680
Sdhd,686,745,701,1137,638,577,1239,995,683,814,1008,1190,492,528,383,322
Fgf23,6,15,3,2,4,7,1,1,0,0,0,0,1,1,1,0
Fgf6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Ccnd2,3,2,14,37,7,11,6564,4977,3410,4190,8186,9568,351,369,11,3
Gpr107,951,2027,1250,2762,1816,1964,1383,1091,843,991,858,1134,728,874,944,739
Nalcn,8,22,7,20,45,38,4,0,1,6,0,0,0,0,0,0
Btbd17,1,2,2,5,1,0,0,0,0,3,0,0,0,0,3,0
Slfn4,2,4,0,2,2,0,0,0,10,10,0,5,0,0,0,0
Th,0,0,4,9,5,0,0,0,0,0,0,0,0,0,0,0
