gene_name,CD34 shRNA SC,CD34 shRNA HRI 1,CD34 shRNA HRI 2,HUDEP2_nontargeting_sgRNA_undifferentiated_rep1,HUDEP2_HRI_sgRNA5_undifferentiated_rep1,HUDEP2_nontargeting_sgRNA_undifferentiated_rep2,HUDEP2_HRI_sgRNA5_undifferentiated_rep2,HUDEP2_nontargeting_sgRNA_differentiated_rep1,HUDEP2_HRI_sgRNA5_differentiated_rep1,HUDEP2_nontargeting_sgRNA_differentiated_rep2,HUDEP2_HRI_sgRNA5_differentiated_rep2
TSPAN6,86,42,105,635,647,662,686,83,55,55,67
TNMD,5,0,2,1,4,0,0,0,0,0,0
DPM1,1903,1287,1676,4059,4711,4025,4574,1753,1535,1889,1626
SCYL3,898,861,1175,925,822,1036,964,1093,1262,1280,1140
C1orf112,1759,870,1523,2253,2649,2688,2534,1558,1684,1508,1539
FGR,70,80,9,0,0,0,0,3,2,0,5
CFH,70,51,87,29,24,40,17,45,20,52,53
FUCA2,724,290,509,4342,4841,4797,4573,695,406,697,462
GCLC,9890,17430,24106,7845,8686,7952,8507,29191,37961,31284,41150
NFYA,1313,1641,2777,2713,3470,3360,3272,3420,3608,3214,3871
STPG1,368,264,304,233,229,302,316,279,339,303,369
NIPAL3,1494,673,1207,1344,1498,1724,1772,1777,1526,1939,1768
LAS1L,2131,524,1037,4820,5860,5839,6175,1206,814,1408,999
ENPP4,970,250,796,1474,1312,1635,1630,618,279,484,200
SEMA3F,0,6,0,5,2,1,0,4,2,1,2
CFTR,24,39,58,12,15,27,19,24,23,18,50
ANKIB1,1900,1324,2089,3669,4501,4048,4212,2171,1520,2261,1883
CYP51A1,4317,12100,8159,18465,21301,16233,17592,6691,5867,7873,6387
KRIT1,3743,3023,3999,3977,4562,4920,5254,3685,3542,4482,4109
RAD52,726,650,959,654,734,712,755,601,650,514,685
BAD,353,222,571,226,208,200,220,504,517,507,431
LAP3,2417,420,1544,6085,7476,7064,7717,1712,912,1863,971
CD99,361,96,242,1928,1969,2111,1861,408,339,479,297
HS3ST1,40,50,61,35,23,30,36,54,63,24,65
AOC1,11,6,4,13,5,8,6,13,7,19,9
WNT16,0,0,0,4,4,0,1,0,3,7,6
HECW1,80,34,43,24,33,57,55,27,68,23,43
MAD1L1,1947,733,1760,1739,1678,1626,1711,968,907,1068,1138
LASP1,2421,2812,2108,2020,2183,2299,2158,4528,5051,4707,4999
SNX11,274,242,293,386,394,488,384,289,254,373,304
TMEM176A,30,21,16,3,1,20,13,28,13,7,22
M6PR,4926,3590,6455,9294,10836,10403,10320,3565,3302,3491,3428
KLHL13,9,2,11,0,2,0,1,1,0,0,0
CYP26B1,8,0,0,0,0,1,0,1,0,0,0
ICA1,2823,308,2451,6087,6860,5667,5955,1472,2038,1598,2268
DBNDD1,12,16,31,6,10,18,11,21,18,16,5
ALS2,7025,4148,7556,17779,20771,19405,20987,3642,3123,3744,3646
CASP10,1395,992,1535,1000,1261,1625,1556,1376,1247,1413,1365
CFLAR,5746,5627,7554,3440,3696,4983,4757,6458,6967,7099,8341
TFPI,2995,3393,5596,4005,4835,5698,5688,7210,8458,8047,9936
NDUFAF7,821,350,871,1236,1473,1459,1421,663,520,663,620
RBM5,15628,15041,22857,7233,8506,9129,9273,15172,17070,16052,17547
MTMR7,182,141,179,184,231,226,284,197,198,166,261
SLC7A2,7,27,19,22,24,30,19,7,13,17,8
ARF5,473,223,476,591,619,616,538,598,396,586,551
SARM1,133,46,119,68,88,95,89,57,38,69,67
POLDIP2,1263,806,1490,3112,3579,3244,3006,1510,1223,1617,1330
PLXND1,2796,75,948,4617,4671,5439,5091,731,424,599,324
AK2,3006,650,1814,12056,13656,12804,12887,1416,1003,1401,1218
CD38,401,165,403,41,21,18,26,54,25,46,40
FKBP4,4267,1610,1794,9013,10672,12757,12818,4414,2695,4813,2830
KDM1A,4682,1596,2900,12394,14965,13085,13303,3117,2576,3521,3107
RBM6,6384,5468,6768,4887,5689,5743,5616,6837,6375,7767,6561
CAMKK1,31,38,10,238,285,131,147,47,20,20,29
RECQL,4994,1302,3597,6471,7207,7813,7888,5821,4944,6149,5396
VPS50,3768,2944,4866,3040,3656,3830,4147,4437,4483,4299,4331
HSPB6,11,4,11,2,6,3,8,5,12,0,18
ARHGAP33,243,143,322,73,54,30,33,182,301,106,248
NDUFAB1,1427,631,1434,4617,5100,5155,6037,1022,686,1280,809
PDK4,14,287,496,1,3,7,3,6,4,6,5
SLC22A16,2215,3189,6253,249,352,380,470,2685,3637,2321,4286
ZMYND10,60,25,63,63,79,87,78,108,120,71,96
ABCB5,172,372,540,8,16,13,12,142,290,178,259
ARX,3,6,2,7,2,7,11,8,3,18,9
SLC25A13,1278,680,1276,2402,2979,3125,3618,697,558,692,698
ST7,1977,1646,2580,3182,3853,3607,3590,2459,2453,2530,2565
CDC27,16981,22009,42123,10049,11601,11267,11522,20722,22688,21969,23658
SLC4A1,91620,149517,310176,1199,3079,1719,1775,200494,226597,222539,252144
CALCR,12,6,0,0,0,0,0,0,2,4,0
HCCS,1161,1188,4951,1132,1301,1325,1336,1316,1334,1339,1420
DVL2,987,569,1101,826,915,699,631,787,1030,938,1129
PRSS22,0,0,4,0,1,0,0,0,0,4,0
UPF1,1592,1225,1669,3157,3334,3872,3426,2631,2620,2772,2676
SKAP2,1497,824,1735,1551,1742,2069,2036,782,481,652,614
SLC25A5,3410,1305,2160,8445,9453,8185,9014,5327,4747,5227,4778
MCUB,785,172,473,2070,2101,2606,2613,276,364,362,323
HOXA11,5,0,5,0,0,0,0,0,6,0,0
POLR2J,1188,905,1531,1782,2081,1864,2086,1223,1118,1373,927
DHX33,673,307,538,1906,2318,2116,2066,423,420,420,384
MEOX1,7,0,0,3,0,0,0,0,4,0,0
THSD7A,182,65,138,11,7,2,5,6,1,1,1
LIG3,1437,624,1008,2773,3069,3190,3140,666,496,797,558
RPAP3,1574,377,951,3939,4666,4454,4519,1508,1050,1751,911
ACSM3,2524,904,1548,860,983,725,808,966,1194,1219,1576
REXO5,2181,1263,4324,1152,1315,1338,1226,2276,2509,2401,2862
CIAPIN1,636,349,669,2218,2666,2390,2604,548,361,542,313
SPPL2B,524,324,803,840,809,872,707,621,498,651,540
FAM214B,1728,4098,4003,214,235,247,181,3892,4388,3973,4667
COPZ2,22,0,4,22,24,26,23,12,12,25,8
PRKAR2B,6720,3295,5752,7199,8484,8421,9018,6607,5355,6647,5638
MSL3,1450,919,1273,2403,2826,2735,2961,1787,1597,2025,1551
CREBBP,2227,2749,3952,1270,1531,1563,1252,4493,4672,4437,5248
TSPOAP1,577,276,868,76,101,111,142,224,392,394,487
MPO,1176,942,889,3,0,0,0,8,1,0,50
PON1,2,8,5,1,1,3,4,5,3,1,11
GCFC2,1376,783,1155,3835,4496,4315,4406,1525,1083,1726,1409
WDR54,57,2,31,122,159,289,234,16,8,14,28
CROT,783,406,396,379,445,614,576,124,71,81,85
ABCB4,1578,68,506,9,13,2,8,2,0,5,3
KMT2E,7103,8010,12048,3167,3673,3612,3356,8281,8691,8933,9894
RHBDD2,272,194,233,160,159,164,156,386,255,396,281
SOX8,0,2,0,0,1,0,5,0,0,0,0
IBTK,1727,788,1551,3784,4027,4990,4814,1558,1282,1462,1412
ZNF195,563,378,473,1564,1782,1973,1963,377,329,421,393
MYCBP2,7247,3622,5815,11801,14631,13745,14793,4421,3388,4179,3611
FBXL3,3486,3764,6378,3638,4081,3871,3937,7391,8064,8348,8993
ITGAL,186,155,166,31,21,29,29,40,28,32,32
PDK2,29,37,2,131,131,188,140,443,312,503,400
ITGA3,68,74,51,43,49,69,52,37,78,81,83
ZFX,2449,3276,3711,2670,3135,3052,3236,4294,4056,4595,4507
