gene_name,G401_BRD9_KO_rep1,G401_BRD9_KO_rep2,G401_LacZ_rep1,G401_LacZ_rep2
TSPAN6,1136,938,830,925
TNMD,0,0,1,0
DPM1,1314,1152,904,971
SCYL3,271,290,225,202
C1orf112,810,705,696,715
FGR,0,2,0,0
CFH,0,0,0,0
FUCA2,1945,1591,1415,1628
GCLC,729,522,389,299
NFYA,569,496,376,395
STPG1,216,173,209,239
NIPAL3,559,465,394,441
LAS1L,996,896,795,860
ENPP4,0,0,0,0
SEMA3F,633,602,500,591
CFTR,0,0,2,4
ANKIB1,2163,1914,2008,2100
CYP51A1,2157,1913,1831,1983
KRIT1,985,976,821,809
RAD52,283,294,230,227
BAD,886,693,581,654
LAP3,1624,1275,1135,1205
CD99,1735,1472,1347,1476
HS3ST1,4,8,3,3
AOC1,3,4,3,0
WNT16,0,1,0,0
HECW1,27,0,2,22
MAD1L1,840,776,607,683
LASP1,5178,4418,3971,4380
SNX11,366,326,280,323
TMEM176A,9,4,3,3
M6PR,5084,4065,2590,2730
KLHL13,0,0,0,0
CYP26B1,8,4,8,5
ICA1,744,548,676,703
DBNDD1,1618,1408,1062,1154
ALS2,3596,3096,3458,3692
CASP10,227,207,232,323
CFLAR,2294,1839,1632,1847
TFPI,3724,2918,2409,2878
NDUFAF7,615,542,421,470
RBM5,2787,2465,2194,2574
MTMR7,47,45,34,36
SLC7A2,823,755,562,636
ARF5,1821,1614,1477,1664
SARM1,663,442,459,401
POLDIP2,2601,2212,1707,2001
PLXND1,465,347,443,563
AK2,2433,2002,1954,2088
CD38,1,1,0,2
FKBP4,2871,2257,1816,1803
KDM1A,3152,2720,2841,2993
RBM6,1310,1117,1229,1364
CAMKK1,170,155,122,114
RECQL,1918,1643,1376,1500
VPS50,490,323,322,360
HSPB6,9,8,10,6
ARHGAP33,187,160,171,191
NDUFAB1,1399,1109,1020,1107
PDK4,0,0,0,0
SLC22A16,7,4,24,7
ZMYND10,27,27,19,22
ABCB5,11,13,10,8
ARX,2,6,8,12
SLC25A13,4247,3373,3462,3871
ST7,316,239,214,198
CDC27,2677,2244,1981,2012
SLC4A1,60,52,50,58
CALCR,0,0,0,0
HCCS,593,451,388,437
DVL2,820,674,770,813
PRSS22,28,27,15,26
UPF1,3000,2385,1901,2192
SKAP2,771,645,651,744
SLC25A5,9247,7829,7484,7843
MCUB,548,509,492,710
HOXA11,152,116,129,160
POLR2J,460,394,338,375
DHX33,1409,1085,853,917
MEOX1,1875,1597,1396,1516
THSD7A,0,0,0,2
LIG3,1043,820,852,1083
RPAP3,1048,1071,919,1053
ACSM3,26,34,79,51
REXO5,265,226,195,230
CIAPIN1,1700,1496,1170,1359
SPPL2B,1174,978,1036,1097
FAM214B,584,491,383,390
COPZ2,1,0,0,3
PRKAR2B,2874,2306,2710,3021
MSL3,532,429,417,474
CREBBP,2130,1932,1623,2153
TSPOAP1,5,4,7,11
MPO,0,0,0,0
PON1,1,2,3,0
GCFC2,694,611,527,609
WDR54,424,327,429,474
CROT,355,297,245,234
ABCB4,1,0,0,0
KMT2E,1819,1358,1567,1843
RHBDD2,1235,1201,904,978
SOX8,1016,876,748,819
ZNF195,784,618,420,496
MYCBP2,1457,1167,942,978
FBXL3,861,698,501,636
ITGAL,19,7,25,23
PDK2,761,719,607,579
ITGA3,579,395,360,342
ZFX,1236,1093,1036,1229
LAMP2,2641,2280,1861,2183
ITGA2B,4,29,2,24
ASB4,4,5,5,6
GDE1,1849,1493,1227,1268
REX1BD,466,376,319,349
CRLF1,103,59,51,44
OSBPL7,170,188,163,138
TMEM98,27,21,14,34
YBX2,551,425,524,616
KRT33A,0,0,0,0
MAP3K14,1572,1348,917,1093
ABCC8,0,0,0,0
CACNG3,0,0,0,0
TMEM132A,1082,929,741,827
AP2B1,12671,10583,10277,11828
TAC1,0,0,0,0
ZNF263,790,732,541,590
CX3CL1,7,0,10,12
SPATA20,1455,1085,1160,1213
CACNA1G,44,40,28,38
TNFRSF12A,1328,1217,906,1004
DLX6,167,119,229,238
MAP3K9,755,671,561,605
RALA,1188,1102,1162,1057
BAIAP2L1,1361,1261,988,1041
KDM7A,315,240,271,303
ETV1,33,45,129,57
