gene_name,WT_-LV_1,WT_-LV_2,WT_-LV_3,WT_+LV_1,WT_+LV_2,WT_+LV_3,ZEB1_+/-_-LV_1,ZEB1_+/-_-LV_2,ZEB1_+/-_-LV_3,ZEB1_+/-_+LV_1,ZEB1_+/-_+LV_2,ZEB1_+/-_+LV_3
TSPAN6,897,1680,1164,773,524,1019,1080,1359,1375,1548,2180,855
TNMD,0,0,0,0,0,0,0,0,0,0,0,0
DPM1,1229,1489,1129,651,834,1145,1004,1616,1254,1818,2164,799
SCYL3,378,365,308,191,167,288,374,602,465,438,638,161
C1orf112,750,991,634,475,464,605,729,1144,904,1073,1450,566
FGR,0,0,0,0,0,0,0,0,0,0,0,0
CFH,7,1,5,0,3,3,11,1,9,4,34,8
FUCA2,3934,4480,2991,2079,3434,3759,3701,4738,3777,6184,5279,2541
GCLC,1318,1480,972,573,1097,1191,1411,1959,1476,2380,1695,741
NFYA,1291,1483,1118,887,1264,1501,1391,1913,1446,1978,2475,790
STPG1,138,145,145,112,71,80,167,236,122,159,265,87
NIPAL3,891,1050,849,351,528,629,933,1250,870,1307,1270,543
LAS1L,1826,1901,1424,1016,2546,1900,1377,2173,1594,2934,2877,1062
ENPP4,501,765,536,350,256,351,553,717,707,685,1039,391
SEMA3F,112,139,187,30,116,43,270,422,310,99,130,49
CFTR,4,5,2,0,0,0,4,4,2,8,2,0
ANKIB1,1405,1783,1141,556,726,787,1528,2049,1727,2133,1928,1061
CYP51A1,4756,8489,5195,4359,4534,5319,5284,7906,6074,9739,11303,4404
KRIT1,1239,1438,1053,496,987,1070,1430,1785,1441,2034,1637,731
RAD52,321,289,236,111,219,297,262,395,324,292,344,192
BAD,1236,1193,948,464,784,853,1159,1395,1007,1727,1405,714
LAP3,2052,1927,1503,1016,2369,2131,1806,2169,1832,3016,3093,1047
CD99,1922,2199,1577,1074,1870,1573,2746,3373,2338,2803,2954,1024
HS3ST1,4,3,0,0,2,2,4,2,2,1,3,0
AOC1,7,2,2,0,0,0,0,0,0,1,5,1
WNT16,0,0,0,1,0,0,0,2,0,0,2,0
HECW1,68,55,62,19,29,32,35,87,25,73,118,29
MAD1L1,894,813,604,341,458,518,603,986,589,1024,724,332
LASP1,9385,9802,7017,6183,8889,9677,7650,9784,7595,13886,10057,5326
SNX11,557,577,475,251,537,501,584,808,520,950,869,350
TMEM176A,0,0,0,0,0,0,0,0,0,0,0,0
M6PR,2716,3634,2298,1786,3090,2807,2860,3430,2416,4614,3422,1826
KLHL13,509,650,503,362,323,511,776,950,749,818,929,360
CYP26B1,419,394,465,44,181,153,378,566,397,505,291,155
ICA1,283,236,218,95,119,80,119,155,203,97,150,31
DBNDD1,715,633,576,330,299,354,1005,1143,683,820,807,408
ALS2,1922,2226,1633,1333,1886,1887,2104,2949,1992,2744,2785,1470
CASP10,688,924,626,340,392,442,661,599,416,1168,932,459
