gene_name,1_S5_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep1,2_S6_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep2,3_S7_L003:_RNA-seq_HUDEP2_sgSCR_pre-differentiation_rep3,4_S8_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep1,5_S9_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep2,6_S10_L003:_RNA-seq_HUDEP2_MBD2_KO_pre-differentiation_rep3,7_S11_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep1,8_S12_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep2,9_S13_L003:_RNA-seq_HUDEP2_sgSCR_post-differentiation_rep3,10_S14_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep1,11_S15_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep2,12_S16_L003:_RNA-seq_HUDEP2_MBD2_KO_post-differentiation_rep3
TSPAN6,170,210,111,243,201,197,48,73,38,24,54,24
TNMD,0,0,0,0,0,0,0,0,0,1,0,0
DPM1,717,956,598,905,649,644,565,711,498,455,508,328
SCYL3,200,227,148,219,188,206,190,217,151,130,164,82
C1orf112,613,660,542,594,511,560,599,835,628,452,457,341
FGR,1,0,0,0,0,0,0,0,1,0,1,0
CFH,0,0,0,7,1,0,0,0,0,4,1,5
FUCA2,1157,1603,1092,1362,1062,1103,580,714,488,386,409,309
GCLC,1511,2222,1647,2613,2206,1874,1655,2347,1476,2320,2451,2355
NFYA,576,809,599,777,922,783,645,839,566,579,789,625
STPG1,80,77,64,77,44,53,69,77,45,65,113,42
NIPAL3,450,677,464,645,551,441,621,849,494,800,817,719
LAS1L,848,1330,862,1245,1095,942,835,1183,792,585,667,493
ENPP4,270,356,216,408,316,315,295,331,235,223,234,163
SEMA3F,0,0,0,0,0,0,3,0,2,2,0,2
CFTR,0,0,0,7,0,0,0,13,1,0,0,0
ANKIB1,1482,2235,1417,1695,1174,1368,1031,1601,963,476,608,412
CYP51A1,3683,4991,3195,3539,2548,3154,2234,2957,2144,2219,2377,1823
KRIT1,1388,1790,1242,1574,1215,1198,1238,1353,888,863,845,630
RAD52,129,176,103,107,120,80,144,208,148,103,90,95
BAD,102,144,82,153,112,130,138,169,110,107,116,106
LAP3,1420,1932,1238,1956,1551,1611,1501,2057,1349,1065,1116,830
CD99,379,552,488,373,466,378,247,387,232,144,172,153
HS3ST1,0,1,1,3,4,0,2,0,1,3,2,2
AOC1,0,0,0,0,1,1,1,1,2,0,2,2
WNT16,0,0,0,0,0,0,0,0,0,0,0,0
HECW1,0,4,4,4,1,4,4,2,27,31,5,28
MAD1L1,452,623,533,708,607,508,493,661,394,375,345,216
LASP1,318,415,288,321,379,266,489,599,360,328,326,309
SNX11,100,140,71,125,129,90,104,171,98,81,83,82
TMEM176A,0,0,0,0,0,0,0,1,0,0,0,0
M6PR,2277,3037,2065,2993,2506,2036,1540,2520,1598,1215,1383,1054
KLHL13,0,0,0,0,0,1,0,0,0,0,0,0
CYP26B1,0,0,0,0,0,1,0,8,4,0,0,0
ICA1,1653,2056,1540,2059,1571,1570,1704,2093,1456,1125,1196,841
DBNDD1,4,1,1,4,2,2,0,1,0,1,2,0
ALS2,4824,5530,3895,5324,3596,4096,3176,4027,2759,1549,1480,1120
CASP10,365,451,340,377,254,218,466,650,369,273,400,195
CFLAR,1094,1462,946,1110,955,976,1124,1453,976,864,874,557
TFPI,892,1189,735,955,742,797,928,1143,803,692,826,630
NDUFAF7,380,516,307,476,326,441,355,478,336,263,306,174
RBM5,2143,2588,1595,2416,1773,1807,2713,4032,2564,2504,2585,2073
MTMR7,0,2,0,2,0,1,0,0,0,1,0,0
SLC7A2,6,4,4,9,14,11,2,4,8,7,9,5
ARF5,70,157,127,168,146,138,108,205,101,97,134,96
SARM1,16,6,29,5,3,3,9,21,8,21,2,8
POLDIP2,1089,1601,1115,1586,1435,1336,755,1083,735,648,712,619
PLXND1,1236,1689,1278,1100,1169,852,1692,2309,1296,864,1094,840
AK2,2574,4055,2568,4008,3202,2962,2354,3220,2131,1292,1456,1189
CD38,2,2,0,0,1,0,2,2,1,1,0,0
FKBP4,1366,2009,1206,1532,1232,1309,1432,1838,1268,566,605,574
KDM1A,4919,6136,4751,6508,4589,5278,2809,3805,2553,1899,1999,1364
RBM6,962,1277,917,1103,901,914,1252,1701,978,1042,1067,793
CAMKK1,53,79,70,60,56,43,44,67,30,15,27,24
RECQL,1457,1840,1202,1596,1075,1271,1074,1545,1132,958,1065,751
VPS50,792,1127,752,1066,680,1035,1285,1601,1292,960,1006,636
HSPB6,0,1,0,1,2,2,3,1,2,0,2,2
ARHGAP33,95,118,76,100,85,44,150,171,115,87,106,47
NDUFAB1,961,1323,838,1345,966,1059,658,940,604,491,534,397
PDK4,17,34,15,170,151,142,27,17,13,171,182,108
SLC22A16,57,83,66,325,202,221,151,152,92,357,291,265
ZMYND10,17,44,29,34,27,12,16,44,20,19,12,7
ABCB5,4,17,10,9,9,11,7,10,8,15,16,7
ARX,0,1,0,0,0,0,0,0,0,0,0,0
SLC25A13,575,809,570,722,672,736,662,814,582,413,558,305
ST7,1072,1433,935,1462,1013,1104,1301,1760,1176,1013,1000,755
CDC27,2328,3291,2057,3256,3013,2671,2512,3187,2249,3414,3820,2737
SLC4A1,38,54,96,1692,1333,1043,587,776,442,6516,7874,6520
CALCR,0,0,0,0,2,0,0,0,0,0,1,0
HCCS,203,348,249,363,282,299,201,352,248,289,310,256
DVL2,138,198,169,201,262,201,205,251,165,181,176,145
PRSS22,0,0,0,0,0,0,0,0,0,0,0,0
UPF1,1202,1473,1086,1217,1522,1184,1175,1617,874,1126,1004,909
SKAP2,284,338,232,281,187,259,210,191,144,101,138,89
SLC25A5,3531,5571,3931,5474,4509,4476,2953,3902,2758,2974,3247,2530
MCUB,540,695,492,266,353,280,221,314,228,45,77,51
