gene_name,EB_379L_mock:_Pro/Pro_Cas9/pos_treated_by_gMock,EB_379L_T1:_Pro/Pro_Cas9/pos_treated_by_g_Lmna_1,EB_379L_T2:_Pro/Pro_Cas9/pos_treated_by_g_Lmna_2,EB_381L_mock_S43:_Pro/Pro_Cas9/pos_treated_by_gMock,EB_381L_T1_S44:_Pro/Pro_Cas9/pos_treated_by_g_Lmna_1,EB_381L_T2_S45:_Pro/Pro_Cas9/pos_treated_by_g_Lmna_2,EB_382R_mock:_Pro/pos__pos/pos_treated_by_gMock,EB_382R_T1:_Pro/pos__pos/pos_treated_by_g_Lmna_1,EB_382R_T2:_Pro/pos__pos/pos_treated_by_g_Lmna_2,EB_374_375_mock_S34:_Pro/pos__pos/pos_treated_by_gMock,EB_374_375_T1_S35:_Pro/pos__pos/pos_treated_by_g_Lmna_1,EB_374_375_T2_S36:_Pro/pos__pos/pos_treated_by_g_Lmna_2,EB_383L_mock:_pos/pos_Cas9/pos_treated_by_gMock,EB_383L_T1:_pos/pos_Cas9/pos_treated_by_g_Lmna_1,EB_383L_T2:_pos/pos_Cas9/pos_treated_by_g_Lmna_2,EB_384R_mock_S52:_pos/pos_Cas9/pos_treated_by_gMock,EB_384R_T1_S53:_pos/pos_Cas9/pos_treated_by_g_Lmna_1,EB_384R_T2_S54:_pos/pos_Cas9/pos_treated_by_g_Lmna_2
Gnai3,6441,3268,4903,3782,4387,3831,6207,4379,3733,6975,5647,5828,4014,5134,5120,5782,5661,4276
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,395,218,209,272,199,251,375,259,255,323,235,309,128,288,162,442,205,144
H19,176,86,127,82,63,66,40,50,34,230,215,255,47,32,77,195,55,34
Scml2,45,40,26,25,57,25,77,70,45,51,55,73,12,45,19,65,30,14
Apoh,20,12,36,44,19,64,33,14,14,9,10,6,35,32,51,27,25,21
Narf,1874,600,1252,508,1248,430,1832,971,1067,1384,1458,907,290,640,528,900,1073,693
Cav2,3603,1136,3087,2097,2128,2228,2623,1665,1713,2044,1488,1534,1769,2647,2437,2770,2920,1696
Klf6,9525,4566,7279,5429,5902,5580,7988,7155,5834,7494,5369,7452,5054,7093,5567,8132,7079,5848
Scmh1,1921,1065,1756,1223,1619,1205,2089,1014,1299,1393,952,1255,871,1304,1067,1700,1396,1113
Cox5a,3388,2273,2505,2174,2365,2210,3290,2217,1979,3304,2635,2808,2006,2332,2351,2931,2456,2060
Tbx2,35,25,36,39,27,44,44,42,19,46,46,49,24,27,39,64,53,47
Tbx4,83,59,63,10,33,18,125,77,66,90,90,105,18,37,32,61,67,41
Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngfr,281,432,1335,1867,2140,3303,200,285,303,631,758,728,1413,1188,1897,405,289,343
Wnt3,1,1,2,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2
Wnt9a,717,214,780,249,213,320,330,292,275,487,399,320,381,337,473,450,688,448
Fer,1327,751,1115,794,973,864,1460,932,894,1237,1059,1279,1033,1157,1312,1317,1189,895
Xpo6,4380,3370,2913,2338,2918,2567,3914,2420,2753,3538,3057,3112,2325,2464,2915,3349,2867,2388
Tfe3,2465,1492,2117,1417,1844,1702,2300,1759,1456,2766,2392,2436,1496,1829,1970,1942,2028,1549
Axin2,256,104,464,100,51,227,113,90,89,164,122,62,178,326,212,257,204,199
Brat1,933,403,683,407,703,431,933,436,586,736,699,644,333,591,449,604,753,480
Gna12,3468,1866,2772,1933,2557,2154,3007,2150,1961,2983,2637,2977,1735,2486,2387,2733,2675,1977
Slc22a18,293,155,282,331,224,297,358,164,184,196,188,218,384,245,373,449,339,332
Itgb2l,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Igsf5,15,10,3,4,6,0,3,3,4,4,5,12,0,2,1,2,1,1
Pih1d2,86,47,58,47,68,29,103,58,53,61,42,70,25,47,39,37,75,42
Dlat,3087,1413,2390,1870,1754,1798,2675,1766,1848,2622,2026,2039,1723,2166,2204,2773,2540,1858
