gene_name,HepG2_RNA_KO_ADRplus_rep1_TP53,HepG2_RNA_KO_ADRplus_rep2_TP53,HepG2_RNA_WT_ADRminus_rep1,HepG2_RNA_WT_ADRminus_rep2,HepG2_RNA_WT_ADRplus_rep1,HepG2_RNA_WT_ADRplus_rep2
TSPAN6,3275,4153,2289,1940,2966,2900
TNMD,0,3,0,0,1,1
DPM1,4807,5685,2507,2258,2485,2560
SCYL3,346,374,191,245,378,464
C1orf112,1711,1592,821,729,836,678
FGR,1,2,0,0,10,13
CFH,10,13,0,0,4,11
FUCA2,8194,5152,7698,6162,4239,2470
GCLC,3121,4161,4128,3953,2176,1851
NFYA,1903,1585,2078,1861,1018,642
STPG1,182,121,109,112,116,129
NIPAL3,286,228,371,261,579,357
LAS1L,1559,1110,1502,1362,1184,705
ENPP4,12,8,0,3,11,5
SEMA3F,1684,831,1553,1299,7111,4724
CFTR,5,21,0,11,7,18
ANKIB1,1091,1335,1584,1263,1710,2488
CYP51A1,3284,4010,5945,5324,1307,1494
KRIT1,1138,963,1009,1034,1091,1174
RAD52,536,337,416,382,1492,1225
BAD,608,318,478,341,524,266
LAP3,7231,6741,3164,3400,6073,4516
CD99,9103,5468,6873,5703,3559,2143
HS3ST1,2,0,8,5,3,5
AOC1,4,1,0,0,2,0
WNT16,0,0,0,0,0,0
HECW1,99,26,7,7,35,46
MAD1L1,1450,741,1653,1460,2366,1624
LASP1,22650,15545,14413,12929,14823,9397
SNX11,602,480,428,371,394,365
TMEM176A,3,0,0,0,2,0
M6PR,6415,5388,3981,3649,4849,3660
KLHL13,10,58,11,17,19,6
CYP26B1,436,161,49,25,18,10
ICA1,10,17,2,1,9,26
DBNDD1,1074,579,1374,1209,1749,1080
ALS2,1988,2553,1326,1686,2179,2218
CASP10,974,1035,1091,1135,2565,2223
CFLAR,4574,4561,4610,4791,5525,5675
TFPI,26185,37882,13768,15620,16759,15357
NDUFAF7,1502,1326,867,974,852,837
RBM5,4517,4266,3182,3581,4856,4241
MTMR7,20,50,0,0,48,31
SLC7A2,8614,8625,8037,9222,5124,4721
ARF5,2120,1504,1783,1075,1485,869
SARM1,204,96,82,115,78,102
POLDIP2,5823,4216,3453,3189,3316,2133
PLXND1,8229,3718,8151,8224,4108,2800
AK2,5217,4106,4030,3860,3290,2197
CD38,14,12,1,4,10,9
FKBP4,5745,4844,4429,4411,2331,1641
KDM1A,4774,4343,5335,4945,3207,2723
RBM6,2847,3016,2544,3197,3600,3646
CAMKK1,115,73,154,152,52,38
RECQL,2034,2299,1014,1061,1321,1167
VPS50,590,704,645,601,761,1082
HSPB6,12,3,4,14,1,2
ARHGAP33,71,35,130,217,46,27
NDUFAB1,4511,3698,4149,3110,2865,2124
PDK4,8,6,0,1,9,7
SLC22A16,11,7,0,0,24,19
ZMYND10,28,10,9,26,23,23
ABCB5,12,12,28,15,24,10
ARX,5,1,0,0,13,10
SLC25A13,1972,1235,3353,2902,2263,1576
ST7,631,748,635,627,285,252
CDC27,4379,4608,5059,4635,3917,3156
SLC4A1,5,4,3,14,0,6
CALCR,3,10,0,0,9,3
HCCS,1231,1202,684,665,798,555
DVL2,2605,1639,2413,1785,1752,860
PRSS22,1,0,2,0,0,1
UPF1,5893,3317,5922,5050,5798,3912
SKAP2,860,1073,739,915,1564,1540
SLC25A5,15190,10794,12973,10845,17957,11468
MCUB,507,268,122,329,48,57
HOXA11,9,12,1,0,18,19
POLR2J,1543,1036,1438,1065,1190,711
DHX33,5959,4339,5041,4873,2079,1467
MEOX1,2,0,0,0,2,0
THSD7A,14,64,2,20,42,17
LIG3,2235,1425,3103,3277,2154,1427
RPAP3,1370,1678,717,794,830,984
ACSM3,17109,14736,2618,1944,4982,3169
REXO5,619,463,246,261,939,777
CIAPIN1,1703,1454,1595,1443,1816,1320
SPPL2B,788,400,653,820,1469,894
FAM214B,195,118,110,118,226,72
COPZ2,9,0,2,5,6,7
PRKAR2B,58,66,27,35,44,32
MSL3,450,436,273,210,269,341
CREBBP,5881,3266,5541,6375,7426,5817
TSPOAP1,8,8,1,4,33,8
MPO,32,19,0,1,10,21
PON1,15,33,1,0,2,1
GCFC2,1082,1005,1495,1464,805,891
WDR54,168,139,102,97,249,186
CROT,163,232,242,291,642,842
ABCB4,271,349,75,69,57,71
KMT2E,1163,1125,2160,1959,2575,2702
RHBDD2,4708,2795,1157,958,2574,1444
SOX8,4,7,43,47,19,12
ZNF195,1081,963,736,850,2486,2353
MYCBP2,2683,2665,4543,4822,2837,2805
FBXL3,1556,1602,1098,1152,1007,1129
ITGAL,136,51,104,83,57,68
PDK2,909,529,623,651,361,222
ITGA3,119,70,39,29,3209,3012
ZFX,1847,1665,1768,2007,1182,892
LAMP2,7698,8728,4670,4833,3052,3092
ITGA2B,44,37,14,40,501,267
ASB4,230,346,41,16,132,175
GDE1,2330,2414,1893,1827,3221,2986
REX1BD,555,369,252,176,369,270
CRLF1,10702,5805,11346,10156,7024,4760
OSBPL7,433,206,251,244,435,226
TMEM98,3371,2164,2697,2008,1250,821
YBX2,4,0,11,4,2,20
KRT33A,1,0,0,0,15,14
MAP3K14,583,379,518,495,484,309
ABCC8,30,25,0,0,18,21
CACNG3,2,5,0,1,9,3
TMEM132A,2523,1378,1661,1300,1538,1073
AP2B1,5434,5793,4204,4185,4882,4283
TAC1,1,0,0,0,0,0
ZNF263,1488,1164,1366,1292,1231,904
CX3CL1,6643,4403,3714,2984,7851,4721
SPATA20,2786,1560,3842,3218,3548,2346
CACNA1G,51,43,1,3,34,33
TNFRSF12A,2409,1514,2200,2091,1739,906
DLX6,287,257,433,299,269,221
MAP3K9,1151,606,1002,1147,1060,665
RALA,2334,2247,1447,1511,1712,1315
BAIAP2L1,992,1073,1406,1363,2175,2508
KDM7A,1742,1962,3815,4402,4164,3321
ETV1,78,50,3,3,8,1
AGK,424,585,568,767,636,810
ALDH3B1,250,80,316,186,360,228
TTC22,4,5,6,1,1,7
PHTF2,872,822,742,794,729,845
CCL26,9,1,0,2,8,12
FARP2,3080,2217,2660,3094,2036,1510
USH1C,7,0,0,0,7,3
GGCT,1406,1424,1047,960,735,683
DBF4,842,983,1273,987,557,252
TBXA2R,143,98,96,147,131,111
IFRD1,3074,3095,1955,2322,3692,3707
LGALS14,6,7,0,0,0,2
COX10,895,822,824,743,678,479
GTF2IRD1,1919,920,1614,1818,829,493
PAF1,2108,1409,1555,1408,1399,1079
VPS41,1243,1345,1111,1277,2173,2226
ARHGAP44,209,166,140,159,283,180
ELAC2,3246,2036,2759,2724,2075,1541
SCIN,27,50,12,19,38,45
ARSD,599,388,495,344,582,417
PNPLA4,485,400,435,313,394,275
MYH13,3,2,0,0,9,3
ADIPOR2,2598,2251,3317,3674,2285,2407
CDKL3,70,83,36,25,37,76
UPP2,10,17,0,0,7,6
MARK4,2583,1333,2307,2305,2231,1557
PROM1,1651,1293,545,507,248,199
CCDC124,1219,629,1262,1072,907,646
CEACAM21,1,1,2,0,2,1
PAFAH1B1,3775,3665,2554,2935,3462,3021
NOS2,14,9,0,2,6,3
DNAH9,12,23,9,4,66,22
KIAA0100,10678,7668,8746,9009,6101,4184
SLC13A2,5,6,0,0,5,9
GAS7,1115,589,17,13,116,66
TRAPPC6A,156,114,90,64,391,244
MATK,89,43,25,25,3,3
CEACAM7,0,0,0,0,0,1
CD79B,22,4,0,0,150,88
SCN4A,12,15,0,2,57,64
ST7L,548,616,321,325,580,579
TKTL1,1,4,0,0,2,15
PAX6,568,419,192,242,321,218
RPUSD1,366,255,820,760,336,248
RHBDF1,665,439,357,374,1651,983
LUC7L,2745,2097,1923,1734,2507,1615
CACNA2D2,1,8,0,1,3,5
BAIAP3,610,352,85,80,216,171
TSR3,600,358,735,624,528,312
PIGQ,142,66,531,494,549,301
CRAMP1,1656,845,1522,1371,1757,1038
TEAD3,2422,1237,2257,2089,3943,2604
SELE,4,13,0,5,7,7
DNAJC11,3325,2908,2687,2891,3226,2321
FMO3,5,3,1,4,4,9
MYLIP,176,159,91,94,128,112
NOX1,3,8,0,0,1,0
PSMB1,7751,6579,5966,5173,6336,4344
SYN1,3,7,0,1,60,92
JARID2,1441,1039,1768,1564,2497,2152
CDKL5,1204,1335,1032,1195,1438,1883
CAMK1G,0,0,0,0,107,62
CDK11A,1185,739,834,796,1001,851
NADK,2661,1328,2845,2565,2632,1527
TFAP2B,2,17,0,0,2,2
TFAP2D,0,1,0,0,0,2
DLEC1,24,9,5,1,21,14
CYTH3,980,451,412,497,1018,849
ADAM22,461,522,240,331,82,139
SYPL1,1789,1990,1780,1934,1964,1997
CYB561,552,489,70,81,150,130
SPAG9,4897,5382,3670,4161,4438,4954
CELSR3,1708,924,1695,1842,705,426
AASS,740,779,1193,1177,488,439
PLEKHG6,418,297,460,431,547,252
SS18L2,398,528,333,336,183,164
MPND,298,280,580,532,354,174
MGST1,2993,4529,2959,3537,1016,1142
CRY1,1639,1156,1124,1047,787,587
PGLYRP1,1,1,0,0,3,0
NFIX,2447,1147,2552,2445,592,326
ST3GAL1,2769,1798,2974,3086,560,448
MMP25,3,9,2,2,5,2
IL32,16915,10265,3987,2762,10914,5606
PKD1,1538,1007,2904,2975,1951,1201
MAPK8IP2,243,134,166,121,149,100
MED24,4917,3157,3748,3253,3289,2304
RHOBTB2,805,655,1232,700,1026,663
HEATR5B,1239,1184,1162,1481,1349,1524
SEC62,3698,6934,2261,2484,3534,5362
RPS20,26950,21858,18623,14594,25569,18838
CSDE1,15610,15999,14711,15611,13377,12632
UBE3C,2872,2665,3398,4052,4404,3747
REV3L,3785,3984,3422,4802,6131,8846
TENM1,40,33,1,2,17,14
PAX7,2,2,0,0,7,1
MASP2,692,348,457,362,420,209
IYD,49,23,24,30,48,17
FAM76A,863,893,388,440,551,464
TRAF3IP3,0,10,0,0,1,0
POMT2,816,610,764,801,694,516
VTA1,2926,4363,1887,1944,2554,3061
MLXIPL,6333,3233,3671,3773,2583,1380
BAZ1B,6873,7753,5598,6076,4909,4883
RANBP9,2094,2055,1740,1937,2025,2286
ETV7,5,7,1,2,71,60
SPRTN,1098,955,699,545,1056,836
EEF1AKNMT,1318,1245,1083,1021,971,502
DYRK4,335,248,275,328,263,110
ZNF207,9515,8973,7863,8030,8476,6993
UQCRC1,10514,6791,7689,7129,8785,5377
STARD3NL,1094,1120,979,994,1034,890
CD9,152,118,187,164,700,475
HHATL,0,2,1,0,9,7
NCAPD2,9197,6866,10221,8468,8117,4169
IFFO1,936,564,638,582,790,508
GIPR,72,49,18,17,61,45
PHF7,166,190,141,187,363,323
SEMA3G,2914,1829,1570,1621,496,372
NISCH,3679,1775,2161,2007,2742,1672
STAB1,39,9,5,40,66,48
FUZ,0,2,1,0,6,4
SLC6A13,10,2,0,9,14,8
IDS,977,674,729,834,1031,654
PRSS3,2,3,0,0,5,2
ZNF200,842,874,508,476,491,465
CD4,72,73,70,60,29,25
LRRC23,90,42,131,172,92,85
BTK,2,52,0,0,3,3
HFE,564,424,150,152,120,95
SCMH1,1522,1023,2236,2031,1303,922
FYN,1599,1015,110,106,97,118
HIVEP2,1588,1689,801,1024,665,1095
FMO1,0,1,0,0,21,1
ELOA,4947,4260,2289,2238,3272,2052
LYPLA2,4363,2742,2562,2065,8204,4720
CLCN6,1175,714,2009,1873,1279,859
MRC2,11,42,3,9,276,315
NME1-NME2,494,342,510,496,280,146
SLC6A7,3,1,0,0,3,2
TSPAN9,1333,715,1356,1203,1475,1145
APBA3,628,377,433,543,451,309
MKS1,676,343,717,530,476,235
ABHD5,183,276,80,98,260,287
ANOS1,13,48,5,1,57,67
AKAP8L,2757,1723,1779,1807,3251,1928
MBTD1,1637,2170,1305,1492,1507,1547
UTP18,2192,2274,2566,2358,1220,1108
RNF216,2604,2172,2453,2579,1867,1948
TTC19,1586,1557,726,826,1162,1134
PTBP1,20228,10987,21065,18995,10603,6337
DPF1,111,71,141,81,119,36
SYT7,299,221,155,105,361,276
LARS2,1762,1234,2020,1740,1456,1165
PIK3C2A,5551,5872,4481,5231,4049,4053
PLAUR,133,80,103,94,13,11
ANLN,4140,5560,4637,4238,6044,5433
WIZ,2555,1201,1809,1722,1856,1062
RABGAP1,1867,1903,1659,1879,2737,3320
DCN,11,16,10,4,1,4
QPCTL,918,597,1021,977,270,156
PPP5C,2965,1623,2519,2153,1920,1314
CEP68,2551,1931,892,812,1791,1411
MAP4K3,2682,2300,2987,3833,4157,4730
ZBTB32,2,2,1,0,0,0
TYROBP,1,1,0,1,5,2
TMEM159,274,189,154,186,289,209
GABRA3,4,16,0,0,13,8
BRCA1,3972,4101,1740,1561,1309,1193
ERCC1,1750,1125,1204,1066,1569,952
CD22,24,15,33,64,37,46
SEMA3B,2630,1320,11876,10971,13217,8486
MBTPS2,1577,1881,870,997,1434,1314
PRICKLE3,242,134,343,271,274,211
LTF,16,3,1,0,14,10
EXTL3,1876,1376,1495,1248,2395,1875
NR1H4,658,803,1141,1044,465,426
ELOVL5,5285,5170,3731,3670,2714,2335
ALOX5,0,4,2,0,177,248
KDM5D,1556,1263,1812,1733,1109,837
CALCOCO1,729,490,298,295,1673,1050
UBR7,0,8,11,0,0,0
MAP4K5,1786,978,2097,1967,2106,1537
EHD3,140,106,22,34,56,62
MAN2B2,1784,903,1298,1044,1641,989
SLC7A14,36,39,24,23,38,42
CLDN11,666,531,246,216,155,124
SLC25A39,8566,5315,5579,4568,5553,3369
MVP,539,436,719,513,1854,1552
NUB1,1412,1591,965,1026,1211,1387
PGM3,3586,4027,2340,2890,1755,2294
RWDD2A,345,325,301,271,203,184
CLK1,3195,3777,1926,1963,3538,4288
POLR3B,626,594,848,863,563,605
ANGEL1,876,629,907,841,871,692
RNF14,613,897,405,480,689,637
DNASE1L1,248,151,165,150,485,371
DDX11,3579,1899,2715,2504,1934,1082
HEBP1,982,697,505,511,1026,763
GPRC5A,218,83,56,310,56,77
MAMLD1,55,31,0,0,29,15
CD6,4,2,0,0,3,12
TACC3,4444,2788,3561,2957,4286,2535
UFL1,1190,1243,1201,1257,941,1052
POLA2,1486,1276,647,596,1114,1054
ZC3H3,533,281,1089,1071,990,625
CAPN1,3725,2189,3379,3137,7107,4217
ACP3,3,3,0,0,2,2
MDH1,4730,5961,3206,3317,5579,5129
SLC30A9,2407,1962,1693,1274,2312,2430
MTMR11,71,52,18,26,30,9
COX15,2645,2221,1387,1320,2223,1756
CCDC88C,1215,778,2161,2166,849,631
YAF2,1239,951,574,629,735,615
ZMYND11,1534,1703,1928,1993,1917,1756
WAS,3,1,7,6,1,7
DPEP1,515,290,712,518,388,283
BID,1806,931,1278,936,1081,609
MATR3,12264,14568,9267,9778,10418,11096
NPC1L1,631,389,1319,1248,5683,3431
XYLT2,1290,577,1201,1142,1574,1045
RGPD5,3212,2276,2176,3049,3202,3520
STMN4,3,8,0,1,0,3
NUDCD3,2312,1596,2342,1731,1556,1439
ISL1,2,2,0,0,1,0
CHDH,3091,1842,3732,4057,2918,1741
IL20RA,5,82,0,0,1,2
CLCA1,9,12,0,1,5,7
CLCA4,14,20,0,0,4,7
GLT8D1,802,713,935,884,1294,1254
ATP2C1,2536,2640,1674,1909,1639,1948
IGF1,54,60,7,8,22,12
SLC38A5,631,341,1955,1812,473,209
RALBP1,2744,2155,2204,1909,3084,2794
RUFY3,581,515,697,700,492,459
CNTN1,7,15,0,0,56,66
SLC11A1,66,71,16,12,90,97
WWTR1,5502,3735,6601,6761,5440,4410
AGPS,9421,7379,7528,7940,5531,4710
ZNF806,0,0,0,0,3,1
CXorf56,693,788,503,498,603,480
ATP1A2,160,173,279,238,7,11
TTC27,1452,1333,1424,1382,738,699
ZNF582,43,52,31,51,71,66
VSIG2,129,73,139,82,206,114
PHLDB1,3277,1885,2284,2326,5461,3810
MARCO,8,4,1,4,23,8
CYP24A1,2351,1541,5909,7116,17059,14393
PRDM11,1018,585,568,587,684,304
SYT13,11,4,3,1,6,6
SNAI2,9,5,0,1,16,18
CD74,8349,5728,2562,1848,3052,1494
HGF,1,13,0,2,2,9
ZRANB1,1884,1889,1559,1586,1423,1516
NCDN,1078,675,720,624,383,264
ADGRA2,57,58,16,30,530,423
CCT8L1P,1,1,1,0,0,1
ZFP64,1020,626,1327,1201,764,564
MNAT1,602,726,548,723,720,727
SAMD4A,3179,2177,4093,4250,4710,3299
RUNX3,112,26,5,5,9,9
MRE11,2229,2653,2277,2266,3970,4288
PLEKHB1,4069,2845,4841,4013,714,505
SERPINB1,2557,2695,1050,946,2444,2430
CYP3A43,14,31,1,27,311,243
SLC7A9,94,58,69,71,56,29
SPAST,1473,1795,1797,2296,939,1459
NRXN3,12,28,9,9,60,77
OSBPL5,22,1,0,0,5,3
AQR,2447,2636,2502,2594,2489,2753
CPS1,2251,2890,1575,1567,1580,1704
C8B,37,28,64,99,35,11
FHL1,9,12,0,2,6,3
RTF2,3695,2559,3244,2808,3429,2390
GABRA1,0,1,0,0,14,4
NLRP2,11,8,4,5,16,15
SLC45A4,14,13,0,0,28,31
RNF10,4220,3657,3237,3333,4197,3710
ZNF839,282,119,213,273,323,234
ZDHHC6,1406,1286,968,979,731,732
GRAMD1B,45,78,17,25,21,10
