gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
TSPAN6,326,445,424,177,498,552,667,192,343,249,428,550,152,106,423,312
TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPM1,340,468,501,388,600,578,562,332,506,340,556,686,248,112,617,475
SCYL3,158,190,170,191,202,216,236,129,166,64,193,206,68,78,197,143
C1orf112,154,271,31,66,352,368,41,32,316,295,72,57,115,171,79,59
FGR,3,1,11,40,2,1,10,2,2,0,36,23,6,0,45,27
CFH,1017,1256,1088,829,1498,1342,1296,683,975,672,762,1037,392,392,855,453
FUCA2,2631,2676,2260,2331,2895,2740,2686,1814,3066,2161,2983,3046,1492,1339,3429,2586
GCLC,228,297,724,825,329,191,573,399,322,249,618,734,161,166,914,586
NFYA,613,645,414,177,668,720,470,293,720,233,482,368,142,485,474,346
STPG1,371,376,382,239,468,439,442,274,513,205,512,498,235,382,477,427
NIPAL3,3426,4429,6492,4600,4119,4237,6773,4450,3604,2160,5863,6003,1781,2963,3811,3529
LAS1L,654,705,375,364,756,728,407,264,828,721,512,580,583,437,400,398
ENPP4,17,3,0,0,6,5,3,0,8,17,4,5,0,2,1,0
SEMA3F,516,587,760,615,731,630,773,751,1486,1057,2074,2331,649,1604,2147,2124
CFTR,0,0,16,7,0,0,40,11,0,0,18,8,0,0,13,6
ANKIB1,1455,1244,1491,813,1186,1292,1574,818,1347,994,1793,2111,205,1089,1518,915
CYP51A1,1200,1507,585,386,1563,1572,645,339,1255,1081,619,863,594,768,599,548
KRIT1,372,332,286,48,412,408,252,311,301,172,301,351,301,239,265,159
RAD52,54,80,77,76,92,102,165,98,112,140,103,155,118,105,124,54
BAD,454,564,285,233,672,608,341,279,660,313,445,371,436,237,398,435
LAP3,2523,2953,5014,3510,2446,2496,4848,4353,4112,2934,7691,8656,1906,1768,7926,6210
CD99,11473,11550,13205,9940,12844,12192,13266,10186,12334,7844,15283,15227,8225,5301,16427,13011
HS3ST1,1,0,1,0,1,1,4,0,4,12,2,2,0,2,1,1
AOC1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
WNT16,37,22,3,0,33,33,2,0,9,14,0,0,0,2,0,1
HECW1,157,82,54,7,70,89,46,26,128,230,88,36,39,233,81,56
MAD1L1,422,683,369,414,600,547,460,545,769,740,462,532,674,603,649,506
LASP1,16036,18193,12757,10479,18743,18061,13957,9354,19716,12255,14490,14754,5496,12486,12001,11446
SNX11,351,471,347,302,484,441,371,264,554,435,492,589,189,351,384,378
TMEM176A,4,1,4,0,3,7,2,2,5,26,18,32,14,5,18,19
M6PR,2250,2373,3943,3833,2266,2399,4262,3120,2785,2195,4894,4757,1750,1492,5465,4661
KLHL13,0,1,5,7,3,10,2,65,11,11,6,13,0,4,3,3
CYP26B1,268,330,1772,1890,408,423,1993,1337,212,132,1524,1654,76,450,1803,1290
ICA1,0,3,2,0,3,0,1,0,5,1,1,0,4,0,0,0
DBNDD1,119,127,169,177,100,87,194,166,156,150,311,282,126,176,234,240
ALS2,533,701,1017,1286,818,756,1157,694,1103,472,890,928,239,747,709,809
CASP10,74,29,116,177,44,59,64,71,50,404,92,170,40,75,145,121
CFLAR,1912,2666,1902,1145,2475,2670,2009,1055,3155,1791,2713,2743,1763,1972,2596,2012
TFPI,822,1033,548,338,1457,1542,719,308,1217,687,681,739,567,478,808,476
NDUFAF7,145,96,156,221,135,134,141,118,170,177,163,227,67,95,189,111
RBM5,915,1089,973,1200,1132,1183,1008,684,1047,597,1052,1328,597,936,1498,920
MTMR7,0,0,3,0,0,1,0,0,0,0,1,2,0,0,2,3
SLC7A2,62,93,125,83,108,104,141,106,123,111,87,85,50,99,73,62
ARF5,938,1146,954,771,1080,1061,1125,928,1185,945,1248,1095,762,491,1170,916
SARM1,494,604,471,412,688,595,461,273,922,582,488,536,278,775,409,412
POLDIP2,2376,2233,3150,2376,2315,2132,3061,2471,2928,1645,3870,3840,1077,1398,3995,3327
PLXND1,4385,4043,2895,2904,4099,4181,2403,1818,4799,3829,2908,2854,3642,3953,3026,2383
AK2,1417,1622,896,602,1740,1579,1118,850,2000,1296,1436,1608,1178,740,1410,1321
CD38,1,25,5,1,5,4,12,42,18,5,39,11,3,35,30,21
FKBP4,1408,1340,1497,1642,1581,1343,1750,1485,1517,917,1652,1979,899,943,1802,1560
KDM1A,1315,1304,574,551,1566,1409,778,348,1388,915,820,782,579,821,626,627
RBM6,487,658,404,303,742,617,414,322,635,806,453,534,867,445,544,347
CAMKK1,225,179,460,296,261,185,362,347,204,97,384,400,88,101,416,367
RECQL,1131,1668,1600,949,2119,2012,2510,1014,1563,752,1648,2165,527,512,2362,1404
VPS50,213,241,173,175,315,282,161,129,206,92,175,148,37,105,92,76
HSPB6,1065,953,958,865,1062,940,939,889,1717,1006,1776,1799,617,780,1555,1315
ARHGAP33,37,73,7,0,76,49,6,61,84,63,18,17,26,112,53,17
NDUFAB1,423,526,357,271,686,594,517,257,531,450,460,485,466,172,378,288
PDK4,2,7,10,22,7,19,12,24,13,3,17,22,32,10,28,11
SLC22A16,0,2,3,0,2,2,0,0,6,0,1,2,0,0,3,1
ZMYND10,5,7,3,0,17,6,10,0,22,31,17,15,31,6,9,10
ABCB5,0,6,4,21,3,4,7,4,4,0,5,11,4,11,7,8
ARX,0,0,4,21,0,0,2,0,0,0,0,2,0,0,8,5
SLC25A13,404,352,244,317,451,365,241,145,460,478,271,241,151,280,326,180
ST7,590,433,415,292,436,479,518,381,528,346,586,581,235,327,575,410
CDC27,1937,1873,786,805,2130,1834,965,296,2184,1143,966,1065,762,1291,873,593
SLC4A1,4,3,4,2,7,3,3,0,4,0,3,6,8,3,4,0
CALCR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
HCCS,565,564,503,623,568,594,693,350,762,591,766,782,303,270,673,523
DVL2,547,703,748,745,728,623,688,570,981,770,1114,1210,319,658,887,795
PRSS22,0,0,1,0,2,2,5,14,0,0,10,2,0,2,3,8
UPF1,2895,2981,3696,2782,3190,3061,3213,2963,3621,2171,3943,4444,1716,3290,4104,3480
SKAP2,231,492,238,212,351,390,248,284,409,273,296,352,130,190,286,179
SLC25A5,2213,2432,2518,2035,2523,2295,2686,1731,3497,2080,3536,3791,1765,1809,3639,3504
MCUB,140,185,28,0,215,224,32,21,296,209,67,124,124,204,178,98
HOXA11,561,653,656,497,688,694,730,567,661,570,854,899,333,335,731,624
POLR2J,573,583,523,253,656,619,548,564,808,519,654,591,705,202,640,545
DHX33,507,586,618,332,625,544,671,471,691,372,687,955,318,654,877,681
MEOX1,14,16,19,0,18,25,12,18,12,0,33,36,18,6,36,17
THSD7A,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0
LIG3,537,386,611,242,343,468,395,407,604,642,631,899,162,620,477,393
RPAP3,256,517,227,265,707,731,427,214,423,167,271,312,221,167,268,247
ACSM3,2,6,10,4,14,4,8,1,9,3,6,1,0,0,6,7
REXO5,120,88,47,63,164,109,95,39,116,217,89,129,75,89,120,104
CIAPIN1,386,520,584,403,588,533,801,501,579,675,738,623,527,265,662,533
SPPL2B,494,622,789,545,671,542,599,535,691,370,896,995,274,622,961,803
FAM214B,1336,1301,800,606,1391,1246,791,699,1727,1273,967,873,1190,1329,1058,793
COPZ2,867,820,805,857,930,786,832,509,826,506,774,871,576,269,721,632
PRKAR2B,258,389,264,132,478,377,452,149,453,246,270,326,179,121,322,163
MSL3,285,397,335,415,391,429,443,190,426,334,357,390,339,197,486,265
CREBBP,2671,1792,2288,1504,1516,1758,1942,1240,2042,1317,1882,1984,617,2588,2213,1686
TSPOAP1,8,14,0,0,29,32,10,0,67,12,16,3,13,29,6,3
MPO,0,0,1,0,0,0,1,0,0,0,3,11,0,14,0,4
PON1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCFC2,84,108,68,113,154,126,131,87,119,243,100,141,98,35,149,104
WDR54,244,251,73,55,274,278,108,66,337,219,142,132,331,127,144,147
CROT,221,332,667,651,337,409,1065,611,209,101,564,833,113,124,427,370
ABCB4,11,14,10,1,8,9,12,13,46,0,18,13,2,3,42,9
KMT2E,1219,1243,437,579,1438,1435,623,259,1361,1054,536,419,1194,893,579,443
RHBDD2,1185,1295,3323,2864,1371,1404,3122,2343,1463,864,3952,4111,921,874,4741,3940
SOX8,5,2,9,0,4,7,7,18,5,19,16,15,1,3,35,21
ZNF195,153,210,252,157,248,248,349,129,200,164,301,394,37,176,300,229
MYCBP2,1051,1219,732,767,1365,1410,1064,714,1202,700,879,1179,1092,1034,807,583
FBXL3,468,676,442,243,804,923,646,161,574,439,577,559,236,256,729,391
ITGAL,6,35,2,0,23,12,7,2,10,0,3,0,8,8,8,7
PDK2,395,394,583,347,493,346,605,438,545,370,695,628,135,278,599,517
ITGA3,10487,13075,10353,10247,14453,12991,7259,6800,16801,11865,12414,12293,10542,14494,12125,11002
ZFX,496,542,442,572,525,584,531,162,584,416,343,582,64,412,375,193
