gene_name,DLD1_WT_replicate1,DLD1_WT_replicate2,DLD1_Furin_KO_replicate1,DLD1_Furin_KO_replicate2,HCA7_WT_replicate1,HCA7_WT_replicate2,HCA7_Furin_KO_replicate1,HCA7_Furin_KO_replicate2,HT29_WT_replicate1,HT29_WT_replicate2,HT29_Furin_KO_replicate1,HT29_Furin_KO_replicate2
TSPAN6,633,521,548,375,883,1541,1091,1407,850,941,795,814
TNMD,0,0,0,0,0,0,0,0,3,2,1,0
DPM1,1065,903,821,636,1241,1790,1153,1633,1133,1413,928,1028
SCYL3,277,247,212,148,223,325,303,442,356,388,274,295
C1orf112,642,525,507,334,285,462,350,441,275,452,215,238
FGR,0,0,0,0,3,14,2,1,0,0,0,0
CFH,1,1,0,8,0,1,1,0,1824,2165,357,359
FUCA2,4130,3465,3820,2884,944,1530,1713,2185,1882,2306,1582,1612
GCLC,1174,1275,1360,971,1521,2127,1172,1650,1010,1724,1162,1030
NFYA,645,564,699,525,828,1294,924,1171,679,851,627,674
STPG1,226,184,240,136,103,109,138,151,130,197,163,156
NIPAL3,735,545,630,427,463,771,803,1075,1054,1318,888,831
LAS1L,1079,828,771,613,900,1401,872,1118,1105,1505,947,1021
ENPP4,648,469,654,478,815,1166,696,918,468,559,337,342
SEMA3F,553,409,788,601,310,509,326,477,361,365,451,436
CFTR,320,154,1299,840,288,465,432,392,3051,3703,2401,2493
ANKIB1,1466,1241,1328,1219,1020,1525,1055,1689,1514,2089,1407,1615
CYP51A1,3375,2327,3041,2205,8700,12630,8530,11228,3227,3346,1993,2267
KRIT1,836,609,680,495,670,784,637,807,684,821,686,561
RAD52,246,222,225,145,147,218,214,246,183,140,108,107
BAD,347,274,317,260,429,710,625,946,243,309,211,203
LAP3,1149,1065,1051,678,998,1426,1006,1257,797,1117,748,766
CD99,2022,1915,2912,1970,928,1230,1186,1607,59,66,33,30
HS3ST1,66,136,172,40,471,1031,815,1066,696,1012,378,605
AOC1,0,2,3,0,36,37,39,44,409,532,308,301
WNT16,18,26,49,25,14,17,7,10,0,0,2,0
HECW1,38,18,44,46,8,22,0,18,11,12,15,27
MAD1L1,566,392,486,237,287,479,317,514,222,343,333,238
LASP1,7604,6613,7297,5311,5688,8727,6068,7780,7029,9812,6241,6364
SNX11,498,385,397,292,267,395,260,315,368,393,297,297
TMEM176A,0,0,0,0,2,4,26,39,4,5,3,2
M6PR,3053,2379,2907,2023,2196,2812,2233,2984,2308,2842,1580,1793
KLHL13,0,0,0,0,109,189,112,149,1,0,0,1
CYP26B1,567,389,568,412,3,13,2,1,6,4,0,0
ICA1,386,267,313,230,1283,2013,1646,2398,496,689,526,578
DBNDD1,263,227,319,248,464,752,554,729,142,201,126,100
ALS2,887,644,809,690,459,801,600,823,583,584,537,559
CASP10,452,278,405,293,172,323,215,271,198,185,143,94
CFLAR,2803,2324,2456,1877,1152,2171,1923,2679,1290,1429,958,986
TFPI,251,187,296,185,42,55,40,52,6989,7763,5684,6381
NDUFAF7,773,651,595,403,370,520,321,461,376,631,352,366
RBM5,2399,1711,2034,1859,1161,2030,1615,2057,1121,1481,1077,957
MTMR7,7,12,8,6,0,0,0,0,0,0,0,0
SLC7A2,768,604,980,685,0,1,2,0,446,449,275,269
ARF5,1532,1451,1623,1294,1854,2399,1680,2028,1254,1784,1244,1369
SARM1,448,340,522,371,792,1467,649,952,173,204,136,186
POLDIP2,1449,1325,1156,834,2666,3926,2477,3043,1112,1638,1083,1134
PLXND1,131,83,286,215,32,65,126,109,908,1256,1487,1521
AK2,4218,3713,3009,2218,2633,3913,2615,3632,3125,3871,2835,2836
CD38,13,7,7,1,3,6,11,11,18,14,12,9
FKBP4,2291,1949,1775,1086,2682,3562,2897,3980,2296,2966,1992,2376
KDM1A,4657,3839,2776,1927,2610,3552,2403,3360,2141,2757,2027,2143
RBM6,1371,1076,1284,936,759,1357,832,1007,987,1017,887,1198
CAMKK1,245,230,225,153,219,339,255,327,204,315,188,196
RECQL,2344,1904,1833,1362,743,1198,958,1263,695,882,508,525
VPS50,445,347,400,351,472,753,508,683,543,700,430,438
HSPB6,4,1,2,0,0,0,0,2,3,0,0,1
ARHGAP33,203,194,305,224,101,200,116,174,288,326,294,137
NDUFAB1,1404,1264,971,718,1109,1845,1124,1454,1106,1545,999,1054
PDK4,25,16,33,17,50,80,160,185,83,123,124,113
SLC22A16,8,12,6,5,4,9,2,3,6,5,2,3
ZMYND10,46,26,25,22,10,18,34,34,7,11,8,5
ABCB5,1,0,5,6,8,3,0,7,9,4,5,6
ARX,4,5,5,2,0,0,0,0,2,1,2,0
SLC25A13,1481,1252,1200,766,625,897,609,857,1066,1455,833,1006
ST7,398,284,337,233,323,418,303,395,532,675,497,423
CDC27,2595,2232,2530,2106,1717,2154,1582,1839,783,993,727,704
SLC4A1,24,16,12,16,4,17,9,12,17,10,14,4
CALCR,0,0,0,0,0,1,0,0,0,0,0,0
HCCS,548,458,400,289,427,644,480,533,209,286,183,185
DVL2,511,509,732,536,805,1491,1085,1569,323,429,384,297
PRSS22,1074,819,828,668,8,16,7,20,319,412,325,308
