gene_name,K562WT_Rep1,K562WT_Rep2,K562WT_Rep3,STAG2_heterozygous1_Rep1,STAG2_heterozygous1_Rep2,STAG2_heterozygous1_Rep3,STAG2_heterozygous2_Rep1,STAG2_heterozygous2_Rep2,STAG2_heterozygous2_Rep3,STAG2_nullA_Rep1,STAG2_nullA_Rep2,STAG2_nullA_Rep3,STAG2_nullB_Rep1,STAG2_nullB_Rep2,STAG2_nullB_Rep3
TSPAN6,0,2,2,0,0,0,1,0,2,10,20,13,10,13,10
TNMD,0,0,0,0,0,0,0,0,0,11,5,2,78,126,119
DPM1,1389,1678,1802,1493,1520,1254,1452,1681,1811,1550,1517,1614,1806,1694,1731
SCYL3,381,320,406,325,272,352,386,238,362,318,353,289,327,367,275
C1orf112,713,1143,1192,1009,1102,1002,930,1221,1375,1071,1108,939,1418,1329,1315
FGR,2,3,0,2,0,4,0,0,0,1,0,0,1,0,0
CFH,1933,1548,1550,5466,5304,4911,3568,2558,2810,298,269,230,5,23,6
FUCA2,2096,3013,3445,3294,3390,3255,2932,2876,3828,3517,3531,3291,3351,3490,3625
GCLC,347,388,728,438,486,602,343,324,519,917,745,1010,845,1049,677
NFYA,705,961,1088,1151,1234,873,911,1008,1197,1619,1761,1477,1530,1696,1567
STPG1,222,280,222,310,245,307,266,179,300,241,231,259,252,242,243
NIPAL3,921,1122,1214,965,837,1063,1104,909,1085,824,810,719,844,923,892
LAS1L,2113,2949,3127,2528,2775,2646,2183,2644,3114,1701,1996,2139,1842,1970,2272
ENPP4,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0
SEMA3F,53,105,79,264,366,189,142,129,153,231,176,193,509,395,579
CFTR,0,1,0,0,0,0,1,0,0,0,1,2,0,15,14
ANKIB1,901,1019,971,1311,907,935,1181,694,741,1154,1105,1096,1252,1187,987
CYP51A1,4139,4896,4363,5479,5089,4114,3879,4011,3962,2817,2636,2656,3763,3570,4180
KRIT1,1874,1964,1688,1838,1650,1633,1892,1686,1977,1655,1862,1845,1537,1682,1469
RAD52,182,229,163,160,224,163,137,143,145,118,125,133,149,141,125
BAD,134,209,260,201,260,259,173,141,223,235,245,235,308,255,255
LAP3,1705,2637,2875,2593,2851,2450,1913,2835,2877,2035,2367,2510,2777,2997,2991
CD99,537,649,622,921,1009,1108,442,371,431,2472,2731,2513,1388,1413,1331
HS3ST1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
AOC1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
WNT16,0,0,2,0,1,0,3,2,1,2,3,3,1,1,5
HECW1,16,22,2,11,0,1,1,0,10,12,11,1,4,21,60
MAD1L1,492,553,767,498,740,619,525,672,710,326,387,330,637,630,545
LASP1,4742,5680,6526,6112,6313,6776,5656,4901,6488,7572,7892,7571,7004,7236,7745
SNX11,372,372,499,382,461,477,434,416,476,696,630,643,711,754,808
TMEM176A,0,2,0,0,0,0,0,0,0,2,4,4,8,10,9
M6PR,1839,2484,2742,2254,2464,2413,1743,2418,2787,2953,3265,3138,3477,3303,3472
KLHL13,195,129,215,14,15,22,28,10,16,550,629,461,73,105,82
CYP26B1,2,0,18,4,8,4,0,15,1,129,132,136,156,145,143
ICA1,1027,848,927,1057,903,1138,770,350,589,444,257,314,446,421,371
DBNDD1,294,519,629,570,657,579,327,318,379,439,384,363,320,305,339
ALS2,560,648,547,388,420,482,507,640,740,923,806,971,827,1013,920
CASP10,792,498,466,553,452,595,725,349,483,308,310,350,541,416,390
CFLAR,2032,2450,2233,1811,1445,1572,2488,3073,3332,2669,2336,2278,2200,1865,2174
TFPI,2844,2915,3155,3462,3135,3972,3032,2956,3272,4195,4304,4072,1689,1447,1765
NDUFAF7,405,454,519,486,533,491,390,507,489,495,490,407,477,452,424
RBM5,1461,1492,1389,1577,1480,1411,1264,1010,1228,1192,1528,1596,1887,1264,1614
MTMR7,58,42,41,40,28,62,37,47,40,121,86,87,105,76,90
SLC7A2,0,0,0,2,0,0,0,0,0,25,32,26,13,14,15
ARF5,1816,2150,2441,2361,2406,2490,2368,2016,2467,2163,2295,2174,2421,2401,2432
SARM1,34,12,8,23,9,14,36,75,23,19,152,51,17,12,14
POLDIP2,1781,2483,2756,2493,2796,2552,2041,2377,2727,2463,2537,2622,2836,2797,2890
PLXND1,667,1003,1020,963,868,1078,1034,1173,1219,706,741,667,362,476,313
AK2,7315,10960,12456,10995,12395,10027,8582,10285,12329,8792,9690,9011,10680,10554,10361
CD38,0,1,0,1,1,3,0,0,0,100,53,49,15,30,14
FKBP4,2999,5607,5637,4684,5006,3240,2910,5792,6071,5584,5142,4792,4797,4052,4355
KDM1A,4680,6115,6237,6143,6647,6052,5317,5570,6052,5797,6187,6438,5124,5218,5763
RBM6,1442,1790,1915,1902,2025,1765,1640,1543,1889,1638,1789,1889,1676,1738,1805
CAMKK1,122,220,309,235,341,250,135,233,254,173,182,211,165,146,156
RECQL,1250,1246,1259,1130,999,1069,1206,977,1197,1131,1098,1066,1022,1125,1188
VPS50,615,717,547,515,402,450,661,443,617,405,726,608,589,780,545
HSPB6,10,4,6,3,0,12,7,0,2,1,4,3,2,2,3
ARHGAP33,298,142,206,224,317,194,259,216,222,151,199,119,102,138,96
NDUFAB1,2120,2872,3269,2677,3018,2613,2483,2896,3139,2209,2235,2104,2469,2366,2382
PDK4,8,2,9,20,4,10,7,1,1,89,100,90,97,160,161
SLC22A16,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2
ZMYND10,13,19,14,15,13,5,26,8,7,13,10,6,20,8,12
ABCB5,9,3,11,2,4,0,4,8,7,5,7,8,9,3,9
ARX,0,3,0,0,0,1,1,1,1,1,2,4,5,3,2
SLC25A13,1807,2149,2506,2629,2531,2567,2241,2480,2552,1689,2024,2219,2412,2410,3243
ST7,845,957,793,1337,1309,1207,967,952,1071,1364,1621,1327,1450,1682,1360
CDC27,3413,3443,3539,3529,3462,4138,3688,3477,3424,3613,3572,3820,3411,4046,3736
SLC4A1,45,77,52,43,31,32,233,233,330,5413,5312,6168,7958,4973,9665
CALCR,4,2,1,7,2,2,14,0,1,10,5,2,7,13,17
HCCS,760,1009,1190,852,1048,770,969,1186,1434,944,1003,1080,1195,1255,1395
DVL2,734,937,1000,827,834,828,808,872,962,1189,1159,1056,961,1046,1078
PRSS22,0,0,0,1,0,0,0,1,1,0,2,0,1,0,0
UPF1,2656,3676,3884,3390,3884,3483,3121,3407,3788,3691,4998,5018,4122,4469,4787
SKAP2,718,715,849,422,420,599,1146,667,890,2427,2549,2091,2609,2754,2633
SLC25A5,10754,13033,14130,12989,12896,12793,14535,13553,15517,9562,9484,9839,13191,12868,13679
MCUB,182,224,282,165,297,344,454,179,346,480,506,405,196,258,299
HOXA11,0,0,0,0,0,0,0,0,0,1,1,3,3,1,6
