gene_name,H9_WT_B1,H9_WT_B2,H9_KO_UGP2_B1,H9_KO_UGP2_B2,H9_KI_B1,H9_KI_B2,NSC_WT_B1,NSC_WT_B2,NSC_KO_UGP2_B1,NSC_KO_UGP2_B2,NSC_KI_B1,NSC_KI_B2
TSPAN6,4382,4392,3845,5092,4754,4104,2654,2735,2354,4263,4029,3553
TNMD,135,143,130,182,119,110,2,1,29,39,2,0
DPM1,2401,2366,2364,2564,3016,2418,2109,2051,1615,1637,1541,1553
SCYL3,383,385,463,385,507,479,506,582,441,645,639,644
C1orf112,2054,2035,1853,1646,1858,1841,570,879,746,1246,817,494
FGR,8,7,19,7,8,5,0,0,0,2,2,1
CFH,1,0,1,3,1,3,1250,460,156,94,554,545
FUCA2,2616,2645,3022,3068,3017,2804,4666,5252,3789,4334,4223,4112
GCLC,2806,3157,2739,3220,2560,3574,1259,1143,1259,1379,1282,1249
NFYA,2456,2522,2156,2389,1845,2077,2438,2946,3752,3694,2838,2532
STPG1,364,346,452,392,428,315,466,448,370,406,325,340
NIPAL3,507,520,611,587,557,541,1820,1691,768,593,1701,1786
LAS1L,4727,4386,4150,4639,4910,4823,1676,2113,2640,3158,2262,1761
ENPP4,307,277,318,296,296,301,230,351,131,216,416,302
SEMA3F,1671,1616,1596,1186,1495,1358,5615,5401,1895,2839,10119,8568
CFTR,11,44,20,85,15,61,0,90,84,30,91,6
ANKIB1,2454,2988,2963,2502,2278,2807,3680,4399,3085,2447,3581,3702
CYP51A1,6970,7395,5576,8301,7617,7860,7017,6502,8256,7029,4898,3722
KRIT1,1507,1770,1463,1740,1537,1530,1243,1685,1228,1503,1965,1616
RAD52,365,427,313,332,332,352,206,425,314,412,426,455
BAD,596,557,568,588,668,586,1285,1560,1307,1595,1538,1516
LAP3,3074,2823,2453,3036,3430,3219,2431,2906,2781,2670,2109,1616
CD99,2091,1948,2495,2092,2421,2065,16236,20003,13304,9096,15675,16558
HS3ST1,17,25,25,57,17,63,586,476,530,2497,1613,948
AOC1,6,7,8,7,4,4,0,1,0,0,2,10
WNT16,2,1,7,6,2,4,0,1,5,3,0,0
HECW1,201,148,240,215,279,238,71,118,179,179,76,28
MAD1L1,1140,1114,1104,923,1159,1000,829,1107,1250,1510,922,770
LASP1,12296,11606,10742,10531,12260,12399,15686,21160,30088,22575,14309,14243
SNX11,960,986,1046,1021,1156,1096,1045,1312,1062,1014,1003,938
TMEM176A,12,15,8,17,5,6,0,5,0,4,53,37
M6PR,5294,4985,4419,4974,6028,5825,5749,5567,5584,5331,5038,4570
KLHL13,705,664,798,666,528,453,21,46,206,442,86,54
CYP26B1,10,12,12,3,9,5,13,9,38,94,16,1
ICA1,968,849,1073,947,988,925,166,158,85,92,335,233
DBNDD1,2400,2456,2207,2381,2401,2260,315,298,326,182,639,595
ALS2,2828,2785,2896,2551,2500,3055,4342,4680,5030,4533,4725,3993
CASP10,279,222,320,156,173,150,94,63,38,128,58,72
CFLAR,642,851,791,786,757,804,4058,3959,4066,2365,2616,2344
TFPI,360,429,315,267,423,571,13548,11538,7092,8228,8363,7736
NDUFAF7,2428,2542,2837,3069,2431,2552,1086,919,897,982,1010,1125
RBM5,3824,4114,4406,4610,4097,4249,6276,8366,6299,9272,10843,9726
MTMR7,343,339,372,384,262,293,42,123,34,42,21,80
SLC7A2,1777,1808,1720,1587,1208,1537,402,918,791,1130,346,441
ARF5,4354,4349,4479,4731,5049,4500,3385,4597,3744,5067,4716,4548
SARM1,1056,1098,1037,1302,677,627,851,1061,1738,1947,1188,1119
POLDIP2,4852,4744,4269,4754,5556,5215,3376,4122,4218,3612,3502,3389
PLXND1,2156,2246,2857,1098,2588,2610,12655,12669,20284,9569,21066,17451
AK2,5518,5660,5559,6018,5481,5525,4406,5211,4705,5061,4339,4003
CD38,51,33,38,49,35,46,36,31,24,46,45,18
FKBP4,16207,15443,14999,15549,14151,13901,4503,5842,5631,6371,4399,3869
KDM1A,18473,16927,19280,18643,19579,17589,7044,8949,11481,13190,9290,7940
RBM6,5350,5215,5647,5123,6521,5229,3011,3750,4054,6051,5049,4305
CAMKK1,359,325,418,331,333,339,533,765,699,425,937,1019
RECQL,2838,2829,2733,2804,3048,3164,4125,4651,3396,2644,3589,3212
VPS50,514,533,571,517,555,549,1227,1205,879,1099,1231,1144
