gene_name,C666-1_WTa,C666-1_WTb,C666-1_WTc,C666-1_Koa_TP53,C666-1_Kob_TP53,C666-1_Koc_TP53
TSPAN6,897,870,268,880,691,594
TNMD,0,0,0,0,0,0
DPM1,909,887,466,1029,797,625
SCYL3,729,392,358,546,368,298
C1orf112,254,244,241,480,336,281
FGR,2,1,2,3,3,1
CFH,7,2,4,13,6,10
FUCA2,0,1,0,0,0,0
GCLC,1071,780,1343,1389,1120,840
NFYA,424,370,339,427,390,380
STPG1,50,79,66,63,87,91
NIPAL3,302,360,545,415,457,405
LAS1L,705,931,1139,999,993,1098
ENPP4,398,279,42,419,326,272
SEMA3F,224,337,744,255,467,559
CFTR,0,1,0,0,1,3
ANKIB1,1501,1067,669,1159,738,656
CYP51A1,2712,1932,1195,2180,1630,1503
KRIT1,878,857,416,754,414,434
RAD52,267,154,219,220,161,195
BAD,367,420,863,391,632,727
LAP3,1352,1359,1379,1695,1656,1627
CD99,1807,2047,2974,1911,2756,2886
HS3ST1,76,111,335,185,122,157
AOC1,0,0,1,0,1,0
WNT16,0,1,0,0,0,0
HECW1,37,7,66,16,52,15
MAD1L1,215,239,560,269,257,361
LASP1,4303,4547,6443,3637,4662,4747
SNX11,149,120,205,208,168,127
TMEM176A,0,0,0,1,0,0
M6PR,2598,2253,3829,2918,2472,2516
KLHL13,1,1,2,2,0,1
CYP26B1,502,545,1045,619,814,871
ICA1,714,588,420,417,387,453
DBNDD1,420,437,816,548,915,1023
ALS2,650,431,500,748,645,736
CASP10,67,66,109,119,129,77
CFLAR,1771,1368,1162,1020,915,882
TFPI,91,61,48,112,87,104
NDUFAF7,316,331,139,316,284,255
RBM5,1888,1199,1022,1569,1171,1367
MTMR7,176,124,46,323,93,112
SLC7A2,1168,713,566,2012,1227,952
ARF5,1967,2398,4208,1232,1824,2175
SARM1,134,16,36,133,26,22
POLDIP2,1537,1698,2661,2058,1934,2211
PLXND1,5,12,20,14,1,4
AK2,1978,2010,3170,2470,2535,2711
CD38,2,0,0,1,1,0
FKBP4,3386,4038,5433,4100,4199,4501
KDM1A,2341,2192,2559,2535,2283,2294
RBM6,876,1004,641,839,928,784
CAMKK1,985,782,1274,1217,1335,1562
RECQL,1125,1001,375,1711,1023,830
VPS50,650,507,470,645,367,339
HSPB6,8,0,2,5,5,3
ARHGAP33,42,35,79,61,88,148
NDUFAB1,1618,1506,1948,1979,1358,1501
PDK4,0,0,0,1,0,0
SLC22A16,3,0,0,1,0,1
ZMYND10,27,22,20,57,22,31
ABCB5,3,1,9,1,2,0
ARX,0,0,2,0,0,0
SLC25A13,947,776,970,509,283,305
ST7,345,413,324,391,323,356
CDC27,2175,1578,1209,2063,1476,1234
SLC4A1,1,0,0,0,0,0
CALCR,0,0,0,0,0,0
HCCS,361,353,402,411,368,404
DVL2,1010,1158,2168,1028,1249,1304
PRSS22,175,82,142,119,110,136
UPF1,1777,1661,2846,1702,1898,1874
SKAP2,1019,686,751,666,1048,509
SLC25A5,8641,8441,11495,8887,9876,9655
MCUB,736,348,504,706,393,549
HOXA11,0,0,0,2,0,1
POLR2J,407,515,848,291,298,425
DHX33,996,727,827,1245,819,766
MEOX1,0,0,0,0,0,0
THSD7A,0,0,0,0,0,0
LIG3,607,589,1391,734,576,679
RPAP3,562,529,139,611,521,392
ACSM3,41,44,21,43,74,81
REXO5,430,384,357,506,414,366
CIAPIN1,676,718,1097,755,745,904
SPPL2B,513,358,460,414,449,593
FAM214B,63,62,124,113,137,170
COPZ2,1,3,1,1,0,3
PRKAR2B,1253,939,288,1056,1009,826
MSL3,494,401,200,604,388,367
CREBBP,1759,865,2024,1457,1280,1301
TSPOAP1,13,0,0,0,0,9
MPO,0,0,0,1,0,1
PON1,0,0,0,0,1,0
GCFC2,463,355,205,524,312,256
WDR54,203,183,280,304,348,400
CROT,216,186,38,157,107,95
ABCB4,7,18,3,6,1,0
KMT2E,1449,932,975,1248,1269,865
RHBDD2,993,1104,1860,612,778,956
SOX8,60,81,94,19,35,56
ZNF195,736,540,413,641,367,285
MYCBP2,1374,1738,1314,1193,678,891
FBXL3,1010,713,219,952,466,425
ITGAL,0,1,0,1,1,1
PDK2,243,160,413,165,239,393
ITGA3,810,920,1450,665,1370,1296
ZFX,725,266,289,1017,700,435
LAMP2,3115,2602,1366,3310,3307,3052
ITGA2B,21,9,3,5,0,1
ASB4,3,0,0,0,0,3
GDE1,1685,2225,1529,2154,2116,2420
REX1BD,268,329,608,278,317,416
CRLF1,614,625,1127,655,1185,1248
OSBPL7,50,68,76,53,96,146
TMEM98,1,0,0,3,1,3
YBX2,654,577,839,435,708,1022
KRT33A,0,0,0,0,0,0
MAP3K14,828,709,1334,678,897,943
ABCC8,0,0,0,0,0,0
CACNG3,1,0,0,1,0,2
TMEM132A,1910,1849,3382,2142,3130,3714
AP2B1,5606,3655,4893,6294,6293,5565
TAC1,0,0,0,1,0,0
ZNF263,1212,1040,1158,1114,1049,871
CX3CL1,12,18,50,9,15,53
SPATA20,1,2,0,0,0,0
CACNA1G,174,173,282,244,458,436
TNFRSF12A,676,559,1103,554,695,957
DLX6,85,75,58,83,66,79
MAP3K9,348,287,604,371,534,402
RALA,1545,1637,467,943,773,720
BAIAP2L1,1809,1374,1595,1179,1171,1095
KDM7A,469,450,465,389,414,299
ETV1,12,13,14,27,9,16
AGK,1424,1144,873,1162,631,605
ALDH3B1,15,15,17,5,1,4
TTC22,0,0,0,0,0,0
PHTF2,1019,722,335,942,632,445
CCL26,0,0,2,1,3,0
FARP2,1249,877,1253,1280,1089,945
USH1C,0,0,0,0,0,0
GGCT,1377,1660,499,739,824,713
DBF4,1029,1291,572,950,702,603
TBXA2R,26,13,22,15,9,11
IFRD1,1052,885,393,989,633,550
LGALS14,0,0,0,0,0,0
COX10,377,318,387,395,327,388
GTF2IRD1,307,297,518,261,397,442
PAF1,543,663,976,648,763,804
VPS41,1351,705,574,684,528,460
ARHGAP44,7,11,4,4,3,2
ELAC2,1464,1415,2187,1730,1703,1992
SCIN,3,2,0,1,0,1
ARSD,1,0,0,0,0,0
PNPLA4,166,191,247,166,204,208
MYH13,0,0,0,0,0,0
ADIPOR2,1439,1310,1121,1639,1386,1278
CDKL3,12,8,1,14,15,28
UPP2,0,0,0,0,0,0
MARK4,361,455,628,389,514,562
PROM1,102,108,47,310,125,198
CCDC124,778,1123,2105,971,1455,1650
CEACAM21,0,0,0,0,1,0
PAFAH1B1,2244,1590,1580,2146,1693,1681
NOS2,2,4,2,2,5,3
DNAH9,2,0,6,9,9,1
KIAA0100,3441,2239,4298,3386,3556,3263
SLC13A2,0,0,0,3,0,0
GAS7,0,2,8,0,1,0
TRAPPC6A,225,295,436,189,165,248
MATK,0,0,1,0,0,0
CEACAM7,0,0,0,0,0,0
CD79B,0,0,3,0,0,0
SCN4A,1,1,4,1,41,23
ST7L,112,118,81,189,115,146
TKTL1,0,0,0,0,0,0
PAX6,186,202,156,207,310,325
RPUSD1,553,660,1501,621,781,1179
RHBDF1,764,642,842,529,734,1075
LUC7L,764,893,861,921,861,970
CACNA2D2,4,7,7,10,10,5
BAIAP3,272,109,149,79,129,147
TSR3,366,556,927,410,499,594
PIGQ,883,707,1300,453,922,912
CRAMP1,1002,733,1253,1056,1284,1041
TEAD3,194,239,310,168,224,302
SELE,1,1,3,14,6,4
DNAJC11,1747,1141,1962,1821,1599,1587
FMO3,0,1,1,2,5,1
MYLIP,453,386,426,295,377,333
NOX1,2,1,0,3,2,2
PSMB1,2428,2893,2436,2956,2281,2390
SYN1,2,4,2,3,1,2
JARID2,429,350,358,510,600,578
CDKL5,311,214,101,275,395,211
CAMK1G,64,67,113,79,105,94
CDK11A,547,460,453,480,434,651
NADK,1176,902,1384,1085,1051,1462
TFAP2B,0,0,0,0,0,0
TFAP2D,0,0,0,0,1,0
DLEC1,1,0,0,2,0,2
CYTH3,417,409,395,198,231,251
ADAM22,857,599,379,541,389,346
SYPL1,2668,2333,618,1999,1902,1496
CYB561,1425,1239,2432,1382,1661,1743
SPAG9,3111,2102,1395,3316,2559,1828
CELSR3,318,381,547,429,464,543
AASS,282,215,111,190,119,142
PLEKHG6,152,102,200,263,83,82
SS18L2,152,254,100,209,175,200
MPND,145,188,314,100,200,172
MGST1,9,1,2,2,1,4
CRY1,683,428,406,805,665,597
PGLYRP1,2,0,0,1,1,2
NFIX,459,496,864,441,565,589
ST3GAL1,3454,1947,3194,2705,2661,2019
MMP25,151,141,302,81,106,186
IL32,6945,9868,13887,8266,10592,10802
PKD1,1174,751,1570,767,1322,1750
MAPK8IP2,8,13,21,8,6,10
MED24,871,681,1406,1055,1235,1406
RHOBTB2,185,170,326,230,347,362
HEATR5B,602,593,348,733,600,446
SEC62,1677,1224,492,1829,1632,1142
RPS20,3663,4810,5565,4185,3529,3888
CSDE1,8150,6629,4540,9033,5869,5086
UBE3C,3397,2239,2381,2378,2150,2092
REV3L,1167,934,257,1026,700,743
TENM1,0,0,0,0,0,0
PAX7,0,0,0,0,0,0
MASP2,38,12,18,26,22,23
IYD,8,2,5,4,7,6
FAM76A,171,126,83,185,151,158
TRAF3IP3,10,5,6,3,8,11
POMT2,228,173,305,305,198,341
VTA1,1360,1276,501,1563,1196,1035
MLXIPL,180,126,228,35,102,145
BAZ1B,3700,3418,2984,2815,2696,2173
RANBP9,643,611,345,679,725,624
ETV7,963,391,347,1382,778,666
SPRTN,318,265,306,389,272,249
EEF1AKNMT,663,595,841,696,665,586
DYRK4,240,305,230,322,179,240
ZNF207,3065,3004,2665,3478,2554,2363
UQCRC1,1973,2490,3754,2096,2712,2924
STARD3NL,454,460,297,352,260,269
CD9,7970,7000,7351,6757,6104,6246
HHATL,1,0,0,0,0,0
NCAPD2,1848,1533,2369,1836,2193,1970
IFFO1,2,2,0,1,4,6
GIPR,37,31,11,14,42,27
PHF7,41,36,57,62,65,47
SEMA3G,33,21,20,15,32,16
