gene_name,1-D0-Del_PLEC,2-D0-Del_PLEC,3-D0-Del_PLEC,4-D0-Del_PLEC,6-D0-Neg,7-D0-Neg,8-D0-Neg
TSPAN6,1035,952,966,976,979,909,13
TNMD,0,0,0,0,0,0,0
DPM1,2871,2568,2319,2413,2725,2339,32
SCYL3,424,427,392,594,367,331,7
C1orf112,791,881,656,931,899,758,9
FGR,0,0,0,1,0,1,0
CFH,53,24,29,51,28,27,2
FUCA2,7479,8023,6938,8668,8959,7823,92
GCLC,757,630,610,969,602,863,22
NFYA,2394,2488,2288,2698,2251,2340,16
STPG1,893,899,869,1003,884,890,10
NIPAL3,1919,2065,2069,2372,1877,1887,32
LAS1L,2742,2931,2500,2979,3046,2862,31
ENPP4,0,0,0,0,0,0,0
SEMA3F,194,257,400,341,248,311,7
CFTR,0,17,0,0,1,0,0
ANKIB1,5050,4568,5066,6322,4310,4831,64
CYP51A1,9850,10011,8732,10927,8737,8089,105
KRIT1,2469,2243,2241,2564,2366,2388,15
RAD52,280,246,223,463,230,306,9
BAD,1059,1294,1370,1420,1636,1261,18
LAP3,5917,6181,5964,6929,6048,5858,85
CD99,21299,24005,24043,26637,23935,22427,368
HS3ST1,104,138,99,107,89,104,2
AOC1,0,1,0,0,0,2,0
WNT16,7,4,0,5,2,2,0
HECW1,41,122,107,180,130,39,1
MAD1L1,940,1262,987,1484,998,927,9
LASP1,19129,21340,20063,23110,20364,19970,281
SNX11,624,553,635,638,601,592,10
TMEM176A,0,0,0,0,0,0,0
M6PR,6542,7580,6235,6613,6820,6854,53
KLHL13,10,1,0,1,0,1,0
CYP26B1,18,39,25,26,31,22,0
ICA1,6,3,4,3,5,2,0
DBNDD1,29,71,64,73,63,69,2
ALS2,2766,2677,2591,3144,2633,2752,35
CASP10,40,43,39,48,23,60,0
CFLAR,3586,3641,3811,4820,4203,3491,62
TFPI,6013,6157,5553,5963,5828,5626,61
NDUFAF7,1131,1035,923,1156,849,824,11
RBM5,4971,4782,5121,6173,4533,4819,48
MTMR7,0,0,0,0,0,0,0
SLC7A2,0,0,0,0,0,0,0
ARF5,3717,3957,4041,4396,4270,3751,63
SARM1,1683,1839,1783,2113,1680,1760,17
POLDIP2,4630,5079,4732,5315,4810,4937,60
PLXND1,3849,4739,5060,5226,4442,4597,80
AK2,7512,7927,7061,8204,8419,8107,82
CD38,3,0,4,9,6,2,0
FKBP4,5139,5108,4441,4597,4240,4451,44
KDM1A,6565,7216,6469,7342,7130,7031,75
RBM6,3045,3214,3262,3887,3102,3019,39
CAMKK1,430,550,506,585,568,583,8
RECQL,8185,7541,6257,7249,7407,6572,86
VPS50,1529,1465,1294,1639,1269,1161,36
HSPB6,18588,21122,21928,23745,19397,19481,338
ARHGAP33,466,587,545,758,548,650,30
NDUFAB1,1701,1726,1514,1683,1953,1792,19
PDK4,17,9,17,31,24,12,0
SLC22A16,0,1,1,0,0,0,0
ZMYND10,87,58,66,56,51,64,0
ABCB5,18,14,14,17,11,6,1
ARX,0,0,0,0,0,0,0
SLC25A13,900,1059,767,1016,1076,948,17
ST7,1600,1507,1510,1632,1520,1419,15
CDC27,9602,9843,8744,10886,9767,9867,88
SLC4A1,27,22,23,33,14,19,0
CALCR,0,0,0,0,0,0,0
HCCS,1202,1206,1008,1295,1281,1174,14
DVL2,1506,1607,1563,1782,1432,1539,14
PRSS22,0,0,0,0,0,0,0
UPF1,3495,4344,3512,4020,4211,4678,49
SKAP2,1342,1872,1879,2136,1816,1549,14
SLC25A5,13613,14506,13145,15636,16991,15037,143
MCUB,2775,2725,2524,2800,2835,2514,32
HOXA11,628,588,529,584,676,631,5
POLR2J,1658,1818,1817,2068,2175,1918,20
DHX33,1277,1570,1245,1646,1413,1702,15
MEOX1,0,1,1,1,0,0,0
THSD7A,6,8,11,10,4,7,0
LIG3,979,1134,1076,1360,1054,1257,71
RPAP3,2577,2495,2235,2610,2515,2369,28
ACSM3,157,143,153,154,142,127,8
REXO5,284,332,288,451,465,363,3
CIAPIN1,1992,2001,1805,2012,2152,2069,18
SPPL2B,996,1370,1434,2018,1468,1401,20
FAM214B,993,1048,993,1265,1007,926,16
