gene_name,A375_Control_1,A375_Control_2,A375_Control_3,A375_POLK_1,A375_POLK_2,A375_POLK_3
TSPAN6,1137,1382,1342,1269,947,1049
TNMD,0,0,0,0,0,0
DPM1,3524,4433,4115,5582,4403,4426
SCYL3,424,597,547,727,692,634
C1orf112,1349,1565,1489,2208,1691,1660
FGR,0,0,0,3,0,0
CFH,10,19,12,37,39,32
FUCA2,1798,2030,1891,2447,2266,2476
GCLC,1601,1871,1456,2392,1647,1716
NFYA,1963,2490,2200,2184,1822,1940
STPG1,1197,1468,1344,1403,1059,1195
NIPAL3,9127,11138,10286,12246,10148,10846
LAS1L,3846,4917,4301,5736,4763,4650
ENPP4,132,147,147,251,168,202
SEMA3F,272,309,221,242,228,185
CFTR,5,10,5,3,8,6
ANKIB1,3366,3804,3107,3914,4099,3695
CYP51A1,2661,3326,2832,3340,2488,2637
KRIT1,1410,1514,1378,1889,1615,1562
RAD52,269,453,328,430,368,404
BAD,1284,1412,1293,1821,1550,1562
LAP3,3986,4981,4615,5012,4019,4227
CD99,1152,1472,1260,601,540,520
HS3ST1,76,260,93,104,81,86
AOC1,0,1,0,0,0,0
WNT16,8,14,8,15,8,9
HECW1,124,129,97,178,100,137
MAD1L1,1841,2270,2221,2614,2221,2209
LASP1,12014,14578,12749,16440,13105,13386
SNX11,730,716,785,995,776,980
TMEM176A,0,0,1,0,0,1
M6PR,9154,10501,9528,11890,9159,9400
KLHL13,493,714,568,430,342,416
CYP26B1,177,179,107,153,81,132
ICA1,302,423,361,340,478,396
DBNDD1,1891,2417,2150,1662,1243,1380
ALS2,961,1173,951,1441,1035,1085
CASP10,118,128,161,213,136,218
CFLAR,647,709,569,952,804,769
TFPI,85,123,127,134,129,105
NDUFAF7,1191,1442,1421,1435,1229,1253
RBM5,1960,2082,1742,2181,1839,1665
MTMR7,22,33,22,51,39,62
SLC7A2,1213,1390,1262,1662,1323,1331
ARF5,3866,4951,4645,5216,4213,4467
SARM1,2053,2493,2169,2837,2268,2281
POLDIP2,8769,11448,10306,13301,10292,11043
PLXND1,2900,3387,2760,3410,2714,3006
AK2,12494,15766,15251,15240,13697,13149
CD38,5,3,2,5,12,4
FKBP4,11276,14083,12338,15089,12524,12949
KDM1A,10763,13457,11972,12911,10274,11158
RBM6,2888,3343,3093,4049,3275,3408
CAMKK1,116,210,142,296,253,223
RECQL,3492,3899,3584,5116,3730,4026
VPS50,469,556,467,830,721,760
HSPB6,52,79,51,48,39,44
ARHGAP33,212,231,250,303,334,394
NDUFAB1,4485,5675,4944,6121,5035,5169
PDK4,755,892,809,856,753,762
SLC22A16,1,7,0,0,4,1
ZMYND10,74,58,35,62,80,68
ABCB5,9,5,1,8,1,3
ARX,1,3,3,5,2,1
SLC25A13,3431,4359,4256,3882,3188,3335
ST7,558,835,668,799,713,690
CDC27,4866,6707,5971,6656,5191,5378
SLC4A1,1,0,0,1,0,1
CALCR,0,1,0,1,0,0
HCCS,2036,2756,2436,2588,1986,2093
DVL2,2709,3476,3216,3881,3314,3402
PRSS22,0,0,0,4,1,0
UPF1,9263,12141,10689,14717,11823,12228
SKAP2,1117,1561,1137,2355,1914,2271
SLC25A5,24729,30792,28428,33253,27032,28375
MCUB,816,983,878,1349,1060,1202
HOXA11,57,79,66,136,118,129
POLR2J,2699,3203,2804,3674,3022,3155
