gene_name,WT1,WT2,WT3,KO2_ASH1L,KO1_ASH1L,KO4_ASH1L,KO3_ASH1L
TSPAN6,2816,3814,3588,3445,2026,3043,1810
TNMD,0,0,0,0,0,0,0
DPM1,3532,4337,4014,3677,3310,5361,1781
SCYL3,587,751,782,1389,274,697,610
C1orf112,1735,2191,1514,3148,1268,2443,1349
FGR,12,8,9,4,0,3,5
CFH,9188,10914,9731,15756,785,3944,4910
FUCA2,9985,11315,10012,10826,8036,14889,7162
GCLC,4604,5696,5846,5103,2613,4797,3496
NFYA,3374,3667,3349,3106,2236,3710,3046
STPG1,943,1246,1292,1003,939,1306,775
NIPAL3,2524,3044,3763,3720,2359,3511,2400
LAS1L,5124,5528,5248,2733,2756,3580,2196
ENPP4,40,57,36,305,335,261,45
SEMA3F,1747,1675,1916,1582,30,235,80
CFTR,5,4,10,0,0,0,0
ANKIB1,9162,11609,11575,7775,5860,11610,5831
CYP51A1,16460,20763,18479,15808,9268,17377,14208
KRIT1,4052,5725,4832,5103,2689,4534,3249
RAD52,737,1108,1210,1316,615,985,828
BAD,1113,1209,1087,766,1038,1335,868
LAP3,4539,5132,4532,5021,5442,6836,3113
CD99,1834,2109,2069,1796,1762,3710,812
HS3ST1,119,129,120,108,145,856,87
AOC1,27,14,18,164,3,0,12
WNT16,0,0,0,0,0,0,0
HECW1,365,374,391,461,475,814,429
MAD1L1,3032,3505,3623,1576,2848,2547,2931
LASP1,25915,26723,22705,41898,22532,34887,20928
SNX11,1302,1501,1266,1771,1498,1704,1205
TMEM176A,104,73,83,2212,2,34,18
M6PR,13037,14403,13212,17402,12436,16944,11841
KLHL13,1,12,6,4,0,4,5
CYP26B1,31,16,14,22,113,50,8
ICA1,7,6,10,24,237,80,8
DBNDD1,801,922,924,599,395,522,854
ALS2,3058,3376,2981,3537,2106,2675,3676
CASP10,362,509,560,935,231,304,348
CFLAR,3526,4129,3928,4362,1720,2555,1574
TFPI,10330,12573,10965,15093,4839,6994,6260
NDUFAF7,1023,1180,1007,703,738,1027,899
RBM5,5335,5430,4703,6735,5504,5797,3991
MTMR7,3,6,6,0,13,9,7
SLC7A2,1851,2153,1952,4008,2174,2749,2240
ARF5,7006,7983,7559,5850,4139,7933,4041
SARM1,43,66,125,208,88,53,129
POLDIP2,8764,9030,8513,11869,9902,12623,8705
PLXND1,20806,21972,25264,35272,2905,23504,4474
AK2,24869,25783,24269,23615,25850,31662,20767
CD38,19,29,35,283,41,196,30
FKBP4,16674,19779,14153,13994,13416,15043,13253
KDM1A,9930,11795,10239,12477,11079,14667,11223
RBM6,4317,4781,4971,4380,4600,5918,3173
CAMKK1,449,441,428,672,307,708,480
RECQL,8824,10952,8792,6534,7150,9693,4414
VPS50,3453,4506,3885,4174,1814,3919,2344
HSPB6,46,34,33,37,6,28,18
ARHGAP33,589,404,476,570,594,1075,512
NDUFAB1,8103,9577,7809,7936,4386,8377,5161
PDK4,1577,2290,2168,1654,273,1120,360
SLC22A16,0,0,0,0,0,0,0
ZMYND10,53,67,59,60,51,115,62
ABCB5,13,8,11,8,4,3,6
ARX,0,1,0,1,0,1,0
SLC25A13,8558,10306,8462,8719,4127,7573,5757
ST7,2393,2387,2113,1659,1170,1957,1605
CDC27,9329,10120,9204,11766,9071,13684,10996
SLC4A1,21,33,19,27,23,23,20
CALCR,3,2,1,4,0,0,0
HCCS,2046,2417,1965,2124,1366,2567,985
DVL2,1837,2206,2634,3217,2271,3044,2318
PRSS22,5,0,0,7,5,0,0
UPF1,7211,7383,6607,8521,8687,9657,7232
SKAP2,5715,6982,6053,12832,6354,9390,2879
SLC25A5,38290,44143,41093,24659,22561,28235,18711
MCUB,1484,1886,1626,1021,1546,1562,1124
HOXA11,0,0,0,0,0,0,0
POLR2J,5334,5558,5491,4431,2647,5178,2678
DHX33,5253,5570,5341,6170,5212,7071,5589
MEOX1,0,0,0,0,0,0,0
THSD7A,348,256,262,989,25,115,326
LIG3,3877,4244,4345,4144,3162,6110,4114
RPAP3,4216,4699,4090,3617,2289,4278,2677
ACSM3,53,85,47,490,1,9,13
REXO5,678,617,711,962,481,708,645
CIAPIN1,5775,6209,4826,6149,3656,5845,4708
SPPL2B,1689,1559,1800,1493,1454,1910,1701
FAM214B,525,665,614,720,756,1268,425
COPZ2,22,40,41,53,14,27,5
PRKAR2B,10,4,12,20,34,30,10
MSL3,1165,1373,1178,1457,844,1777,646
CREBBP,4534,5204,5163,7229,4464,8266,5764
TSPOAP1,38,47,95,48,8,91,179
MPO,0,0,0,0,0,1,0
PON1,8,15,6,279,1,11,11
GCFC2,1143,1273,873,1291,733,960,847
WDR54,1265,1406,1581,1247,1610,2022,1274
CROT,1023,1305,975,1260,477,1210,580
ABCB4,183,192,237,582,5,134,125
KMT2E,5371,6691,7141,6282,3704,6484,4245
RHBDD2,2703,3063,3622,4281,2400,3371,1761
SOX8,0,0,0,0,0,0,0
ZNF195,1868,2254,2464,2335,1171,1941,1649
MYCBP2,5168,5418,5463,4741,6868,7652,3787
FBXL3,2838,3306,2797,2420,2474,3500,1419
ITGAL,60,60,78,88,5,58,21
PDK2,489,527,432,1306,523,1265,836
ITGA3,26650,28107,31120,45505,57742,76995,13709
ZFX,1412,1450,1309,1462,634,1798,782
LAMP2,9932,11300,11123,10148,13486,16469,8123
ITGA2B,4,0,7,4,17,5,2
ASB4,1987,2077,1815,2995,436,2009,2144
GDE1,6586,7891,7073,8957,5466,9993,6223
REX1BD,1071,1426,1333,637,946,1587,961
CRLF1,3,4,15,13,7,2,28
OSBPL7,856,698,694,1253,696,1186,571
TMEM98,14,22,11,17,16,22,4
YBX2,26,33,14,122,18,81,47
KRT33A,0,0,0,0,0,0,0
MAP3K14,3311,3077,2603,3878,5580,6646,3313
ABCC8,0,0,0,9,0,0,0
CACNG3,0,0,0,0,0,0,0
TMEM132A,4093,4548,5343,4053,4407,5996,5100
AP2B1,32428,37132,34903,27198,38716,46260,29259
TAC1,0,0,0,0,0,0,0
ZNF263,2049,1949,1880,2286,1345,2680,1618
CX3CL1,1056,1207,1631,2322,32,236,1333
SPATA20,2110,1920,2696,2593,1062,1238,1952
CACNA1G,14,10,18,28,2,16,16
TNFRSF12A,14693,12635,11647,11309,10955,18709,12988
DLX6,0,0,0,0,0,0,0
MAP3K9,2421,2855,2245,3056,1519,2822,2398
RALA,4828,5900,4567,4508,3110,4291,3017
BAIAP2L1,9973,11723,11217,8720,4041,6864,4869
KDM7A,523,889,2276,546,460,710,372
ETV1,2647,3687,4539,4587,3494,4969,2444
AGK,5413,6156,6144,4457,2689,5391,3457
ALDH3B1,1448,1574,1745,4215,816,1756,866
TTC22,121,112,96,255,1,45,34
PHTF2,3218,4034,3211,5394,4774,5483,2731
CCL26,25,42,26,88,5,26,11
FARP2,1977,1694,1885,1493,1203,1357,1627
USH1C,714,734,637,2849,0,156,34
GGCT,5134,5592,5088,4357,4741,5517,3251
DBF4,8145,9610,7788,7737,5005,8977,5693
TBXA2R,151,148,182,67,135,224,165
IFRD1,10931,14967,14557,7730,7591,9524,10235
LGALS14,0,0,1,0,1,0,0
COX10,1193,1433,1417,1428,1178,1585,1031
GTF2IRD1,2396,2415,2927,2878,2027,2939,2033
PAF1,3553,3408,2928,3366,3062,4612,2667
VPS41,4143,5344,4536,5423,4835,6070,3790
ARHGAP44,18,42,36,13,44,46,26
ELAC2,5973,6469,5645,5439,5506,6246,5978
SCIN,1960,2557,2311,5094,20,663,340
ARSD,1257,1812,2128,3176,458,1884,479
PNPLA4,14,56,38,186,4,173,0
MYH13,0,1,0,0,0,0,0
ADIPOR2,13779,15950,13853,16228,10815,17149,9111
CDKL3,74,113,109,242,74,184,40
UPP2,0,0,2,0,0,0,0
MARK4,426,590,545,661,412,598,187
PROM1,0,0,1,0,0,0,0
CCDC124,4161,4314,4304,2221,4589,4413,3771
CEACAM21,0,1,0,0,0,0,0
PAFAH1B1,9750,10310,8474,9858,7865,11362,8842
NOS2,0,0,0,0,0,0,3
DNAH9,5,0,0,7,1,2,2
KIAA0100,18332,19630,16749,23741,24036,27388,18641
SLC13A2,0,0,0,0,0,0,0
GAS7,46,70,57,283,117,454,6
TRAPPC6A,92,105,171,192,94,172,110
MATK,4,6,11,9,8,13,2
CEACAM7,0,0,0,0,0,0,0
CD79B,7,30,21,44,0,31,2
SCN4A,0,2,0,2,0,0,0
ST7L,1542,1495,1357,1280,987,1522,1269
TKTL1,4,4,29,6,0,1,12
PAX6,9,36,56,20,954,158,48
RPUSD1,2912,2615,2380,2296,2307,3841,2951
RHBDF1,1532,1386,1195,1493,785,1483,768
LUC7L,1052,1452,1557,1243,1177,1229,1066
CACNA2D2,6,8,5,11,0,25,0
BAIAP3,249,251,411,845,84,380,374
TSR3,3001,3237,3069,2637,1883,3164,2581
PIGQ,1172,1279,1496,1923,1179,1989,1629
CRAMP1,2488,2759,2745,2653,1487,3501,2690
TEAD3,382,376,341,552,233,301,360
SELE,1,0,1,4,0,0,4
DNAJC11,8200,9061,7442,8902,8235,12316,9787
FMO3,4,6,1,13,3,4,7
MYLIP,955,813,987,767,529,996,766
NOX1,0,0,0,1,0,0,0
PSMB1,16414,19383,17356,17041,18111,25193,12518
SYN1,240,280,263,418,157,832,67
JARID2,785,933,846,1161,1134,1943,479
CDKL5,284,258,323,479,224,657,95
CAMK1G,1,0,0,6,0,0,3
CDK11A,972,789,770,661,1105,800,1159
NADK,6304,6699,7036,7856,5264,6944,6586
TFAP2B,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0
DLEC1,0,1,4,2,0,0,0
CYTH3,1553,1622,1641,1802,1901,1911,758
ADAM22,610,892,871,824,1084,1443,644
SYPL1,15353,17828,15340,13790,6328,15470,6003
CYB561,5396,6138,5684,4264,3067,4527,5710
SPAG9,14761,18286,15777,23097,13654,25025,12032
CELSR3,1021,1642,1299,2964,2235,3243,2984
AASS,199,222,224,609,479,522,139
PLEKHG6,13,37,14,87,10,26,22
SS18L2,1385,1485,1377,1317,1012,1535,784
MPND,380,471,427,344,309,350,287
MGST1,12183,14295,13440,19211,9207,8848,11384
CRY1,1210,1322,1335,1114,1141,1281,966
PGLYRP1,0,0,0,0,0,0,0
NFIX,368,284,397,624,2026,1193,1095
ST3GAL1,3634,4155,3857,4561,778,1661,2570
MMP25,6,6,3,10,9,0,1
IL32,1676,2015,2257,2477,4429,1915,8916
PKD1,5572,5733,7956,5471,4815,7771,5617
MAPK8IP2,1223,1285,1075,869,1315,1374,516
MED24,4508,4703,3810,5467,5395,7541,4473
RHOBTB2,876,982,738,1342,995,1361,423
HEATR5B,2458,2795,2795,2829,1542,2346,2178
SEC62,6098,6746,5874,8326,5695,7674,4271
RPS20,93980,107622,99657,88608,65356,123348,49441
CSDE1,47792,58000,53968,50043,48772,61806,50736
UBE3C,22523,27137,21562,21159,12301,23633,14395
REV3L,4000,3904,3355,3586,3697,4198,2874
TENM1,487,457,450,211,203,255,54
PAX7,1,0,0,1,0,0,0
MASP2,7,9,2,2,6,4,3
IYD,32,22,11,15,9,25,46
FAM76A,423,419,404,414,365,560,428
TRAF3IP3,1,0,0,1,0,5,0
POMT2,1985,2315,1675,3671,2346,4124,2179
VTA1,5592,6617,5283,6870,6661,9326,4384
MLXIPL,33,59,58,165,79,90,69
BAZ1B,12127,14671,11993,14842,14805,18296,10979
RANBP9,2872,2809,2662,3401,2325,4530,2444
ETV7,151,138,130,311,86,258,101
SPRTN,968,1059,956,1027,640,1115,1020
EEF1AKNMT,3785,4407,4032,4790,2267,3933,3317
DYRK4,468,677,699,406,749,714,467
ZNF207,17997,18577,15393,20309,16763,23988,12619
UQCRC1,10580,12576,11460,14244,12385,14864,7736
STARD3NL,4720,5644,5303,5168,4805,6116,3448
CD9,10882,12585,12673,5560,1545,5521,4394
HHATL,0,0,0,2,3,0,1
NCAPD2,33317,36297,33156,35462,30330,39824,24054
IFFO1,413,419,509,129,24,230,174
GIPR,160,178,215,289,72,143,170
PHF7,251,281,267,248,419,508,133
SEMA3G,18,26,27,49,27,40,8
NISCH,2809,2888,3016,3573,3220,3314,2133
STAB1,5,7,4,5,24,8,10
FUZ,613,811,727,865,528,966,650
SLC6A13,6,9,7,7,24,7,5
IDS,40963,43178,42362,30490,32473,58128,36253
PRSS3,1668,1828,1953,2424,3602,3019,815
ZNF200,595,590,518,689,375,615,473
CD4,13,26,23,9,0,4,2
LRRC23,235,310,311,573,171,340,233
BTK,16,13,11,7,0,6,0
