gene_name,Jurkat_ctrl_repl.1,Jurkat_ctrl_repl.2,Jurkat_ctrl_repl.3,Jurkat_SIX6_KO_repl.1,Jurkat_SIX6_KO_repl.2,Jurkat_SIX6_KO_repl.3
TSPAN6,2,0,0,0,0,0
TNMD,0,0,0,0,0,0
DPM1,2326,2124,2404,3300,2727,2611
SCYL3,410,434,386,872,719,602
C1orf112,1581,1492,1603,1704,1481,1283
FGR,67,103,65,29,22,21
CFH,0,0,0,0,0,0
FUCA2,2,3,0,6,10,5
GCLC,2934,3271,3260,5238,4315,3364
NFYA,4844,4310,4834,8009,7271,5927
STPG1,32,36,48,33,77,15
NIPAL3,1736,1566,1747,3283,2868,1998
LAS1L,3285,2811,3093,4319,3126,3248
ENPP4,1111,1132,1289,1882,1605,1296
SEMA3F,79,73,62,87,109,72
CFTR,3,10,52,1,8,1
ANKIB1,2276,2039,2319,3342,3031,2518
CYP51A1,1489,1455,1723,7634,7997,4710
KRIT1,1296,1086,1447,1912,1794,1425
RAD52,413,409,454,710,629,530
BAD,878,859,899,1626,1250,1024
LAP3,3406,3250,3478,4178,3103,3253
CD99,17230,16862,17672,26787,22999,18114
HS3ST1,2,0,0,1,6,0
AOC1,13,10,23,8,3,9
WNT16,1,0,0,0,0,0
HECW1,9,4,9,23,11,46
MAD1L1,1107,860,1025,1777,1600,1329
LASP1,5225,5156,5326,10603,9746,6623
SNX11,920,885,1079,1410,1181,1066
TMEM176A,3,0,2,3,6,0
M6PR,5379,4823,5646,7880,6675,5471
KLHL13,0,0,0,1,1,2
CYP26B1,979,832,904,13,18,24
ICA1,343,672,409,1340,1336,827
DBNDD1,198,272,222,480,447,318
ALS2,1433,1265,1638,1929,1837,1309
CASP10,635,535,673,1401,1107,806
CFLAR,1536,1376,1368,2293,2121,1436
TFPI,114,87,87,113,91,86
NDUFAF7,450,446,467,633,559,446
RBM5,2560,2939,3194,3968,3284,2900
MTMR7,39,27,37,53,45,43
SLC7A2,0,0,0,0,0,0
ARF5,3372,3530,3588,6947,5559,4609
SARM1,242,221,263,296,278,339
POLDIP2,4647,4874,5012,6478,5048,4629
PLXND1,5232,3872,4518,6234,6205,4933
AK2,11144,10885,10911,13782,9424,10307
CD38,1315,1085,1238,7153,7693,4067
FKBP4,7397,7079,7792,6916,5241,5719
KDM1A,9196,8871,9350,14468,12238,11255
RBM6,2720,2817,3207,3569,3818,3161
CAMKK1,677,650,704,1212,780,872
RECQL,3186,2814,3066,3285,2681,2349
VPS50,847,717,704,1243,1036,817
HSPB6,3,4,7,17,12,12
ARHGAP33,1329,1165,1163,2908,2384,2316
NDUFAB1,3534,3309,3729,3608,2709,2734
PDK4,0,0,0,0,0,0
SLC22A16,131,117,168,22,21,17
ZMYND10,74,96,68,83,85,73
ABCB5,8,11,6,11,8,20
ARX,1,0,0,1,2,2
SLC25A13,323,294,313,312,269,249
ST7,409,359,411,393,333,302
CDC27,5165,5029,5232,7923,6027,5889
SLC4A1,4,3,2,5,3,3
CALCR,0,0,0,0,0,0
HCCS,900,909,894,1009,844,792
DVL2,3638,3409,3510,7437,6174,4844
PRSS22,0,0,0,1,1,2
UPF1,6507,5473,6196,10613,8097,7084
SKAP2,0,0,0,1,1,1
SLC25A5,16263,14541,16506,22255,18045,15944
MCUB,2611,2295,2232,3760,2922,2334
HOXA11,129,125,149,145,119,96
POLR2J,1928,1913,2048,2666,2103,1847
DHX33,2449,2173,2473,3095,2538,2633
MEOX1,2,2,2,0,0,0
THSD7A,0,5,0,1,0,1
LIG3,4503,4326,4396,7690,6386,5393
RPAP3,2622,2627,2844,3500,2740,2701
ACSM3,43,27,60,53,97,52
REXO5,43,45,35,24,9,9
CIAPIN1,2260,2048,2329,3158,2447,2371
SPPL2B,3552,2663,3194,5115,3945,3599
FAM214B,197,186,213,602,631,407
COPZ2,7,3,10,4,2,3
PRKAR2B,1163,1079,1148,1371,1096,1020
MSL3,1410,1543,1628,2027,1872,1517
CREBBP,1784,1598,1606,3167,3319,2340
TSPOAP1,470,326,385,818,626,320
MPO,18,6,9,15,39,6
PON1,3,3,9,0,4,0
GCFC2,1667,1526,2136,2256,1412,1551
WDR54,1184,1145,1248,2840,2209,1760
CROT,455,442,466,522,439,390
ABCB4,46,12,15,8,8,4
KMT2E,2331,2114,2232,4946,4386,3206
RHBDD2,1828,1740,1728,4337,3978,2720
SOX8,33,22,22,10,18,7
ZNF195,1059,1004,1164,2254,1935,1888
MYCBP2,3681,3228,3068,3329,3799,3102
FBXL3,1610,1451,1679,2052,1769,1533
ITGAL,2665,1833,2483,5031,4841,2770
PDK2,583,493,453,1419,1253,1218
ITGA3,636,661,490,1214,936,800
ZFX,838,875,729,1401,1338,1020
LAMP2,4497,4265,4873,6871,6109,4801
ITGA2B,49,25,47,44,61,14
ASB4,0,1,3,0,2,4
GDE1,2415,2156,2346,3396,2606,2366
REX1BD,1008,947,1017,1725,1236,1266
CRLF1,67,103,88,77,104,79
OSBPL7,730,751,815,1414,1275,1006
TMEM98,856,663,733,1263,1121,945
YBX2,2009,1985,2082,3315,3005,2165
KRT33A,0,0,0,0,0,0
MAP3K14,450,457,495,766,651,534
ABCC8,0,0,1,0,0,0
CACNG3,0,0,0,0,0,0
TMEM132A,319,238,357,721,665,616
AP2B1,10268,9375,10338,15528,14272,11832
TAC1,0,0,0,0,0,0
ZNF263,1997,1878,1915,3622,2709,2500
CX3CL1,1,0,1,7,3,2
SPATA20,455,438,361,1157,1344,832
CACNA1G,0,0,2,3,1,0
TNFRSF12A,91,112,79,117,86,75
DLX6,0,0,0,0,0,0
MAP3K9,566,597,526,801,760,672
RALA,3130,2887,3098,4708,3968,3379
BAIAP2L1,0,4,8,12,19,20
KDM7A,1086,827,947,3436,3109,1915
ETV1,11,19,46,49,56,31
AGK,1986,1950,1854,2844,2320,2070
ALDH3B1,43,44,44,65,32,23
TTC22,1,2,1,3,0,0
PHTF2,1197,1267,1301,1908,1568,1237
CCL26,0,0,0,0,0,0
FARP2,2265,2142,2347,3021,2108,2139
USH1C,0,0,0,0,0,0
GGCT,2616,2430,2822,2717,1797,2015
DBF4,2348,2643,2536,3482,2695,2469
TBXA2R,55,61,81,104,87,87
IFRD1,2904,2810,2882,4758,3820,3234
LGALS14,2,1,1,4,0,0
COX10,1031,966,1040,1287,1130,1039
GTF2IRD1,661,664,620,1581,1468,983
PAF1,2619,2413,2712,3398,2893,2575
VPS41,2116,2188,2511,3311,2836,2069
ARHGAP44,741,680,728,1481,1242,1037
ELAC2,4939,4215,4638,7363,5826,5149
SCIN,9,2,4,15,7,6
ARSD,0,0,0,0,0,0
PNPLA4,0,0,0,1,1,0
MYH13,0,0,0,0,0,0
ADIPOR2,5137,5098,5402,6660,5331,4559
CDKL3,33,50,81,105,46,105
UPP2,0,0,0,2,0,0
MARK4,1842,1719,1600,3986,3464,2834
PROM1,1,0,0,0,0,0
CCDC124,3592,3619,3704,4978,3455,3708
CEACAM21,105,113,82,157,110,86
PAFAH1B1,5496,5317,6437,9423,8403,6670
NOS2,3,2,1,8,24,5
DNAH9,2,3,2,9,6,3
KIAA0100,9568,8663,8202,10963,9873,9025
SLC13A2,0,0,0,0,0,0
GAS7,4886,4293,4291,5330,4873,3698
TRAPPC6A,366,282,345,924,915,548
MATK,1130,1125,1127,1775,1441,1342
CEACAM7,0,0,0,0,0,0
CD79B,185,160,222,353,224,184
SCN4A,190,257,191,12,21,6
ST7L,383,325,363,639,520,378
TKTL1,126,100,135,47,53,72
PAX6,503,457,645,892,955,517
RPUSD1,1298,1254,1195,1663,1285,1408
RHBDF1,34,10,5,7,8,15
LUC7L,1881,1782,2080,2380,2399,2039
CACNA2D2,37,18,36,63,89,37
BAIAP3,87,53,52,167,266,101
TSR3,1897,1903,1780,2797,2129,2038
PIGQ,1859,1872,2027,3988,3897,2809
CRAMP1,1781,1610,1729,3985,2980,3084
TEAD3,196,212,192,272,259,204
SELE,1,0,0,0,1,0
DNAJC11,3161,3441,3833,4679,3508,3803
FMO3,1,2,2,1,4,0
MYLIP,571,570,634,1957,1850,1283
NOX1,4,5,6,15,18,5
PSMB1,6524,6171,6966,7546,5585,5586
SYN1,36,27,32,100,96,86
JARID2,5402,5131,5689,16245,14846,10696
CDKL5,237,199,272,294,507,269
CAMK1G,0,0,3,2,1,0
CDK11A,1235,1249,1267,1946,1995,1530
NADK,3547,3366,3699,5694,4516,4343
TFAP2B,0,0,0,0,0,0
TFAP2D,0,0,1,0,0,0
DLEC1,28,31,25,38,33,64
CYTH3,1074,999,1143,2045,1754,1403
ADAM22,1235,1143,1275,2038,1664,1342
SYPL1,3737,3735,4056,5698,5233,4088
CYB561,8,13,24,2,3,35
SPAG9,2534,2242,2823,4270,4124,3061
CELSR3,6956,5793,6054,8447,6420,7639
AASS,232,216,252,176,174,154
PLEKHG6,0,4,5,1,3,0
SS18L2,639,619,679,925,669,626
MPND,921,819,836,1679,1488,1140
MGST1,3,6,7,7,9,4
CRY1,1906,1677,1963,4260,3540,2773
PGLYRP1,4,4,4,1,8,2
NFIX,1375,1302,1401,1719,1489,1484
ST3GAL1,1104,1177,1246,3506,3213,2358
MMP25,17,26,55,70,40,62
IL32,3838,3622,3937,135,105,97
PKD1,4507,3344,3684,6840,5217,4684
MAPK8IP2,21,20,23,59,62,44
MED24,3041,2692,3141,5721,5115,4244
RHOBTB2,975,901,1087,1300,1075,879
HEATR5B,589,493,657,748,634,608
SEC62,4293,4582,4437,4798,4265,3237
RPS20,17985,16592,17450,27645,24032,17373
CSDE1,22462,21968,24069,34912,28854,24261
UBE3C,4374,4060,4337,5809,4064,4003
REV3L,1924,1601,1913,2333,2303,1662
TENM1,30,17,30,37,38,11
PAX7,0,0,0,0,0,2
MASP2,29,14,24,48,59,51
IYD,6,5,11,11,12,7
