gene_name,MCF10A_WT_replicate1,MCF10A_WT_replicate2,MCF10A_WT_replicate3,MCF10A_RAD21_mutant_replicate1,MCF10A_RAD21_mutant_replicate2,MCF10A_RAD21_mutant_replicate3,MCF10A_SMC3_mutant_replicate1,MCF10A_SMC3_mutant_replicate2,MCF10A_SMC3_mutant_replicate3,MCF10A_STAG2_mutant_replicate1,MCF10A_STAG2_mutant_replicate2,MCF10A_STAG2_mutant_replicate3,CMK_WT_replicate1_con,CMK_WT_replicate2_con,CMK_WT_replicate3_con,CMK_WT_replicate1_Wnt3a4hr,CMK_WT_replicate2_Wnt3a4hr,CMK_WT_replicate3_Wnt3a4hr,CMK_STAG2_mutant_clone1_replicate1_con,CMK_STAG2_mutant_clone1_replicate2_con,CMK_STAG2_mutant_clone1_replicate3_con,CMK_STAG2_mutant_clone1_replicate1_Wnt3a4hr,CMK_STAG2_mutant_clone1_replicate2_Wnt3a4hr,CMK_STAG2_mutant_clone1_replicate3_Wnt3a4hr
TSPAN6,760,798,873,720,649,757,862,890,765,704,716,928,39,34,31,63,29,42,53,38,36,35,35,31
TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPM1,1314,1346,1598,1745,1367,1738,1642,1561,1354,1108,1070,1477,1547,2077,2311,2485,2170,1829,1799,2128,2369,2083,2178,2126
SCYL3,275,260,282,182,167,210,225,243,218,240,226,334,954,905,930,1152,997,844,848,873,818,804,792,805
C1orf112,870,897,630,545,441,581,579,561,495,940,943,965,1670,2146,2221,1487,1796,1653,1288,1409,1285,969,1189,1183
FGR,18,20,28,8,15,6,9,17,6,24,15,32,154,90,77,281,140,86,43,25,47,81,155,90
CFH,943,1096,1456,454,270,258,778,766,682,275,393,464,12637,15845,17828,15145,12191,12873,11365,12430,12262,10010,10701,9244
FUCA2,1245,1221,1305,27,13,10,2,4,0,845,830,832,2061,2606,2350,2573,1934,2189,2023,2223,1908,2104,2208,1688
GCLC,2826,3095,2796,2906,2244,2823,2341,2852,3024,1711,1563,1659,2794,3515,3699,3323,2907,2747,4010,3706,3772,3169,3794,3654
NFYA,1012,937,915,806,618,733,812,865,770,800,756,741,4214,4902,4400,3769,3466,3385,5241,5818,4928,3706,4378,4033
STPG1,281,253,309,222,257,271,249,179,241,306,268,333,262,433,321,333,293,253,338,384,350,242,280,269
NIPAL3,2064,1915,2352,2335,2255,2349,2216,2127,2228,2669,2230,2415,1297,1221,1213,947,942,974,1375,1388,1055,940,937,844
LAS1L,1660,1598,1539,1383,1198,1435,1513,1265,1262,1730,1617,1436,3127,3842,3723,3791,3567,3410,3999,4307,4390,3652,4345,4083
ENPP4,12,6,19,4,3,10,121,159,104,106,93,146,582,602,635,772,641,534,992,920,932,836,878,787
SEMA3F,2027,2043,2132,2188,2631,1932,2239,2149,2128,3587,2921,2447,28,39,21,25,21,17,13,17,10,7,13,5
CFTR,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,15,0,7,10,18,5,0,5,13
ANKIB1,1037,922,866,983,781,1065,962,1124,857,875,934,958,1950,1875,2111,2380,2407,2231,2255,2434,1771,2172,2060,1514
CYP51A1,5393,5258,6066,4813,4082,5223,4494,4439,3931,5640,5460,7636,2296,4331,3817,3855,2826,2636,2556,2891,3051,2189,2452,2290
KRIT1,871,1074,1181,888,774,934,820,886,917,1059,969,1123,2233,2245,2213,2945,2945,2632,2156,1840,1866,1719,2212,2274
RAD52,193,243,222,130,103,113,133,177,156,222,168,181,709,820,721,875,781,686,753,594,747,516,794,663
BAD,633,656,663,508,606,563,625,561,690,622,541,612,307,337,336,295,211,252,311,327,377,270,287,182
LAP3,1707,1624,1701,1557,1305,1555,1492,1460,1304,1797,1717,1871,3772,5097,4230,4962,4095,3741,4585,4837,4700,4198,4572,3847
CD99,2875,2561,3058,2575,2424,2487,2594,2712,2660,3511,2944,3052,3252,4404,4463,4356,3831,4233,1640,1211,2648,1785,1207,2116
HS3ST1,15,18,7,37,45,47,79,117,116,18,16,14,3,0,0,0,4,1,1,2,3,0,2,0
AOC1,23,22,6,48,47,48,46,59,55,14,7,5,2,5,0,2,0,0,0,0,0,2,0,0
WNT16,3,2,1,6,5,5,4,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HECW1,9,14,12,11,26,22,14,13,12,12,8,18,31,0,0,22,13,38,9,39,0,11,0,29
MAD1L1,282,271,248,359,216,322,407,269,253,321,266,197,864,1630,1162,841,841,982,1090,1129,1181,737,1038,704
