gene_name,5377-sg_Control,5377-sg_PAK4,5391-sg_Control,5391-sg_PAK4,5465-sg_Control,5465-sg_PAK4
TSPAN6,400,375,710,699,1038,221
TNMD,0,0,0,0,0,0
DPM1,692,613,597,657,446,127
SCYL3,301,267,296,387,254,95
C1orf112,425,566,253,178,80,97
FGR,0,1,1,1,3,0
CFH,706,1413,1312,1109,32454,3930
FUCA2,3245,2660,1861,2136,1737,706
GCLC,712,741,529,539,921,217
NFYA,657,715,496,590,600,178
STPG1,148,125,133,220,59,43
NIPAL3,438,239,1268,1190,1146,434
LAS1L,781,536,1245,1256,260,93
ENPP4,28,28,18,10,18,18
SEMA3F,18,34,4,15,8,29
CFTR,1,0,1,0,3,10
ANKIB1,4562,4712,2147,2791,2016,1103
CYP51A1,2852,2238,2194,2386,1647,406
KRIT1,2002,2123,781,845,880,359
RAD52,161,220,209,216,143,134
BAD,647,479,534,610,448,151
LAP3,1479,2305,1722,1915,1143,1147
CD99,1830,1194,1733,1690,2159,713
HS3ST1,6,1,1,6,10,4
AOC1,1,0,0,0,2,0
WNT16,4,2,21,11,3090,480
HECW1,129,237,149,204,74,42
MAD1L1,1569,1267,715,784,242,130
LASP1,4792,3396,6511,6412,3672,1636
SNX11,308,339,460,425,292,149
TMEM176A,3,10,0,2,0,0
M6PR,3431,3660,2324,2940,1338,377
KLHL13,47,18,6,1,158,10
CYP26B1,240,85,216,197,182,126
ICA1,0,1,6,4,0,1
DBNDD1,26,8,10,23,5,3
ALS2,1584,1708,1343,1335,1277,415
CASP10,122,97,14,74,304,151
CFLAR,3102,3079,3618,4428,3915,1926
TFPI,5339,5996,3079,2635,8521,3489
NDUFAF7,266,347,269,302,310,123
RBM5,2730,2795,1841,2097,2941,1171
MTMR7,1,1,10,15,32,27
SLC7A2,283,586,2761,4871,18614,4146
ARF5,1506,1160,751,664,707,212
SARM1,404,499,613,887,172,70
POLDIP2,2211,1739,2846,3032,1145,433
PLXND1,2929,3362,2772,3129,4761,1866
AK2,2726,2515,2622,2691,909,649
CD38,12,67,26,6,24,12
FKBP4,3502,4682,2863,3549,383,316
KDM1A,2613,2004,1382,1982,1086,531
RBM6,1478,1640,1418,1393,1603,560
CAMKK1,416,316,273,358,34,25
RECQL,3078,2564,2269,2566,1993,620
VPS50,1436,1428,554,498,511,149
