gene_name,1-2B-8-3:_K562_cells_RBM48_KO_#1,2-2B-9-4:_K562_cells_RBM48_KO_#2,3-2B-10-5:_K562_cells_RBM48_KO_#3,4-2B-11-6:_K562_cells_RBM48_KO_#4,5-2B-12-7:_K562_cells_RBM48_KO_#5,6-2B-13-8:_K562_cells_RBM48_KO_#6,7-VC-8-3:_K562_cells_Vector_Control_#1,8-VC-9-4:_K562_cells_Vector_Control_#2,9-VC-10-5:_K562_cells_Vector_Control_#3,10-VC-11-6:_K562_cells_Vector_Control_#4,11-VC-12-7:_K562_cells_Vector_Control_#5,12-VC-13-8:_K562_cells_Vector_Control_#6
TSPAN6,8,26,28,10,29,34,13,46,10,33,22,48
TNMD,2,0,4,1,0,0,0,0,0,0,0,0
DPM1,4811,3218,3575,3479,3288,4725,4677,3013,4213,5165,3849,3588
SCYL3,790,367,1016,831,933,1137,1053,611,1112,1279,851,1040
C1orf112,3823,1309,2861,3004,2601,3306,3599,1571,3240,4032,3228,3026
FGR,0,2,4,4,0,0,0,2,0,0,0,4
CFH,5380,11251,9274,10695,12147,8234,6026,11949,12684,17361,21658,16124
FUCA2,7942,5619,6772,6455,5806,7619,7435,4520,7687,8720,6649,6327
GCLC,1314,2633,1432,1863,1498,1138,1142,1979,1076,1762,1844,1801
NFYA,2995,2388,2509,2722,2094,2684,2472,1822,2720,3140,2680,2726
STPG1,623,424,619,536,531,695,761,489,822,790,615,559
NIPAL3,2197,1643,2601,2558,2500,3090,3420,1834,2859,3625,2400,2316
LAS1L,10263,4025,6632,4896,4802,8207,9457,3672,7989,9065,5538,5055
ENPP4,0,1,0,3,1,0,0,0,0,0,0,0
SEMA3F,319,272,134,111,169,171,209,119,160,189,106,83
CFTR,0,0,0,0,0,0,0,0,0,0,0,0
ANKIB1,2505,5322,2128,2949,3331,2891,2887,3713,3201,3989,4036,2951
CYP51A1,10483,21104,8678,9131,8250,15913,13135,15478,15479,18058,10089,7901
KRIT1,3819,2867,4074,3929,4890,5457,4456,2624,5314,6280,5691,4041
RAD52,695,522,483,495,610,635,633,392,613,696,735,372
BAD,346,391,269,366,336,246,287,510,329,315,355,281
LAP3,7059,2743,4011,4223,3761,5565,5836,1898,5241,6096,4258,3642
CD99,2217,4825,2658,3245,3314,2307,1620,2807,1355,1991,2366,2148
HS3ST1,4,13,2,7,50,9,4,5,7,7,5,33
AOC1,0,0,0,0,0,0,0,0,0,0,0,0
WNT16,0,3,1,2,0,0,0,0,0,0,0,0
HECW1,3,58,35,39,102,30,11,7,90,4,86,69
MAD1L1,2686,1732,2056,2885,2977,2204,1913,1713,1371,2133,2378,2039
LASP1,14140,17647,12636,16690,15283,14611,12905,16799,13362,16694,16193,14497
SNX11,1404,1743,1441,1346,1394,1751,1273,1215,1563,1596,1346,1023
TMEM176A,1,7,3,11,18,8,0,1,15,12,10,14
M6PR,7450,9321,6201,6766,7052,6100,6348,6281,5769,7290,7209,7330
KLHL13,88,144,212,464,331,364,228,464,307,774,841,622
CYP26B1,9,0,1,6,3,2,4,4,0,3,0,0
ICA1,1051,3014,2139,2248,2706,2086,1745,2192,2085,2363,3587,2370
DBNDD1,674,680,519,462,611,444,611,605,458,596,556,387
ALS2,1789,1669,2022,2462,2203,1881,1921,1824,1964,2282,2736,2675
CASP10,1293,1516,1932,1689,1600,2233,2015,1326,1652,2849,2365,1527
CFLAR,7152,4520,6155,5878,6067,9274,8803,3310,8496,9702,6790,5490
TFPI,5964,4918,6242,6115,5608,6175,6335,3721,7526,9614,7215,5970
NDUFAF7,1495,873,1099,1001,1193,1271,1717,868,1274,1568,1392,1162
RBM5,4153,8206,4785,4696,5076,4936,4963,6165,5512,6030,6200,4801
MTMR7,1,0,1,13,1,9,0,8,5,4,2,1
SLC7A2,1,9,13,36,9,2,0,27,9,0,41,22
ARF5,4845,5484,4400,5142,5219,5047,4520,3906,4708,5483,5964,4072
SARM1,27,63,72,182,120,22,20,77,45,107,74,89
POLDIP2,6720,3368,4993,4975,5075,5856,5921,3620,5455,6307,4859,4664
PLXND1,1359,2455,1193,1119,1742,1231,2004,2324,1867,2102,1812,902
AK2,37062,24230,21441,20423,22648,31266,30930,17551,29360,34624,21016,19532
CD38,28,13,106,17,33,2,2,22,11,50,56,34
FKBP4,16372,12233,5746,4117,5359,7710,11582,6812,8062,9633,5498,4389
KDM1A,18456,12853,13711,13445,13014,16687,18038,11554,15828,19055,14284,12639
RBM6,5554,7406,3784,3258,3782,4906,5595,5280,4774,6367,4001,3699
CAMKK1,729,557,349,349,320,346,521,600,482,540,375,294
RECQL,3302,5121,3695,4202,4718,4623,3495,4649,4909,5206,4427,4222
VPS50,1463,962,1464,1559,1443,2165,1228,978,1843,1978,1770,1367
HSPB6,2,10,18,18,18,17,16,12,11,18,24,21
ARHGAP33,238,382,381,325,659,286,278,403,1204,457,354,326
NDUFAB1,5729,3589,3589,3195,3299,5133,5851,2561,4802,5812,3657,2815
PDK4,10,86,26,18,54,33,20,48,25,51,44,31
SLC22A16,0,0,0,0,0,0,0,0,0,0,0,0
ZMYND10,24,171,31,20,75,25,52,183,43,89,63,16
ABCB5,20,14,19,24,22,21,28,29,22,19,18,31
ARX,0,0,0,0,2,0,1,0,0,1,0,0
SLC25A13,7116,2973,6369,7271,7400,7003,6962,2669,5964,7483,6949,7153
ST7,3544,2204,3277,4369,3672,3580,3614,2572,3174,4081,4054,4090
CDC27,8985,4349,8008,8316,7815,10095,8990,4544,11027,12859,9176,8889
SLC4A1,145,76,78,95,143,105,101,100,139,103,228,48
CALCR,5,9,30,23,34,8,8,9,11,9,13,35
HCCS,3685,2442,2151,2064,1957,2718,2961,1941,2593,3100,2069,1902
DVL2,1985,3129,2587,2836,2136,2085,2208,2372,1632,2382,2201,2470
PRSS22,0,12,0,3,2,0,0,9,0,0,1,0
UPF1,8980,11406,8196,8793,8391,9275,8973,8875,7501,9546,7942,7112
SKAP2,1407,1786,1563,2544,2278,2239,1939,1990,1828,2496,2641,2773
SLC25A5,34326,52852,31235,35388,31542,35780,35076,41030,31745,37000,31531,31206
MCUB,318,790,521,656,885,610,555,903,375,508,570,543
HOXA11,0,0,0,0,0,0,0,0,0,0,0,0
POLR2J,2620,2457,2137,2220,2019,2231,2243,1931,1928,2755,2302,1918
DHX33,2870,624,1786,1804,1880,2370,2352,648,2164,2391,1724,1641
MEOX1,0,0,0,0,0,0,0,0,0,0,0,0
THSD7A,1,0,0,0,0,0,0,0,0,0,0,0
LIG3,4175,6497,3750,4259,4456,5130,5884,6561,4435,7234,5821,4324
RPAP3,5732,3439,4237,3885,4047,5539,4738,2993,5429,6370,5397,3939
ACSM3,7016,39304,27971,29298,30612,16420,14087,38104,14580,23198,37639,36033
REXO5,2114,2712,3625,3341,3619,3616,3246,3152,3465,4171,4447,3358
CIAPIN1,5492,3313,3712,3829,3721,4527,4722,2845,4121,4878,3598,3140
SPPL2B,2260,2573,2530,2487,3193,2632,2781,3032,2994,3448,3017,2539
FAM214B,378,1073,533,696,608,460,366,679,442,500,622,507
COPZ2,0,9,17,39,12,3,4,33,14,3,36,43
PRKAR2B,23473,12078,18012,20038,22126,31020,30067,11689,32899,39504,26525,19746
MSL3,1722,2164,2343,2155,2573,2614,2096,1539,2346,3252,2200,2069
CREBBP,2186,2320,2861,3016,2318,2786,3135,2162,2621,3029,2966,3159
TSPOAP1,138,173,205,268,231,179,122,304,268,177,386,371
MPO,3,2,2,15,23,3,1,12,10,11,7,5
PON1,0,0,4,0,1,0,0,0,0,0,0,0
GCFC2,1703,1342,980,964,1226,1330,1808,688,1567,1723,1664,967
WDR54,110,175,242,286,260,231,83,157,159,250,256,303
CROT,396,557,527,445,465,481,413,346,425,595,558,471
ABCB4,9,260,112,93,148,51,21,287,58,28,105,80
KMT2E,4254,5462,5182,5407,5204,5701,4960,5046,6305,6953,7198,5296
RHBDD2,1902,4627,2918,3329,3669,2854,2590,4183,2132,2794,3534,3019
SOX8,2,1,0,2,0,7,4,0,2,2,5,6
ZNF195,2220,1268,3176,2573,3366,3463,3064,1709,3350,3917,4568,3048
MYCBP2,5114,1877,3735,3165,3367,4649,4049,2112,4874,5275,4769,4305
FBXL3,1172,1244,1461,1353,1252,1436,1104,960,1103,1511,1082,1441
ITGAL,21,58,23,38,30,73,14,37,27,58,32,24
PDK2,81,64,61,93,54,109,55,90,75,60,236,41
ITGA3,17,155,72,69,75,71,39,77,42,184,130,158
ZFX,1345,1805,1778,1774,1758,1694,2090,1651,1881,1938,1969,2417
LAMP2,5390,12292,8877,11751,10550,8066,6951,11346,7749,10233,13246,12992
ITGA2B,392,440,624,924,1024,572,705,463,790,1028,1374,714
ASB4,1,0,5,7,18,0,3,6,2,17,15,0
GDE1,2866,4225,2967,3385,3549,3202,3097,4464,3043,4128,4051,2273
REX1BD,842,1380,1280,1138,1161,1203,1126,1156,753,1147,892,869
CRLF1,90,80,23,23,58,89,82,47,14,57,19,9
OSBPL7,558,1241,644,592,767,642,536,741,680,766,787,688
TMEM98,3163,1867,3212,3167,2888,3373,3545,2357,3946,4126,3592,2932
YBX2,0,2,0,1,0,0,0,0,4,0,2,0
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K14,355,485,353,331,425,409,321,410,446,571,465,339
ABCC8,27,3,1,8,14,0,6,43,0,0,0,0
CACNG3,0,0,0,0,0,0,0,0,0,0,0,0
TMEM132A,9,30,11,11,30,27,24,19,8,62,9,7
AP2B1,30442,27226,29334,28023,28884,34552,36768,20136,34030,41633,35574,29090
TAC1,0,120,44,45,52,6,6,105,6,18,36,44
ZNF263,2063,2170,1899,2144,1725,1642,1903,2211,1471,1716,1975,1889
CX3CL1,9,8,10,5,8,9,8,8,13,11,0,11
SPATA20,73,500,248,337,302,165,118,409,190,204,303,149
CACNA1G,1,2,3,4,4,0,0,4,0,0,0,14
TNFRSF12A,868,865,532,587,568,598,508,459,558,757,446,477
DLX6,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K9,86,196,79,103,121,82,68,196,48,97,76,53
RALA,3725,9827,5312,6063,7946,5393,4515,9432,4723,6027,8364,6535
BAIAP2L1,2191,3566,2321,2440,2826,2598,2194,2713,2059,2340,2739,1915
KDM7A,1627,8791,3511,4038,5314,3353,2983,6032,3249,4915,6020,3638
ETV1,1839,1850,3686,3643,2956,4074,4338,1478,3087,4890,5543,3467
AGK,4284,2960,4128,3008,4054,5362,5359,2740,5317,6285,4500,3564
ALDH3B1,35,123,85,109,92,34,47,170,59,52,121,108
TTC22,0,19,3,8,15,10,3,10,1,10,15,0
PHTF2,2987,7196,3913,3909,4448,4991,3904,4092,4781,6102,6461,4206
CCL26,181,35,77,53,33,96,163,38,94,102,34,11
FARP2,2446,1305,1522,1386,1572,1715,2059,1061,2249,2041,1835,1412
USH1C,0,4,0,0,0,0,0,2,0,0,0,0
