gene_name,dH1f_sgControl_Rep1,dH1f_sgControl_Rep2,dH1f_sgControl_Rep3,dH1f_sg_AF10_Rep1,dH1f_sg_AF10_Rep2,dH1f_sg_AF10_Rep3
TSPAN6,629,687,474,556,460,534
TNMD,0,0,0,0,0,0
DPM1,1063,1012,735,877,732,873
SCYL3,159,202,121,190,134,154
C1orf112,164,160,162,254,126,187
FGR,4,3,3,4,9,3
CFH,872,965,613,972,848,862
FUCA2,1678,2155,1332,1796,1523,1600
GCLC,809,772,469,830,445,527
NFYA,508,532,379,543,415,461
STPG1,116,180,121,117,124,133
NIPAL3,1583,1743,1211,1870,1484,1639
LAS1L,667,741,561,685,584,612
ENPP4,46,55,35,51,35,24
SEMA3F,872,1028,746,743,601,566
CFTR,1,2,2,3,2,0
ANKIB1,1279,1456,1017,1464,939,1069
CYP51A1,2077,2345,1540,2130,1587,1727
KRIT1,579,579,347,592,463,512
RAD52,93,103,75,94,128,85
BAD,425,533,420,319,339,321
LAP3,1291,1549,972,1097,1072,1136
CD99,5095,5545,3756,3922,3656,3681
HS3ST1,35,93,24,37,82,80
AOC1,5,6,0,6,9,3
WNT16,128,143,90,195,153,144
HECW1,28,54,19,13,33,32
MAD1L1,379,500,433,458,409,489
LASP1,6723,8101,5496,7149,6305,6641
SNX11,272,321,246,208,232,274
TMEM176A,0,1,3,1,6,1
M6PR,2305,2942,1655,2500,1920,1875
KLHL13,8,5,5,3,11,6
CYP26B1,20,6,0,16,9,9
ICA1,15,33,10,21,18,10
DBNDD1,14,12,7,18,18,22
ALS2,572,874,410,752,645,674
CASP10,23,33,14,21,15,21
CFLAR,996,1184,686,788,621,700
TFPI,1157,1268,1019,1303,1092,1214
NDUFAF7,287,377,156,298,221,233
RBM5,1822,2263,1168,2060,1332,1396
MTMR7,0,0,1,2,2,1
SLC7A2,3,2,5,7,7,7
ARF5,1427,1629,1256,1261,1210,1296
SARM1,129,246,121,203,131,175
POLDIP2,1382,1806,1268,1508,1507,1480
PLXND1,2350,3231,1748,3069,2402,2549
AK2,2347,2698,2003,2358,2138,2116
CD38,2,21,3,4,2,14
FKBP4,1810,2459,1721,2046,1899,1899
KDM1A,2995,3824,2081,3884,3736,3293
RBM6,1662,1714,864,1319,945,990
CAMKK1,199,203,147,174,101,109
RECQL,1527,1610,1348,1663,1189,1353
VPS50,399,495,318,505,343,403
HSPB6,688,754,548,665,551,585
ARHGAP33,63,49,15,39,25,22
NDUFAB1,1176,1290,837,1106,1085,1107
PDK4,3,3,2,7,14,9
SLC22A16,3,3,1,3,2,0
ZMYND10,11,3,2,3,7,2
ABCB5,8,9,13,10,7,12
ARX,1,3,0,2,2,3
SLC25A13,709,909,587,887,708,807
ST7,351,449,278,472,340,398
CDC27,1727,1748,1426,1923,1326,1990
SLC4A1,8,0,5,5,4,6
CALCR,0,2,1,1,0,0
HCCS,589,646,519,609,583,604
DVL2,654,692,610,514,519,480
PRSS22,1,3,1,0,2,3
UPF1,1037,1148,851,1156,876,990
SKAP2,745,856,527,749,650,666
SLC25A5,4729,5283,3392,4558,4455,4436
MCUB,701,836,773,663,548,658
HOXA11,442,493,360,360,313,324
POLR2J,576,565,478,506,493,466
DHX33,467,553,319,534,417,464
MEOX1,179,222,178,164,180,207
THSD7A,20,22,15,63,140,50
LIG3,308,491,334,628,386,452
RPAP3,697,969,542,837,565,622
ACSM3,26,23,18,21,26,16
REXO5,36,52,30,60,22,44
CIAPIN1,893,1042,806,1174,1084,1064
SPPL2B,478,644,387,615,371,319
FAM214B,649,729,535,743,593,609
COPZ2,728,731,537,562,636,489
PRKAR2B,59,79,53,93,65,80
MSL3,414,500,301,478,315,369
CREBBP,703,808,528,900,491,637
TSPOAP1,141,47,11,22,23,68
MPO,0,0,0,0,0,0
PON1,0,0,0,3,0,0
GCFC2,242,428,229,271,305,271
WDR54,158,180,113,145,129,129
CROT,240,252,182,194,165,190
ABCB4,2,2,2,2,1,11
KMT2E,720,804,438,655,419,513
RHBDD2,306,387,251,300,297,268
SOX8,85,74,50,68,73,62
ZNF195,266,364,194,446,250,266
