gene_name,hESC_wt5_RNA_seq_rep_1,hESC_wt5_RNA_seq_rep_2,hESC_wt30_RNA_seq_rep_2,hESC_wt30_RNA_seq_rep_3,hESC_ZNF91_ko9_RNA_seq_rep_1,hESC_ZNF91_ko9_RNA_seq_rep_2,hESC_ZNF91_ko13_RNA_seq_rep_1,hESC_ZNF91_ko13_RNA_seq_rep_2,hESC_ZNF91_ko19_RNA_seq_rep_2,hESC_ZNF91_ko19_RNA_seq_rep_3,hESC_ZNF611_wt11_RNA_seq_rep1,hESC_ZNF611_ko4_RNA_seq_rep1,hESC_ZNF611_ko16_RNA_seq_rep1,GSM4954731,GSM4954732,GSM4954733,GSM4954734
TSPAN6,2160,2593,2589,1587,1772,1615,1967,3154,1269,1408,1796,1727,1331,1783,1622,1529,2027
TNMD,5,17,23,17,10,15,24,30,9,5,5,8,0,6,8,13,0
DPM1,774,972,859,280,753,559,735,1197,277,299,330,363,312,461,324,369,402
SCYL3,257,252,394,237,270,249,219,382,241,187,228,227,145,235,156,216,306
C1orf112,1202,1053,1446,689,800,762,1196,1661,551,693,667,748,520,1004,669,680,850
FGR,3,2,9,0,0,0,2,0,2,0,0,0,2,0,1,0,8
CFH,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
FUCA2,1768,1921,2073,1253,1771,1586,1612,2442,1108,1395,1083,1175,875,1372,1034,1118,1400
GCLC,1236,1717,1564,1254,1336,1253,1392,2257,1263,1296,1114,1108,964,2273,1348,1153,1283
NFYA,1310,1517,1718,1130,1088,996,1274,1912,985,981,963,1091,764,1271,963,1095,1225
STPG1,263,211,223,113,215,152,136,217,129,135,126,156,87,208,96,106,208
NIPAL3,371,400,390,417,275,241,304,566,276,288,242,354,214,437,276,394,308
LAS1L,1981,2197,2266,1932,1537,1567,1951,2697,1677,1790,1161,1418,937,1674,1240,1490,2061
ENPP4,312,280,444,135,240,279,173,340,100,132,232,214,148,256,188,243,287
SEMA3F,787,571,828,521,415,328,380,893,586,515,609,610,524,433,459,438,748
CFTR,168,97,91,48,145,29,23,85,32,67,86,45,38,39,85,44,145
ANKIB1,1978,2540,1992,1395,1702,2209,2488,3664,1251,1769,1832,1287,1606,2221,1541,1440,2103
CYP51A1,3722,4604,5082,3252,3769,3124,4188,5637,2091,2780,2705,3303,2233,4366,2950,2867,3343
KRIT1,822,888,839,664,1055,943,877,1253,525,537,596,612,620,896,610,949,797
RAD52,252,282,387,363,425,390,186,219,314,250,273,315,183,263,249,184,197
BAD,236,314,249,281,140,176,253,272,255,245,164,227,118,225,153,195,238
LAP3,1052,1291,1215,1008,830,756,1203,1734,820,853,769,814,552,1116,784,725,1017
CD99,1033,1141,1211,828,639,498,1060,1555,886,983,469,595,440,704,606,530,660
