gene_name,WT_A,WT_B,SMARCB1_Null-A,SMARCB1_Null-B,SMARCA4_Null-A,SMARCA4_Null-B,,,,,,,
TSPAN6,160,112,46,30,223,113,,,,,,,
TNMD,41,83,0,8,621,59,,,,,,,
DPM1,5214,4793,3987,4657,5950,4386,,,,,,,
SCYL3,2390,1919,1722,1730,2111,1470,,,,,,,
C1orf112,4018,3540,2890,3126,3694,2811,,,,,,,
FGR,1,1,0,4,0,1,,,,,,,
CFH,12,6,24,16,11,12,,,,,,,
FUCA2,2539,2465,2667,2775,4000,3312,,,,,,,
GCLC,8017,6220,3916,3700,6373,4438,,,,,,,
NFYA,4400,3445,2906,3271,4042,2966,,,,,,,
STPG1,1399,1021,960,1045,1664,1440,,,,,,,
NIPAL3,3898,2875,2532,2297,5342,3917,,,,,,,
LAS1L,17213,15934,15164,17777,21663,15610,,,,,,,
ENPP4,1265,1098,1329,1230,1257,860,,,,,,,
SEMA3F,759,646,848,466,704,800,,,,,,,
CFTR,113,96,39,34,60,52,,,,,,,
ANKIB1,6155,4296,5128,4701,7520,5995,,,,,,,
CYP51A1,10176,8211,11759,11524,19725,15813,,,,,,,
KRIT1,5829,4507,4592,4412,5720,4666,,,,,,,
RAD52,1732,1284,1396,1446,1625,1257,,,,,,,
BAD,2243,2063,2029,2093,2969,2141,,,,,,,
LAP3,13198,11733,10418,12661,17861,13439,,,,,,,
CD99,12460,10296,8278,8785,14024,12103,,,,,,,
HS3ST1,842,498,713,428,546,728,,,,,,,
AOC1,10,15,9,7,8,9,,,,,,,
WNT16,2,7,45,7,2,3,,,,,,,
HECW1,43,49,37,16,59,64,,,,,,,
MAD1L1,2375,2335,2086,1820,2642,1969,,,,,,,
LASP1,8243,6871,4489,3685,9294,8217,,,,,,,
SNX11,1544,1632,1448,1836,2188,1557,,,,,,,
TMEM176A,6,4,3,9,4,6,,,,,,,
M6PR,11443,11387,9835,13023,15461,10955,,,,,,,
KLHL13,6493,5762,4768,4430,10504,6623,,,,,,,
CYP26B1,2079,1382,2377,2440,2277,1725,,,,,,,
ICA1,227,159,261,207,478,256,,,,,,,
DBNDD1,6448,5509,5625,5761,8215,6033,,,,,,,
ALS2,3585,2427,3675,3504,5275,3763,,,,,,,
CASP10,96,148,199,155,178,199,,,,,,,
CFLAR,8017,5832,5596,4459,7522,6203,,,,,,,
TFPI,1230,791,855,639,1011,855,,,,,,,
NDUFAF7,2238,2053,1825,1836,2170,1837,,,,,,,
RBM5,12432,9893,9281,9702,13258,9543,,,,,,,
MTMR7,969,659,532,416,1117,968,,,,,,,
SLC7A2,9916,7570,12239,12665,10813,7025,,,,,,,
ARF5,8592,7833,6516,6352,9413,7312,,,,,,,
SARM1,3525,2986,417,532,1967,1555,,,,,,,
POLDIP2,12789,11916,12470,16308,17762,12417,,,,,,,
PLXND1,4959,3674,5228,4507,10581,6642,,,,,,,
AK2,23528,20328,17589,19930,27258,21581,,,,,,,
CD38,69,50,25,16,16,18,,,,,,,
FKBP4,40920,36252,28737,31586,37849,26095,,,,,,,
KDM1A,30219,25756,29219,31985,39342,27792,,,,,,,
RBM6,13088,10318,9658,9527,13640,10694,,,,,,,
CAMKK1,1162,845,925,707,1307,1058,,,,,,,
RECQL,6739,5879,5444,5753,7734,6392,,,,,,,
VPS50,2311,2054,2074,2470,2787,2097,,,,,,,
HSPB6,85,44,41,27,41,46,,,,,,,
ARHGAP33,3982,2507,2197,1933,4353,4000,,,,,,,
NDUFAB1,9707,10247,8433,10634,11225,8379,,,,,,,
PDK4,11,3,0,74,0,0,,,,,,,
SLC22A16,87,88,70,68,106,54,,,,,,,
ZMYND10,467,447,516,520,652,392,,,,,,,
ABCB5,79,34,37,50,44,42,,,,,,,
ARX,3851,1404,448,456,524,354,,,,,,,
SLC25A13,6562,6151,6211,7726,7624,5349,,,,,,,
ST7,2943,2804,3100,4110,3223,2148,,,,,,,
CDC27,13587,11314,14296,14953,15745,12197,,,,,,,
SLC4A1,1227,587,1079,537,641,1156,,,,,,,
CALCR,1,0,2,1,6,0,,,,,,,
HCCS,4675,4690,4215,5311,6152,4125,,,,,,,
DVL2,6462,5723,5601,5663,8424,6541,,,,,,,
PRSS22,0,0,5,0,1,2,,,,,,,
UPF1,18159,15491,15890,17033,19513,14426,,,,,,,
SKAP2,5234,3892,3517,3317,2711,2856,,,,,,,
SLC25A5,62246,61310,48424,62494,87764,62333,,,,,,,
MCUB,3923,3318,7202,7799,5896,4261,,,,,,,
HOXA11,2094,1824,1342,1672,1749,1424,,,,,,,
POLR2J,3625,3450,3088,3806,3874,2805,,,,,,,
DHX33,13818,9732,13363,13645,14884,10095,,,,,,,
MEOX1,2,0,0,0,12,2,,,,,,,
THSD7A,467,303,24,35,27,16,,,,,,,
LIG3,11210,7635,9137,7812,10132,8632,,,,,,,
RPAP3,4892,4230,16421,18734,6722,4266,,,,,,,
ACSM3,111,50,84,43,65,87,,,,,,,
LOC81691,1874,1500,1637,1574,1937,1682,,,,,,,
CIAPIN1,6365,6480,5939,7760,9485,5798,,,,,,,
SPPL2B,6384,4844,6590,5929,7329,5514,,,,,,,
FAM214B,362,276,460,279,820,811,,,,,,,
COPZ2,9,3,10,6,6,17,,,,,,,
PRKAR2B,2956,2478,3113,3618,3822,2816,,,,,,,
MSL3,5756,5341,4032,4027,5037,3592,,,,,,,
CREBBP,22414,15460,14877,13551,18042,14718,,,,,,,
TSPOAP1,84,63,55,52,64,58,,,,,,,
MPO,0,0,0,0,0,0,,,,,,,
PON1,11,14,11,8,10,4,,,,,,,
GCFC2,5140,4754,5473,5532,5954,4006,,,,,,,
WDR54,2291,1843,1686,1698,2852,2712,,,,,,,
CROT,1365,1127,1068,1198,1401,878,,,,,,,
ABCB4,61,34,27,44,9,11,,,,,,,
KMT2E,11015,7426,8341,6491,11023,10005,,,,,,,
RHBDD2,3592,3317,3026,3465,4034,2684,,,,,,,
SOX8,2541,2041,1397,971,674,396,,,,,,,
IBTK,4215,3146,3975,3755,5244,3821,,,,,,,
ZNF195,4758,3767,3238,3419,4098,3035,,,,,,,
