gene_name,hESC_Control_1,hESC_Control_2,hESC_RB1_null_1,hESC_RB1_null_2,hESC_RB1_null_3,teratoma_Control_1,teratoma_Control_2,teratoma_RB1_null_1,teratoma_RB1_null_2,teratoma_RB1_null_3
TSPAN6,1278,1098,2130,1905,1782,3664,4129,3482,2669,7358
TNMD,23,25,51,55,47,366,373,1012,10,425
DPM1,799,702,1173,1304,1142,594,723,771,718,1175
SCYL3,181,148,240,285,184,248,246,396,438,425
C1orf112,569,470,605,697,836,162,266,296,290,637
FGR,4,4,8,5,3,83,15,9,0,38
CFH,0,0,8,5,0,551,362,648,319,522
FUCA2,1352,1337,1507,1948,1968,1180,1957,2375,952,3839
GCLC,886,966,1506,1556,1317,324,601,846,821,1320
NFYA,721,793,1104,1343,730,856,830,1295,1786,2854
STPG1,162,145,220,222,237,225,287,239,241,360
NIPAL3,207,204,363,336,379,702,522,620,541,1692
LAS1L,1913,1776,2169,2649,2831,1000,844,1111,1094,2403
ENPP4,168,125,170,264,125,329,297,266,305,518
SEMA3F,514,479,742,895,752,2248,1032,774,1200,1983
CFTR,52,71,238,81,40,432,1792,991,139,2195
ANKIB1,1286,1267,1858,1883,1434,701,869,1265,1934,1833
CYP51A1,1676,1675,2042,2804,2187,1244,2706,2439,2803,2904
KRIT1,733,555,949,917,763,421,479,620,844,1230
RAD52,202,210,360,355,142,120,90,162,233,191
BAD,257,267,287,377,441,1135,1097,1367,1314,2274
LAP3,1132,1048,1432,1701,1683,971,1280,1561,886,2546
CD99,1445,2083,2392,1824,2345,6160,6986,9544,3916,15619
HS3ST1,60,16,5,11,48,207,218,117,444,455
AOC1,7,3,7,5,5,413,665,170,15,841
WNT16,8,12,6,4,5,44,25,22,28,34
HECW1,128,131,101,118,391,76,91,357,1414,306
MAD1L1,544,570,675,756,868,707,661,992,887,1731
LASP1,7425,6596,5825,7588,12993,8223,8862,11293,7025,22696
SNX11,373,342,540,550,576,253,310,477,534,706
TMEM176A,4,2,9,3,3,1182,1380,1101,101,2979
M6PR,2234,1865,3490,2894,2904,2030,1909,2356,1684,4913
KLHL13,283,172,324,301,239,663,1229,1390,965,1896
CYP26B1,367,272,48,78,326,244,183,347,442,280
ICA1,369,203,515,307,373,444,587,382,168,906
DBNDD1,1282,1263,2131,1858,2230,551,598,1267,1818,1786
ALS2,1020,817,1207,1480,1047,494,623,798,1309,1386
CASP10,101,96,149,128,106,81,92,133,23,144
CFLAR,952,1086,811,916,739,860,721,628,752,2579
TFPI,798,455,429,570,944,492,1162,1621,225,3919
NDUFAF7,570,459,947,869,495,136,190,223,250,393
RBM5,1713,1461,2555,2121,1261,1071,851,1315,2592,2222
MTMR7,91,71,200,129,93,107,66,396,538,406
SLC7A2,707,501,1477,729,787,1855,1843,1902,254,7280
ARF5,2337,2169,2811,2988,2799,4584,5055,5747,4441,8916
SARM1,109,103,149,100,136,555,761,1386,2038,2547
POLDIP2,2743,1990,2462,2774,3505,2492,2904,3327,2703,5788
PLXND1,1448,2032,1154,1789,3843,2365,1478,4055,1654,8300
AK2,1404,1171,2262,2116,2112,1898,2216,2248,1830,5011
CD38,6,11,8,23,8,53,8,55,1,90
FKBP4,5917,3702,6571,7072,6153,1987,1608,1541,2700,4371
KDM1A,4308,4319,7834,7638,6540,3681,4054,7202,8546,10873
RBM6,1452,1352,2193,1841,1317,1098,863,1342,2015,2098
CAMKK1,150,123,209,187,133,245,229,304,550,455
RECQL,1288,1235,1590,1812,2013,504,689,1127,938,1549
VPS50,334,395,462,379,289,350,470,594,736,708
HSPB6,9,2,2,2,5,1406,1266,2232,1054,1875
ARHGAP33,276,296,617,610,452,125,230,878,2908,826
NDUFAB1,1607,1436,1913,2273,2261,1259,1618,1471,1452,2308
PDK4,304,151,19,41,125,247,254,350,118,681
SLC22A16,8,15,10,8,8,31,52,24,34,31
ZMYND10,8,2,8,5,1,1417,671,292,336,548
ABCB5,7,3,6,5,1,1,5,12,9,7
ARX,6,3,5,4,5,78,61,145,1986,857
SLC25A13,2369,2114,2510,3228,2974,592,946,1219,607,2765
ST7,371,273,393,380,490,573,755,1132,1354,1610
CDC27,2824,2000,2134,2524,2267,1177,1332,2041,1905,3353
SLC4A1,8,6,11,6,8,6,14,7,7,313
CALCR,180,210,50,133,57,6,13,7,8,13
HCCS,915,1070,1584,1626,1782,557,763,824,743,1570
DVL2,835,786,1326,1202,1029,793,843,1096,1359,2387
PRSS22,15,15,50,13,4,68,31,20,19,117
UPF1,2605,2982,3205,4078,4073,2311,2085,2385,3336,6262
SKAP2,325,259,163,279,286,515,381,262,272,784
SLC25A5,6296,5891,7627,9691,9339,5699,7653,7919,4342,14248
MCUB,240,171,398,330,506,157,215,476,514,409
HOXA11,22,27,5,7,12,238,368,320,80,501
POLR2J,437,443,613,790,773,684,735,793,826,1621
DHX33,2245,1856,3257,2901,2688,468,514,629,1327,1553
MEOX1,2,1,0,0,2,194,112,137,14,236
THSD7A,108,71,98,143,70,216,313,1687,1940,863
LIG3,2523,2084,2942,3336,2675,1175,1077,1240,1420,2119
RPAP3,991,870,1148,1544,1205,706,689,962,1056,1396
ACSM3,45,9,166,65,59,565,431,242,96,832
LOC81691,80,82,127,158,108,128,135,320,238,311
CIAPIN1,1513,1494,1837,2438,2420,856,1081,1645,1703,2647
SPPL2B,516,564,1701,1022,717,1124,1120,902,1467,2466
FAM214B,488,429,276,367,428,522,343,356,987,989
COPZ2,104,71,29,47,140,1151,696,1429,594,1630
PRKAR2B,828,715,1293,989,1008,376,841,2640,3897,1795
MSL3,569,625,686,974,779,1053,975,1557,1777,2204
CREBBP,2470,2455,3416,3050,2803,2089,2060,3321,5988,8032
TSPOAP1,131,130,309,126,95,300,445,624,745,1030
MPO,6,2,6,5,6,79,28,18,13,1171
PON1,9,0,5,2,2,3,21,3,0,43
GCFC2,300,316,521,533,331,693,570,898,793,1603
WDR54,346,333,628,493,466,1007,633,863,1467,1838
CROT,114,98,193,185,115,305,392,288,300,672
ABCB4,15,21,21,25,20,20,137,69,117,224
KMT2E,977,1130,1422,1456,928,1162,1338,2680,5565,3582
RHBDD2,407,522,653,652,637,1497,2203,3038,3115,3894
SOX8,90,70,82,107,72,347,240,443,575,500
IBTK,662,556,740,839,734,565,685,1001,1055,1314
ZNF195,961,826,1633,1361,1284,448,539,792,1424,849
MYCBP2,1102,1057,1127,1431,946,1652,888,2257,3267,3148
FBXL3,543,440,566,572,561,1005,934,1233,1167,1723
ITGAL,14,10,36,15,15,23,17,36,5,74
PDK2,434,391,494,513,454,921,2459,1277,1073,2521
ITGA3,1185,1081,410,1020,1838,2114,1342,1058,624,5577
ZFX,808,714,999,985,779,945,905,1035,1719,1859
LAMP2,2328,1749,1740,1628,2041,2344,2438,2279,1540,5055
ITGA2B,74,61,215,83,128,67,36,33,49,260
ASB4,2,0,3,4,2,25,25,75,17,39
GDE1,1513,1473,1583,2066,1923,1719,2232,2239,1856,4275
C19orf60,331,400,623,672,595,455,561,478,633,842
CRLF1,212,150,142,166,206,184,244,154,102,93
OSBPL7,93,90,227,145,86,127,183,229,157,337
TMEM98,1435,1317,1865,2172,1932,2699,4849,4772,3145,10638
YBX2,282,188,713,391,230,63,78,52,69,272
KRT33A,0,0,0,0,0,0,2,0,0,0
MAP3K14,238,150,195,156,311,119,103,137,317,448
ABCC8,10,18,47,23,19,60,40,61,81,585
CACNG3,0,1,2,0,1,5,10,59,106,11
TMEM132A,996,971,1578,1427,1039,1717,2042,2544,6588,4942
AP2B1,10562,8616,8728,10937,13710,6216,5428,10064,14130,16480
TAC1,204,170,12,37,42,212,102,301,294,75
ZNF263,698,699,1306,1107,954,880,937,1333,1624,2169
CX3CL1,41,61,90,76,84,666,808,614,665,671
SPATA20,368,386,783,589,421,1534,2000,1851,890,4068
CACNA1G,220,178,393,197,237,376,494,881,1177,703
TNFRSF12A,892,955,920,991,1716,482,211,267,445,1280
DLX6,11,6,25,7,1,32,23,107,138,157
MAP3K9,707,697,967,993,705,377,325,606,1655,958
RALA,2653,1775,2167,2463,2828,1391,1516,2173,2344,3404
BAIAP2L1,680,617,1201,915,919,721,571,397,219,1571
KDM7A,418,363,446,558,487,409,234,389,1277,776
ETV1,1923,1636,1583,1952,2533,319,528,930,668,1282
AGK,342,350,555,628,595,244,271,566,618,640
ALDH3B1,15,19,20,43,21,461,243,424,126,564
TTC22,20,10,31,14,9,287,354,138,13,354
PHTF2,475,492,902,879,708,503,610,1172,1230,1412
CCL26,38,41,17,61,44,4,4,5,1,3
FARP2,546,638,958,969,736,641,829,976,1063,2205
USH1C,15,6,22,14,3,913,1599,585,17,1873
GGCT,1232,839,1596,1432,1636,1090,1384,1484,1019,2343
DBF4,1029,898,1470,1714,1304,267,574,654,838,961
TBXA2R,18,17,34,34,19,42,38,101,43,165
IFRD1,1046,880,1087,874,862,269,260,310,944,542
LGALS14,1,3,3,1,5,71,106,21,1,68
COX10,423,313,516,518,578,308,346,342,387,766
GTF2IRD1,561,528,915,737,566,1259,1241,1928,1564,2626
PAF1,825,781,916,1139,1031,1461,1452,1935,1989,3472
VPS41,2118,1397,1598,1492,1880,1044,1190,1368,1746,1949
ARHGAP44,371,220,442,420,413,174,213,299,559,599
ELAC2,2898,2107,3200,3477,4055,1310,1292,1336,1746,3688
SCIN,15,19,31,27,19,212,239,145,130,194
ARSD,159,252,348,269,258,1641,1858,1701,1104,3440
PNPLA4,514,517,628,857,696,737,887,781,569,1346
MYH13,30,18,2,10,12,100,4097,60,3,2001
ADIPOR2,1325,1188,1516,1739,1429,1271,1784,2079,1926,3368
CDKL3,38,24,18,61,33,56,38,101,107,44
UPP2,0,0,1,1,0,12,1,3,4,15
PRSS21,1,1,1,1,0,0,0,0,0,1
MARK4,851,762,1191,1213,886,1287,1028,1524,2516,2675
PROM1,960,965,2356,1106,1813,824,2005,2405,1288,2431
CCDC124,1371,1338,1234,1964,2128,1235,1346,1712,1817,2840
CEACAM21,1,1,0,0,0,5,3,8,4,21
PAFAH1B1,9746,6299,5685,7176,8127,2566,2676,4438,6953,6635
NOS2,45,44,58,59,42,82,71,53,47,235
DNAH9,19,41,8,45,47,743,313,171,237,319
KIAA0100,5611,3229,4338,4275,5282,5986,5942,5469,4185,11270
SLC13A2,2,0,4,0,3,56,434,70,8,291
GAS7,523,284,518,433,749,2214,1703,3115,2419,7580
TRAPPC6A,140,167,357,251,194,540,535,450,347,933
MATK,169,93,339,163,282,70,65,45,54,113
CEACAM7,1,0,1,3,0,36,3,2,0,0
CD79B,54,30,20,55,74,25,11,13,1,27
SCN4A,137,110,283,253,70,36,218,46,11,93
ST7L,285,232,328,323,352,235,324,446,386,614
TKTL1,5,5,4,0,0,64,90,286,484,123
PAX6,31,49,112,36,15,82,254,1049,3855,2006
RPUSD1,597,647,697,771,1058,485,501,518,641,1495
RHBDF1,626,521,571,676,583,501,458,530,223,1548
LUC7L,1052,1008,1568,1791,1435,520,511,557,1375,1311
CACNA2D2,475,473,1429,895,457,277,378,682,1185,664
BAIAP3,63,56,151,105,135,421,426,335,868,542
TSR3,894,726,751,1093,1378,1292,1242,1446,1428,2468
PIGQ,377,436,963,769,485,782,851,1126,1369,2078
CRAMP1,425,479,1126,693,535,438,389,514,1072,982
TEAD3,589,683,748,889,1192,1445,1047,1507,983,3611
SELE,0,0,1,0,0,3,0,5,0,1
DNAJC11,1971,1754,2861,2698,2676,954,1240,1456,1638,2992
FMO3,7,3,3,1,6,10,7,27,7,28
MYLIP,246,264,644,457,122,417,587,391,238,1464
NOX1,3,2,5,7,2,20,85,11,7,82
E2F2,34,57,87,76,99,71,145,400,374,371
PSMB1,3588,3335,3973,5149,5011,3176,3636,4763,3207,7104
SYN1,204,182,179,219,186,240,195,775,1525,492
JARID2,6890,6094,10219,9746,10945,824,889,1229,2313,2157
CDKL5,1225,1471,2442,1952,1460,556,592,1074,2000,1523
CAMK1G,4,6,19,14,6,72,47,96,185,225
CDK11A,434,390,593,627,436,162,167,230,284,356
NADK,967,1079,1915,1751,1133,843,1062,1154,1452,2873
TFAP2B,40,28,16,11,5,487,177,497,1394,842
TFAP2D,0,0,0,0,0,4,0,12,10,4
DLEC1,30,36,47,40,6,109,48,24,22,150
CYTH3,383,488,477,489,632,526,635,975,1060,1499
ADAM22,319,304,505,505,342,164,383,639,856,337
SYPL1,1387,1323,1578,1956,1911,2334,2003,2033,1017,3715
CYB561,591,460,594,599,740,1250,1090,689,780,1773
SPAG9,3121,2091,2742,3047,2870,1476,1679,3879,7606,4828
CELSR3,874,404,1673,875,993,202,430,1021,2990,840
AASS,3077,1695,8894,3211,3257,65,144,218,368,357
PLEKHG6,408,213,431,533,332,761,894,362,99,1766
