gene_name,Wild-type_rep1,Wild-type_rep2,Wild-type_rep3,ATF7IP_KO_rep1,ATF7IP_KO_rep2,ATF7IP_KO_rep3,SETDB1_KO_rep1,SETDB1_KO_rep2,SETDB1_KO_rep3
TSPAN6,14,14,11,18,9,5,10,17,8
TNMD,0,0,0,0,0,0,0,0,0
DPM1,998,1433,1675,926,1423,703,1371,1341,1118
SCYL3,231,308,300,240,347,157,297,290,218
C1orf112,414,608,508,405,531,236,429,430,384
FGR,1,0,1,0,0,0,0,0,0
CFH,4,4,8,5,11,3,5,12,5
FUCA2,1239,1703,1525,1368,1630,874,1154,1731,1063
GCLC,683,924,853,543,743,347,587,701,421
NFYA,353,602,617,480,871,351,554,751,570
STPG1,76,115,86,70,102,55,121,121,94
NIPAL3,124,141,128,141,180,113,153,202,124
LAS1L,1058,1493,1419,983,1452,536,1135,1449,928
ENPP4,0,0,0,0,0,0,0,0,0
SEMA3F,453,548,510,370,741,297,319,601,431
CFTR,3,9,6,11,11,3,7,12,6
ANKIB1,949,1434,1425,930,1568,565,1179,1463,976
CYP51A1,2779,3704,3761,2081,3158,1251,2895,3218,2258
KRIT1,611,840,896,627,926,377,724,928,720
RAD52,234,260,271,178,315,125,266,291,207
BAD,138,148,144,129,186,82,146,234,103
LAP3,520,629,661,487,732,297,503,892,492
CD99,945,1123,1266,1073,1509,847,938,1533,1230
HS3ST1,6,17,5,10,11,2,7,11,8
AOC1,0,0,1,4,2,1,2,3,4
WNT16,2,2,1,0,4,2,0,0,1
HECW1,73,84,91,52,84,33,33,48,55
MAD1L1,324,459,517,317,498,235,448,469,349
LASP1,2747,3431,3157,2659,4028,1964,2144,3725,2439
SNX11,153,220,153,133,183,86,174,262,141
TMEM176A,7,3,4,1,3,6,1,4,2
M6PR,1865,2620,2394,1621,2898,1183,2080,2768,2058
KLHL13,2416,3461,3052,1673,2725,1433,1942,2127,1785
CYP26B1,251,326,269,234,255,141,249,301,213
ICA1,34,55,35,19,51,21,59,54,33
DBNDD1,122,149,179,69,120,39,79,91,49
ALS2,263,374,374,309,408,228,303,411,303
CASP10,136,150,133,111,199,58,143,132,79
CFLAR,625,849,869,616,1031,449,770,969,629
TFPI,481,630,707,521,607,334,625,564,477
NDUFAF7,530,667,714,495,665,281,615,631,489
RBM5,1266,1719,1776,1135,1960,887,1686,1874,1260
MTMR7,27,34,32,24,44,22,37,40,35
SLC7A2,620,820,672,154,215,113,469,371,79
ARF5,554,857,648,869,966,364,566,1033,632
SARM1,76,92,77,83,110,55,101,101,70
POLDIP2,1584,2026,1630,1438,1994,887,1668,2069,1204
PLXND1,550,694,614,496,852,304,504,625,436
AK2,3549,4855,4908,2972,4659,1928,4643,3800,2931
CD38,9,13,6,11,14,9,12,15,5
FKBP4,3013,4102,3773,2335,3831,1714,2270,4084,2318
KDM1A,1988,2544,2612,1470,1969,923,1773,2010,1337
RBM6,1168,1581,1852,995,1757,971,1452,1675,1351
CAMKK1,261,316,272,217,347,146,269,326,222
RECQL,1641,2398,2359,1583,2579,1204,1961,2504,2024
VPS50,543,707,714,642,816,364,713,743,520
HSPB6,1,3,7,4,3,1,7,2,6
ARHGAP33,44,34,43,45,101,44,63,70,33
NDUFAB1,676,900,728,674,841,416,637,979,555
PDK4,443,577,582,435,701,135,762,569,645
SLC22A16,13,17,10,15,23,12,11,22,15
ZMYND10,20,35,28,19,33,27,36,33,26
ABCB5,5,7,7,10,8,3,6,8,6
ARX,2,3,6,1,6,2,5,3,4
SLC25A13,838,1185,1021,792,1065,457,707,893,741
ST7,604,804,786,618,810,325,693,806,547
CDC27,2688,3662,3983,2658,3819,1885,2812,3619,2615
SLC4A1,9,17,5,15,20,6,10,18,14
CALCR,0,0,0,0,0,0,0,0,0
HCCS,730,1092,1042,636,1021,486,770,824,693
DVL2,635,875,706,596,865,386,671,760,493
PRSS22,0,0,0,1,0,0,0,0,0
UPF1,830,1044,868,739,1101,506,883,985,657
SKAP2,316,421,403,424,572,238,365,509,383
SLC25A5,2167,2962,2211,2353,3132,1557,2023,3105,2480
MCUB,222,276,276,208,293,134,253,299,182
HOXA11,125,167,207,135,176,81,276,167,126
POLR2J,458,589,627,454,586,275,535,695,450
DHX33,1208,1581,1528,929,1405,675,1145,1380,851
MEOX1,237,319,354,353,662,288,300,334,437
THSD7A,0,0,0,1,2,0,0,0,0
LIG3,1429,1825,1893,1522,2141,938,1473,1978,1438
RPAP3,871,1186,1302,831,1293,624,1223,1183,940
ACSM3,21,33,32,36,41,31,22,58,29
LOC81691,90,142,137,114,164,67,165,167,110
CIAPIN1,793,1054,816,613,900,362,727,947,588
SPPL2B,192,213,188,202,264,96,239,283,162
FAM214B,106,149,153,153,249,93,141,225,156
COPZ2,1,1,0,5,1,1,0,1,1
PRKAR2B,1,2,1,0,0,0,0,0,0
MSL3,469,616,605,545,783,386,593,831,585
CREBBP,532,685,697,467,814,423,679,671,511
TSPOAP1,4,5,4,9,9,5,8,6,8
MPO,0,0,0,0,0,0,0,0,0
PON1,5,7,14,1,6,2,7,4,7
GCFC2,560,794,768,595,747,347,761,786,533
WDR54,77,100,103,62,131,34,100,129,67
CROT,6,12,8,5,11,8,14,11,7
ABCB4,0,4,1,6,1,2,1,4,1
KMT2E,1141,1447,1652,1153,1660,674,1290,1407,1146
RHBDD2,342,434,341,456,632,296,595,689,385
SOX8,0,0,0,0,0,0,0,0,0
IBTK,807,1187,1091,795,1264,569,986,1207,821
ZNF195,520,722,700,489,867,487,784,711,668
MYCBP2,2407,3342,3208,2165,3328,1496,2724,3117,2176
FBXL3,1347,1861,1732,1328,1975,1015,1680,1985,1443
ITGAL,6,2,4,9,7,2,8,14,4
PDK2,265,363,282,329,448,188,264,428,273
ITGA3,813,941,906,899,1377,432,929,1287,897
ZFX,2252,3121,3063,2473,3900,1610,3683,2972,2545
LAMP2,837,1309,1045,1128,1586,764,1005,1545,1040
ITGA2B,63,63,71,74,91,34,144,98,43
ASB4,16,35,24,29,48,31,26,45,29
GDE1,1583,1961,1975,1641,2471,1093,1933,2813,1288
C19orf60,192,251,222,208,312,150,191,285,175
CRLF1,846,1130,916,1002,1576,827,1043,1382,1140
OSBPL7,30,47,34,43,63,17,57,70,27
TMEM98,5,7,6,2,2,2,9,11,4
YBX2,1,1,1,5,6,0,8,4,3
KRT33A,0,0,0,0,0,0,0,0,0
MAP3K14,212,315,291,176,291,136,289,296,204
ABCC8,0,0,0,0,0,0,0,0,0
CACNG3,6,6,5,3,5,3,4,4,5
TMEM132A,504,643,511,447,677,192,564,667,325
AP2B1,3998,6059,5420,5047,8134,3317,5517,7784,5202
TAC1,0,0,0,0,0,0,0,0,0
ZNF263,510,636,629,501,710,337,696,745,475
CX3CL1,6,7,8,8,5,1,6,6,9
SPATA20,294,405,369,427,571,150,417,546,400
CACNA1G,32,37,40,26,64,20,24,58,32
TNFRSF12A,661,780,622,357,459,264,557,609,345
DLX6,3,1,0,1,3,3,1,4,2
MAP3K9,382,483,395,258,436,163,272,361,230
RALA,497,652,613,448,742,324,677,701,521
BAIAP2L1,939,1110,1127,797,1225,558,1128,1180,887
KDM7A,54,68,83,116,140,65,103,168,63
ETV1,0,0,1,0,1,0,0,2,0
AGK,61,124,144,85,180,34,157,157,72
ALDH3B1,1109,1508,1225,839,1397,582,1054,1483,908
TTC22,4,10,5,4,6,2,8,8,9
PHTF2,1154,1483,1412,1021,1585,690,1172,1735,998
CCL26,0,0,0,1,3,0,0,0,1
FARP2,846,1187,1039,676,1127,463,828,1130,657
USH1C,634,859,815,1191,2295,1296,905,1391,1570
GGCT,1383,1865,2032,1233,1936,765,2184,1837,1345
DBF4,918,1264,1336,988,1376,585,1038,1319,921
TBXA2R,152,204,138,137,245,151,92,291,127
IFRD1,1242,1657,1534,1640,1846,722,2669,1882,1294
LGALS14,7,12,11,4,10,4,2,4,2
COX10,377,495,395,331,424,224,425,424,259
GTF2IRD1,483,688,709,505,776,328,860,801,524
PAF1,772,1057,1434,751,1195,542,812,1122,770
VPS41,909,1164,1090,847,1179,486,787,1090,763
ARHGAP44,16,31,31,21,34,14,22,38,22
ELAC2,1576,2266,2093,1538,2149,959,1442,2201,1407
SCIN,47,45,60,42,61,33,43,54,24
ARSD,31,37,33,23,53,12,25,32,44
PNPLA4,260,378,413,244,416,205,334,477,351
MYH13,0,0,0,0,0,0,0,0,0
ADIPOR2,1600,2052,1806,1274,2153,975,1576,1981,1301
CDKL3,44,36,65,45,54,24,41,64,40
UPP2,1,0,0,1,1,0,0,1,0
PRSS21,308,426,361,360,451,195,322,468,259
MARK4,204,211,257,214,330,156,187,274,202
PROM1,6,7,4,2,2,1,4,11,2
CCDC124,489,655,746,370,643,313,457,619,450
CEACAM21,0,0,0,0,0,0,0,0,0
PAFAH1B1,2127,3029,2662,2294,3394,1616,2916,3323,2216
NOS2,0,0,0,0,0,0,0,0,0
DNAH9,0,4,5,0,1,2,0,1,3
KIAA0100,4761,6383,5914,3961,6350,2476,3842,5641,4207
SLC13A2,0,1,0,0,0,0,0,0,1
GAS7,25,38,24,36,33,33,26,30,34
TRAPPC6A,40,69,45,81,120,34,80,89,61
MATK,543,682,604,333,464,179,485,598,270
CEACAM7,0,0,0,0,0,0,0,0,0
CD79B,1,0,0,2,0,0,0,0,0
SCN4A,0,3,3,2,1,0,29,1,1
ST7L,441,590,639,468,632,269,561,488,375
TKTL1,0,0,0,1,6,2,0,1,8
PAX6,373,512,556,473,684,328,778,643,445
RPUSD1,322,412,321,273,385,128,302,373,194
RHBDF1,98,121,85,119,160,94,92,158,114
LUC7L,708,874,872,620,976,431,676,849,619
CACNA2D2,1,3,8,1,9,6,1,10,2
BAIAP3,13,15,14,15,23,6,14,24,19
TSR3,442,632,590,411,565,257,511,634,428
PIGQ,295,390,251,297,372,150,305,367,204
CRAMP1,242,343,300,224,365,199,320,323,237
