component_gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ko_gene,dataset,Percent Upregulated,p_value
ASH2L,1729.926720276133,-0.0574166738614196,0.2425818046604872,-0.2366899444159834,0.812897336526617,0.9997815542602017,RB1,GSE84504-1,,
CXXC1,1082.001846756828,0.2395982631113223,0.2112028931869384,1.134445932515,0.2566075411271669,0.9997815542602017,RB1,GSE84504-1,,
DPY30,950.6954802944064,0.2070368047087252,0.1994778828133831,1.0378935338030115,0.2993196242747281,0.9997815542602017,RB1,GSE84504-1,,
RBBP5,758.2645616967977,-0.2332673680450029,0.2513079866955505,-0.9282131105828996,0.3532970349789412,0.9997815542602017,RB1,GSE84504-1,,
SETD1A,1501.8001931539009,0.2235304130961937,0.2300908722284741,0.971487529823582,0.3313055599440759,0.9997815542602017,RB1,GSE84504-1,,
SETD1B,1024.2045201428637,-0.148729932831005,0.2195949992185723,-0.6772919846092114,0.498220715457744,0.9997815542602017,RB1,GSE84504-1,,
UPF1,3347.17057432313,-0.0235662761722915,0.2306784466261455,-0.1021607198980525,0.9186291055569864,0.9997815542602017,RB1,GSE84504-1,,
UPF2,1696.5462353432572,-0.166453781949876,0.2063416205813037,-0.8066902909890111,0.419844939189094,0.9997815542602017,RB1,GSE84504-1,,
UPF3A,1155.0588317649858,0.1895419212501352,0.2606974706225307,0.7270570013491879,0.4671910378883721,0.9997815542602017,RB1,GSE84504-1,,
UPF3B,880.7345540075161,0.0916328281559449,0.2833214590219881,0.3234235361919179,0.7463745072404597,0.9997815542602017,RB1,GSE84504-1,,
WDR5,2025.2467528042264,0.1706269537452382,0.1872707430694518,0.9111244551529276,0.3622298024499362,0.9997815542602017,RB1,GSE84504-1,,
WDR82,3346.355993772526,0.0198639278725397,0.1843758266803761,0.1077360748975773,0.914205052417721,0.9997815542602017,RB1,GSE84504-1,,
ASH2L,179.08206529716256,0.0739938498527136,0.2875781274136696,0.2572999918949901,0.7969471987099666,0.9875754740329592,Furin,GSE130969-3,,
CXXC1,353.85609747215574,-0.596972200588399,0.1865836587613941,-3.1994881253337173,0.0013767185844609,0.0349532072333367,Furin,GSE130969-3,,
DPY30,523.8808567756798,-0.0159027134411892,0.1598099163526962,-0.0995101793689222,0.9207332060490274,0.9938055609193382,Furin,GSE130969-3,,
RBBP5,571.6090800630152,-0.0302812048103676,0.156414504178624,-0.1935958878582434,0.846492318291707,0.9901987810252684,Furin,GSE130969-3,,
SETD1A,718.5327538284291,0.0833996782922393,0.1383816371839797,0.6026787945958368,0.5467223910534937,0.9477610852091536,Furin,GSE130969-3,,
SETD1B,800.6244983466469,0.19160975511793,0.1359276036289362,1.409645649613587,0.1586443405696113,0.6710243743629002,Furin,GSE130969-3,,
UPF1,1605.2678516296933,0.0809487500199772,0.1224256225642965,0.6612075832202844,0.5084791987733113,0.9369919659326515,Furin,GSE130969-3,,
UPF2,1842.6335966397517,-0.0705303589793969,0.1077895651762752,-0.6543338296620278,0.5128967552319976,0.9390994936387608,Furin,GSE130969-3,,
UPF3A,1298.7427655958038,0.0199998272614744,0.1258922660661843,0.1588646220011649,0.8737755342108511,0.9914689017367524,Furin,GSE130969-3,,
UPF3B,578.7726638250265,-0.0580220264249649,0.1546410528581706,-0.3752045485501187,0.7075083476492751,0.9871418313597512,Furin,GSE130969-3,,
WDR5,1368.9912356796283,-0.002560704724239,0.1124989963574117,-0.0227620228371076,0.9818401015557086,0.9969557849664682,Furin,GSE130969-3,,
WDR82,1246.2440179955684,-0.0108837893163047,0.116877522692794,-0.0931213210679714,0.9258071792692122,0.9939532429401112,Furin,GSE130969-3,,
ASH2L,773.5283567684664,-0.092938024324602,0.1386082593713402,-0.670508559490782,0.502533651836675,0.7661706821107066,Furin,GSE130969-2,0.1428571428571428,0.197
CXXC1,1016.6610213367002,0.0224465643144847,0.1252292641287007,0.1792437611979888,0.8577463036283037,0.9508851392650892,Furin,GSE130969-2,0.1428571428571428,0.197
DPY30,830.7952641036916,-0.0463818014477163,0.1345483454982835,-0.3447221983737293,0.7303032280517405,0.8989247136638293,Furin,GSE130969-2,0.1428571428571428,0.197
RBBP5,1168.2803969474255,-0.0838981368728921,0.1170988040673512,-0.7164730463398823,0.4736993048725996,0.7476752361593227,Furin,GSE130969-2,0.1428571428571428,0.197
SETD1A,844.3552864378523,-0.1540970593441474,0.1304541449772195,-1.1812354400165404,0.2375092061123327,0.5246557945463255,Furin,GSE130969-2,0.1428571428571428,0.197
SETD1B,796.235423897864,-0.3087163988967867,0.1356041837281199,-2.2765993674335947,0.0228101606955829,0.1108769371267372,Furin,GSE130969-2,0.1428571428571428,0.197
UPF1,2091.4315116026464,0.0085159293701234,0.1054523824547621,0.0807561590538428,0.9356358741472444,0.977833850793456,Furin,GSE130969-2,0.1428571428571428,0.197
UPF2,1597.7484758261112,-0.0916642900344897,0.116398025341041,-0.7875072602470486,0.4309849800240206,0.7154981655648988,Furin,GSE130969-2,0.1428571428571428,0.197
UPF3A,883.6183399908934,-0.0867654045825215,0.1287458705775482,-0.6739276700161011,0.5003572995324648,0.7645176586847933,Furin,GSE130969-2,0.1428571428571428,0.197
UPF3B,602.5989373739139,-0.1932563497582466,0.1479134050717395,-1.306550610909913,0.1913653796764114,0.4605686608287188,Furin,GSE130969-2,0.1428571428571428,0.197
WDR5,1719.224017676696,-0.3073316194584408,0.1046438006946964,-2.936930973628301,0.0033147787614495,0.0251131705289663,Furin,GSE130969-2,0.1428571428571428,0.197
WDR82,3858.1548552053673,-0.1333410002103161,0.0860444192760436,-1.549676333830993,0.1212192211998064,0.3475537214669684,Furin,GSE130969-2,0.1428571428571428,0.197
ASH2L,576.7399955426631,0.0663069216026804,0.1079574412508403,0.6141950090185588,0.5390864710661354,0.7995500480769566,ATF7IP,GSE86813,,
CXXC1,451.5059457578178,0.1580171252061883,0.1155661340355648,1.3673307195476443,0.1715216670166899,0.4516547682688653,ATF7IP,GSE86813,,
DPY30,609.0410954005473,-0.1465851447901913,0.1125354179181199,-1.30256898229894,0.1927219530117916,0.4831977060809017,ATF7IP,GSE86813,,
RBBP5,799.3816532934961,0.1558370573702883,0.1089077315849817,1.4309090374239144,0.1524562865983667,0.4236269234129906,ATF7IP,GSE86813,,
SETD1A,245.28464691429875,-0.0921015884511232,0.1494098441778165,-0.6164358778228214,0.5376068801824764,0.7989192938290253,ATF7IP,GSE86813,,
SETD1B,234.68716772640028,0.1581947359926468,0.1581795241304511,1.0000961683396088,0.3172639702551221,0.6283727836860591,ATF7IP,GSE86813,,
