"gene_id","length"
"A1BG",3382
"A1BG-AS1",2130
"A1CF",9520
"A2M",5237
"A2M-AS1",2300
"A2ML1",6670
"A2MP1",1201
"A3GALT2",1023
"A4GALT",3975
"A4GNT",2643
"AA06",632
"AAAS",1897
"AACS",3354
"AACSP1",2825
"AADAC",1671
"AADACL2",8565
"AADACL2-AS1",1170
"AADACL3",4055
"AADACL4",2531
"AADACP1",1289
"AADAT",2994
"AAGAB",3706
"AAK1",21157
"AAMDC",6716
"AAMP",2005
"AANAT",5088
"AAR2",3195
"AARD",2291
"AARS1",3443
"AARS1P1",453
"AARS2",5296
"AARSD1",1320
"AARSD1P1",1640
"AASDH",6659
"AASDHPPT",4499
"AASS",5985
"AATBC",4598
"AATF",4124
"AATK",5514
"ABALON",1903
"ABAT",6105
"ABCA1",10408
"ABCA10",6364
"ABCA11P",1895
"ABCA12",9577
"ABCA13",28542
"ABCA17P",4188
"ABCA2",8389
"ABCA3",6602
"ABCA3P1",3204
"ABCA4",7328
"ABCA5",9455
"ABCA6",7668
"ABCA7",7116
"ABCA8",12056
"ABCA9",7376
"ABCA9-AS1",523
"ABCB1",5733
"ABCB10",5576
"ABCB10P1",15112
"ABCB10P3",19983
"ABCB10P4",9456
"ABCB11",11841
"ABCB4",8176
"ABCB5",7724
"ABCB6",2980
"ABCB7",4595
"ABCB8",4707
"ABCB9",9767
"ABCC1",13755
"ABCC10",6905
"ABCC11",10265
"ABCC12",7908
"ABCC13",2953
"ABCC2",7293
"ABCC3",5798
"ABCC4",7906
"ABCC5",11939
"ABCC5-AS1",469
"ABCC6",12082
"ABCC6P1",3258
"ABCC6P2",1422
"ABCC8",8191
"ABCC9",9397
"ABCD1",3730
"ABCD1P1",4196
"ABCD1P2",3192
"ABCD1P3",691
"ABCD1P4",3198
"ABCD1P5",812
"ABCD2",22522
"ABCD3",4326
"ABCD4",4064
"ABCE1",3887
"ABCF1",23835
"ABCF1-DT",3801
"ABCF2",4527
"ABCF2-H2BK1",2316
"ABCF2P1",1931
"ABCF2P2",1038
"ABCF3",2851
"ABCG1",11489
"ABCG2",5556
"ABCG4",4537
"ABCG5",4052
"ABCG8",7900
"ABHD1",1969
"ABHD10",2678
"ABHD11",2181
"ABHD11-AS1",473
"ABHD12",4416
"ABHD12B",2567
"ABHD13",6712
"ABHD14A",1066
"ABHD14A-ACY1",1836
"ABHD14B",2437
"ABHD15",3492
"ABHD16A",16266
"ABHD16B",1491
"ABHD17A",5642
"ABHD17AP1",1484
"ABHD17AP3",1513
"ABHD17AP4",1503
"ABHD17AP5",525
"ABHD17AP6",1462
"ABHD17AP7",775
"ABHD17AP8",776
"ABHD17AP9",802
"ABHD17B",4190
"ABHD17C",2361
"ABHD18",8583
"ABHD2",9222
"ABHD3",2981
"ABHD4",3246
"ABHD5",6100
"ABHD6",2463
"ABHD8",2042
"ABI1",4912
"ABI1P1",3805
"ABI2",8063
"ABI3",1775
"ABI3BP",7502
"ABITRAM",2143
"ABITRAMP1",766
"ABL1",6991
"ABL2",15465
"ABLIM1",12994
"ABLIM2",5371
"ABLIM3",7906
"ABO",12817
"ABR",25293
"ABR-AS1",5514
"ABRA",2907
"ABRACL",961
"ABRAXAS1",4558
"ABRAXAS2",2974
"ABT1",2943
"ABT1P1",1034
"ABTB1",4175
"ABTB2",4905
"ACAA1",2270
"ACAA2",2926
"ACAA2P1",1196
"ACACA",22812
"ACACB",11109
"ACAD10",4099
"ACAD11",3841
"ACAD8",5590
"ACAD9",2743
"ACADL",3272
"ACADM",2372
"ACADS",1999
"ACADSB",5848
"ACADVL",2603
"ACAN",8960
"ACAP1",8512
"ACAP2",7944
"ACAP3",6632
"ACAT1",3516
"ACAT2",1821
"ACBD3",3584
"ACBD3-AS1",441
"ACBD4",4119
"ACBD5",7665
"ACBD6",7255
"ACBD7",3370
"ACBD7-DCLRE1CP1",997
"ACCS",4735
"ACCSL",1867
"ACD",2099
"ACE",5579
"ACE2",4594
"ACE3P",12794
"ACER1",1746
"ACER2",6200
"ACER2P1",2198
"ACER3",9350
"ACHE",3512
"ACIN1",6771
"ACKR1",1196
"ACKR2",2990
"ACKR3",2478
"ACKR4",2562
"ACKR4P1",1857
"ACLY",4555
"ACMSD",4630
"ACNATP",10538
"ACO1",7565
"ACO2",3317
"ACOD1",2147
"ACOT1",2615
"ACOT11",7742
"ACOT12",4510
"ACOT13",4330
"ACOT2",2411
"ACOT4",1599
"ACOT6",1699
"ACOT7",2330
"ACOT8",1280
"ACOT9",4318
"ACOX1",7685
"ACOX2",2432
"ACOX3",5454
"ACOXL",17006
"ACOXL-AS1",3212
"ACP1",1805
"ACP2",2283
"ACP3",4281
"ACP4",1342
"ACP5",2074
"ACP6",12950
"ACP7",4606
"ACR",2860
"ACRBP",1905
"ACRP1",835
"ACRV1",1936
"ACSBG1",9254
"ACSBG2",3026
"ACSF2",2602
"ACSF3",16503
"ACSL1",4759
"ACSL3",5577
"ACSL3-AS1",735
"ACSL4",5397
"ACSL5",3772
"ACSL6",6816
"ACSL6-AS1",3458
"ACSM1",5297
"ACSM2A",5889
"ACSM2B",3525
"ACSM3",5596
"ACSM4",2349
"ACSM5",3143
"ACSM5P1",827
"ACSM6",1675
"ACSS1",3979
"ACSS2",3232
"ACSS3",8662
"ACTA1",1491
"ACTA2",1808
"ACTA2-AS1",2043
"ACTB",1812
"ACTBL2",2794
"ACTBP1",1391
