Unnamed: 0,Gene,Paralog,Perc_ID,ko_length,paralog_length,dataset
0,Actb,Actg1,98.9333,3639.0,2852.0,GSE114212-1-paralogs.csv
1,Actb,Actl6a,36.1305,3639.0,20675.0,GSE114212-1-paralogs.csv
2,Actb,Actl6b,37.5587,3639.0,16065.0,GSE114212-1-paralogs.csv
3,Actb,Actr3b,38.2775,3639.0,90691.0,GSE114212-1-paralogs.csv
4,Actb,Actl10,33.526,3639.0,1500.0,GSE114212-1-paralogs.csv
5,Actb,Actbl2,92.5532,3639.0,2736.0,GSE114212-1-paralogs.csv
6,Actb,Actl7a,37.5,3639.0,1512.0,GSE114212-1-paralogs.csv
7,Actb,Actl9,36.3855,3639.0,1372.0,GSE114212-1-paralogs.csv
8,Actb,Actr8,16.9872,3639.0,28017.0,GSE114212-1-paralogs.csv
9,Actb,Actr10,24.4604,3639.0,26861.0,GSE114212-1-paralogs.csv
10,Actb,Actc1,93.6339,3639.0,6266.0,GSE114212-1-paralogs.csv
11,Actb,Actr1a,54.2553,3639.0,18937.0,GSE114212-1-paralogs.csv
12,Actb,Actr2,47.2081,3639.0,50609.0,GSE114212-1-paralogs.csv
13,Actb,Actl7b,39.9522,3639.0,1438.0,GSE114212-1-paralogs.csv
14,Actb,Acta1,92.8382,3639.0,2982.0,GSE114212-1-paralogs.csv
15,Actb,Acte1,48.3871,3639.0,33208.0,GSE114212-1-paralogs.csv
16,Actb,Actrt3,47.4255,3639.0,2866.0,GSE114212-1-paralogs.csv
17,Actb,Actl11,11.9304,3639.0,3992.0,GSE114212-1-paralogs.csv
18,Actb,Actr6,28.0303,3639.0,20324.0,GSE114212-1-paralogs.csv
19,Actb,Actr5,20.7237,3639.0,14323.0,GSE114212-1-paralogs.csv
20,Actb,Actrt1,48.4043,3639.0,1338.0,GSE114212-1-paralogs.csv
21,Actb,Actrt2,49.8674,3639.0,1434.0,GSE114212-1-paralogs.csv
22,Actb,Acta2,93.3687,3639.0,14500.0,GSE114212-1-paralogs.csv
23,Actb,Actg2,93.0851,3639.0,23360.0,GSE114212-1-paralogs.csv
24,Actb,Actr3,37.799,3639.0,42822.0,GSE114212-1-paralogs.csv
25,Actb,Actr1b,54.7872,3639.0,16308.0,GSE114212-1-paralogs.csv
0,PLEC,SYNE2,9.41074,61581.0,464534.0,GSE143725-paralogs.csv
1,PLEC,GAS2L2,9.88636,61581.0,8728.0,GSE143725-paralogs.csv
2,PLEC,GAS2L3,8.50144,61581.0,54605.0,GSE143725-paralogs.csv
3,PLEC,DSP,36.3985,61581.0,45376.0,GSE143725-paralogs.csv
4,PLEC,FLNC,10.789,61581.0,28868.0,GSE143725-paralogs.csv
5,PLEC,FLNA,11.0314,61581.0,26110.0,GSE143725-paralogs.csv
6,PLEC,DMD,9.66079,61581.0,2241932.0,GSE143725-paralogs.csv
7,PLEC,SPTBN4,17.3557,61581.0,110223.0,GSE143725-paralogs.csv
8,PLEC,SPTB,18.5137,61581.0,133624.0,GSE143725-paralogs.csv
9,PLEC,SPTAN1,12.9996,61581.0,81104.0,GSE143725-paralogs.csv
10,PLEC,MICAL3,13.3866,61581.0,236912.0,GSE143725-paralogs.csv
11,PLEC,SPTBN5,11.1051,61581.0,45907.0,GSE143725-paralogs.csv
12,PLEC,PKHD1,6.06284,61581.0,472314.0,GSE143725-paralogs.csv
13,PLEC,MICAL2,15.3025,61581.0,265136.0,GSE143725-paralogs.csv
14,PLEC,ACTN4,20.1976,61581.0,83940.0,GSE143725-paralogs.csv
15,PLEC,DTNB,15.949,61581.0,296449.0,GSE143725-paralogs.csv
