gene_name,293T-1,293T-2,293T-3,YTHDF2_crispr-1,YTHDF2_crispr-2,YTHDF2_crispr-3
TSPAN6,23,55,61,226,120,122
TNMD,0,0,0,0,0,0
DPM1,88,69,84,193,161,144
SCYL3,1,4,0,9,4,6
C1orf112,3,13,1,12,17,35
FGR,0,0,0,0,0,0
CFH,1,2,0,0,0,5
FUCA2,10,23,8,67,52,33
GCLC,18,21,31,26,19,23
NFYA,25,41,54,70,44,47
STPG1,0,1,0,0,0,0
NIPAL3,6,2,0,5,2,22
LAS1L,21,53,36,68,33,55
ENPP4,42,53,40,129,73,69
SEMA3F,0,0,0,0,2,4
CFTR,0,0,0,0,0,0
ANKIB1,25,25,46,25,33,27
CYP51A1,22,86,69,225,165,150
KRIT1,28,10,67,64,41,47
RAD52,3,7,5,5,5,14
BAD,0,0,0,0,0,0
LAP3,22,45,53,155,130,121
CD99,14,23,36,63,52,44
HS3ST1,1,0,1,0,0,3
AOC1,0,0,0,0,0,0
WNT16,0,1,3,5,0,3
HECW1,0,2,0,0,0,0
MAD1L1,0,0,0,0,0,0
LASP1,6,7,10,29,19,11
SNX11,0,0,0,7,2,1
TMEM176A,0,0,0,0,0,0
M6PR,17,17,7,75,44,36
KLHL13,5,29,15,64,59,46
CYP26B1,1,9,6,6,7,8
ICA1,3,1,6,9,4,6
DBNDD1,0,0,2,0,0,0
ALS2,17,18,16,39,18,29
CASP10,0,0,1,1,0,1
CFLAR,21,27,19,47,150,74
TFPI,21,12,6,18,6,13
NDUFAF7,20,33,26,24,34,22
RBM5,22,76,92,69,41,59
MTMR7,1,3,1,7,8,1
SLC7A2,24,62,24,125,59,58
ARF5,0,0,5,1,0,0
SARM1,1,1,1,3,0,4
POLDIP2,13,18,11,71,42,41
PLXND1,0,3,0,0,0,0
AK2,63,121,147,241,200,253
CD38,0,0,1,2,3,2
FKBP4,38,87,73,302,180,238
KDM1A,18,58,55,105,71,98
RBM6,12,57,42,30,19,17
CAMKK1,1,2,5,4,3,7
RECQL,22,78,77,160,100,121
VPS50,15,49,22,59,38,42
HSPB6,0,0,0,0,0,0
ARHGAP33,0,0,0,0,0,0
NDUFAB1,51,57,50,240,172,152
PDK4,3,3,6,8,5,5
SLC22A16,0,0,0,0,0,0
ZMYND10,0,0,0,0,0,0
ABCB5,0,0,0,0,3,0
ARX,0,0,0,0,0,0
SLC25A13,8,5,6,32,19,29
ST7,2,0,1,16,2,5
CDC27,85,144,120,316,211,202
SLC4A1,0,0,0,0,0,0
CALCR,0,0,0,0,2,0
HCCS,16,13,10,30,29,23
DVL2,12,11,14,45,27,27
PRSS22,0,0,0,0,0,0
UPF1,3,3,7,12,7,3
SKAP2,29,55,38,119,103,75
SLC25A5,8,0,0,5,0,0
MCUB,5,11,8,13,19,15
HOXA11,19,21,15,72,56,46
POLR2J,0,0,0,0,0,0
DHX33,30,45,57,71,45,45
MEOX1,0,0,4,0,0,0
THSD7A,0,0,0,2,1,2
LIG3,53,124,5,67,3,70
RPAP3,68,103,69,147,102,124
ACSM3,3,14,16,18,20,22
REXO5,2,6,7,5,1,2
CIAPIN1,10,15,5,19,20,14
SPPL2B,0,6,1,5,0,1
FAM214B,0,1,4,2,0,2
COPZ2,0,0,0,0,0,1
PRKAR2B,20,61,51,82,57,65
MSL3,7,5,13,44,25,24
CREBBP,17,66,26,44,19,22
TSPOAP1,0,0,0,0,0,0
MPO,0,0,0,0,0,0
PON1,0,0,0,0,0,0
