,Gene,Paralog,Perc_ID,ko_length,paralog_length
0,Actb,Actg1,98.9333,3639,2852
1,Actb,Actl6a,36.1305,3639,20675
2,Actb,Actl6b,37.5587,3639,16065
3,Actb,Actr3b,38.2775,3639,90691
4,Actb,Actl10,33.526,3639,1500
5,Actb,Actbl2,92.5532,3639,2736
6,Actb,Actl7a,37.5,3639,1512
7,Actb,Actl9,36.3855,3639,1372
8,Actb,Actr8,16.9872,3639,28017
9,Actb,Actr10,24.4604,3639,26861
10,Actb,Actc1,93.6339,3639,6266
11,Actb,Actr1a,54.2553,3639,18937
12,Actb,Actr2,47.2081,3639,50609
13,Actb,Actl7b,39.9522,3639,1438
14,Actb,Acta1,92.8382,3639,2982
15,Actb,Acte1,48.3871,3639,33208
16,Actb,Actrt3,47.4255,3639,2866
17,Actb,Actl11,11.9304,3639,3992
18,Actb,Actr6,28.0303,3639,20324
19,Actb,Actr5,20.7237,3639,14323
20,Actb,Actrt1,48.4043,3639,1338
21,Actb,Actrt2,49.8674,3639,1434
22,Actb,Acta2,93.3687,3639,14500
23,Actb,Actg2,93.0851,3639,23360
24,Actb,Actr3,37.799,3639,42822
25,Actb,Actr1b,54.7872,3639,16308
