,Gene,Paralog,Perc_ID,ko_length,paralog_length
0,PAK4,STK39,17.9817,57046,293575
1,PAK4,TAOK1,10.8891,57046,161540
2,PAK4,MAP4K2,12.6829,57046,18323
3,PAK4,OXSR1,19.1651,57046,90395
4,PAK4,MINK1,8.70871,57046,64721
5,PAK4,TNIK,8.45588,57046,401994
6,PAK4,NEK4,10.107,57046,62502
7,PAK4,PAK5,51.5994,57046,301706
8,PAK4,TAOK3,12.4722,57046,223106
9,PAK4,MAP3K19,9.63855,57046,82983
10,PAK4,STK10,11.9835,57046,146145
11,PAK4,MAP3K1,7.80423,57046,80603
12,PAK4,STK25,20.1878,57046,17060
13,PAK4,STK24,20.8817,57046,132755
14,PAK4,STRADB,16.9856,57046,92988
15,PAK4,STK4,18.0698,57046,113527
16,PAK4,STK3,18.7373,57046,571599
17,PAK4,MAP4K1,12.9111,57046,31241
18,PAK4,MAP2K6,25.4491,57046,139168
19,PAK4,NRK,6.57396,57046,136071
20,PAK4,MAP4K3,12.1924,57046,188035
21,PAK4,STRADA,16.7053,57046,59650
22,PAK4,PAK2,38.5496,57046,92790
23,PAK4,PAK1,37.0642,57046,152618
24,PAK4,PAK3,36.9485,57046,283076
25,PAK4,MAP4K4,8.23699,57046,197840
26,PAK4,MAP2K3,25.072,57046,30560
27,PAK4,MAP4K5,12.6478,57046,142625
28,PAK4,STK26,20.9135,57046,52641
29,PAK4,TAOK2,8.25911,57046,18393
30,PAK4,PAK6,44.9339,57046,60059
31,PAK4,MAP3K8,16.4882,57046,27812
32,PAK4,MAP3K14,8.76452,57046,53910
33,PAK4,SBK2,16.092,57046,8522
34,PAK4,SLK,9.95951,57046,62093
