,Gene,Paralog,Perc_ID,ko_length,paralog_length
0,ZNF91,ZNF764,36.1179,90480,4610
1,ZNF91,ZNF747,32.3263,90480,4980
2,ZNF91,ZNF845,39.5876,90480,23157
3,ZNF91,CTCFL,23.0769,90480,29686
4,ZNF91,ZNF526,20.1493,90480,7909
5,ZNF91,ZBTB48,26.0174,90480,9286
6,ZNF91,ZNF785,32.5926,90480,12029
7,ZNF91,ZNF420,56.1047,90480,122511
8,ZNF91,ZNF594,43.2466,90480,12333
9,ZNF91,ZNF282,23.5469,90480,30692
10,ZNF91,ZBTB37,19.0855,90480,35465
11,ZNF91,ZNF473,37.3134,90480,27700
12,ZNF91,ZNF689,34.8,90480,21454
13,ZNF91,ZNF160,50.8557,90480,36828
14,ZNF91,ZNF665,53.9823,90480,34173
15,ZNF91,ZNF569,48.688,90480,58120
16,ZNF91,ZNF771,39.1167,90480,23694
17,ZNF91,ZNF208,54.375,90480,77991
18,ZNF91,ZNF184,49.1345,90480,22375
19,ZNF91,ZNF48,30.7443,90480,22002
20,ZNF91,CTCF,24.0715,90480,76710
21,ZNF91,ZBTB34,18.4524,90480,25239
22,ZNF91,ZNF107,63.4977,90480,45478
23,ZNF91,ZNF181,45.5341,90480,11223
24,ZNF91,ZNF302,44.8622,90480,8758
25,ZNF91,ZNF142,12.8776,90480,26326
26,ZNF91,ZNF497,45.3815,90480,8491
27,ZNF91,ZBTB24,23.5294,90480,22607
28,ZNF91,ZNF574,23.8839,90480,13075
29,ZNF91,ZNF688,29.3478,90480,3062
30,ZNF91,ZNF84,47.561,90480,26012
31,ZNF91,ZNF347,45.888,90480,35003
32,ZNF91,ZNF99,68.6343,90480,31968
33,ZNF91,ZNF729,49.7604,90480,30735
34,ZNF91,ZFP92,38.4615,90480,15009
35,ZNF91,ZNF827,14.7086,90480,181196
